node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
3.0,1.1.1,MOVILIZACION Y DESMOVILIZACION DE MAQUINARIAS Y EQUIPOS,1.0,1.0,1.0,2020-08-18 00:00:00,NaT,mason,
6.0,2.1.1,CARTEL DE OBRA,1.0,1.0,1.0,2020-08-19 00:00:00,NaT,painter,
7.0,2.1.2,LIMPIEZA DEL TERRENO MANUAL,2.0,2.0,2.0,2020-08-19 00:00:00,NaT,team subcontractor,
8.0,2.1.3,ALMACEN Y GUARDIANIA,3.0,3.0,3.0,2020-08-21 00:00:00,NaT,mason,
9.0,2.1.4,TRAZO Y REPLANTEO INICIAL,2.0,2.0,2.0,2020-08-24 00:00:00,NaT,team subcontractor,
10.0,2.1.5,ENCAUZAMIENTO DEL CAUCE DEL RIO,7.0,7.0,7.0,2020-08-18 00:00:00,NaT,carpenter,
12.0,2.2.1,EXCAVACION PARA ESTRIBOS EN TERRENO NORMAL CON MAQUINARIA,5.0,5.0,5.0,2020-08-25 00:00:00,NaT,team subcontractor[2.00 #8],
13.0,2.2.2,RELLENO COMPACTADO CON MATERIAL PROPIO,6.0,6.0,6.0,2020-08-30 00:00:00,NaT,electrician,
15.0,2.2.3.1,ENCOFRADO Y DESENCOFRADO DE ESTRIBO,7.0,7.0,7.0,2020-09-05 00:00:00,NaT,team subcontractor[2.00 #8],
16.0,2.2.3.2,CONCRETO f'c=175 kg/cm2  + 30% PM.,10.0,10.0,10.0,2020-09-12 00:00:00,NaT,team subcontractor[2.00 #8],
18.0,2.3.1,SUPERESTRUCTURA DE ROLLIZO (L=18.00 M.),5.0,5.0,5.0,2020-09-22 00:00:00,NaT,team subcontractor[3.00 #8],
19.0,2.3.2,CONSTRUSSION DE MADERAMEN,5.0,5.0,5.0,2020-09-27 00:00:00,NaT,electrician,
20.0,2.3.3,ALCAYATAS T-1,2.0,2.0,2.0,2020-09-27 00:00:00,NaT,team subcontractor[3.00 #8],
21.0,2.3.4,ALCAYATAS T-2,2.0,2.0,2.0,2020-10-02 00:00:00,NaT,mason,
23.0,2.4.1,EXCAVACION EN MATERIAL COMUN BAJO AGUA,3.0,3.0,3.0,2020-09-22 00:00:00,NaT,electrician,
24.0,2.4.2,PERFILADO PARA BASE DE ESTRUCTURA,3.0,3.0,3.0,2020-09-25 00:00:00,NaT,painter,
25.0,2.4.3,RELLENO Y COMPACTADO PARA ESTRUCTURAS,3.0,3.0,3.0,2020-09-28 00:00:00,NaT,mason,
26.0,2.4.4,ELIMINACION DE MATERIAL EXCEDENTE A 100M.,1.0,1.0,1.0,2020-10-01 00:00:00,NaT,carpenter,
27.0,2.4.5,GEOTEXTIL NO TEJIDO TIPO I,2.0,2.0,2.0,2020-10-02 00:00:00,NaT,mason,
28.0,2.4.6,GAVIONES TIPO CAJA 5.0x1.0x2.0,3.0,3.0,3.0,2020-10-02 00:00:00,NaT,electrician,
29.0,2.4.7,GAVIONES TIPO CAJA 5.0x1.0x1.5,7.0,7.0,7.0,2020-10-05 00:00:00,NaT,carpenter,
30.0,2.4.8,GAVIONES TIPO CAJA 5.0x1.0x1.0,3.0,3.0,3.0,2020-10-05 00:00:00,NaT,mason,
31.0,2.4.9,GAVIONES TIPO COLCHON 5.0x2.0x0.30M.,2.0,2.0,2.0,2020-10-05 00:00:00,NaT,mason,
33.0,2.5.1,"EXTRASSION, SELESSIÓN Y ACOPIO DE ROCA",2.0,2.0,2.0,2020-10-02 00:00:00,NaT,mason,
34.0,2.5.2,CARGUIO Y TRANSPORTE DE ROCA (D=1KM),2.0,2.0,2.0,2020-10-04 00:00:00,NaT,carpenter,
35.0,2.5.3,ACOMODADO DE ROCA EN LA UÑA,1.0,1.0,1.0,2020-10-06 00:00:00,NaT,painter,
36.0,2.5.4,ACOMODADO DE ROCA EN TALUD,1.0,1.0,1.0,2020-10-06 00:00:00,NaT,plasterer,
38.0,2.6.1,SEGURIDAD Y SALUD,5.0,5.0,5.0,2020-08-21 00:00:00,NaT,electrician,
40.0,2.7.1,MITIGACION DE IMPACTO AMBIENTAL,1.0,1.0,1.0,2020-10-12 00:00:00,NaT,mason,
43.0,3.1.1,CARTEL DE OBRA,1.0,1.0,1.0,2020-08-19 00:00:00,NaT,plasterer,
44.0,3.1.2,LIMPIEZA DEL TERRENO MANUAL,6.0,6.0,6.0,2020-08-20 00:00:00,NaT,mason,
45.0,3.1.3,ALMACEN Y GUARDIANIA,1.0,1.0,1.0,2020-08-26 00:00:00,NaT,mason,
47.0,3.2.1,ELIMINACION DE ROLLIZOS Y TABLONES,1.0,1.0,1.0,2020-08-27 00:00:00,NaT,carpenter,
48.0,3.2.2,SUPERESTRUCTURA DE ROLLIZO (L=11.80 M.),1.0,1.0,1.0,2020-08-28 00:00:00,NaT,plasterer,
49.0,3.2.3,CONSTRUSSION DE MADERAMEN,24.0,24.0,24.0,2020-08-29 00:00:00,NaT,painter,
50.0,3.2.4,ALCAYATA T-1,4.0,4.0,4.0,2020-08-29 00:00:00,NaT,carpenter,
51.0,3.2.5,ALCAYATA T-2,2.0,2.0,2.0,2020-08-29 00:00:00,NaT,carpenter,
53.0,3.3.1,SEGURIDAD Y SALUD,5.0,5.0,5.0,2020-08-26 00:00:00,NaT,carpenter,
55.0,3.4.1,MITIGACION DE IMPACTO AMBIENTAL,1.0,1.0,1.0,2020-09-22 00:00:00,NaT,carpenter,
58.0,4.1.1,CARTEL DE OBRA,1.0,1.0,1.0,2020-08-19 00:00:00,NaT,mason,
59.0,4.1.2,LIMPIEZA DEL TERRENO MANUAL,4.0,4.0,4.0,2020-08-20 00:00:00,NaT,mason,
60.0,4.1.3,ALMACEN Y GUARDIANIA,1.0,1.0,1.0,2020-08-24 00:00:00,NaT,painter,
62.0,4.2.1,ELIMINACION DE ROLLIZOS Y TABLONES,1.0,1.0,1.0,2020-08-25 00:00:00,NaT,mason,
63.0,4.2.2,SUPERESTRUCTURA DE ROLLIZO (L=6.80 M.),1.0,1.0,1.0,2020-08-26 00:00:00,NaT,team subcontractor,
64.0,4.2.3,CONSTRUSSION DE MADERAMEN,18.0,18.0,18.0,2020-08-27 00:00:00,NaT,mason,
65.0,4.2.4,ALCAYATA T-1,2.0,2.0,2.0,2020-08-27 00:00:00,NaT,plasterer,
66.0,4.2.5,ALCAYATA T-2,2.0,2.0,2.0,2020-08-27 00:00:00,NaT,mason,
68.0,4.3.1,SEGURIDAD Y SALUD,5.0,5.0,5.0,2020-08-24 00:00:00,NaT,team subcontractor,
70.0,4.4.1,MITIGACION DE IMPACTO AMBIENTAL,1.0,1.0,1.0,2020-09-14 00:00:00,NaT,team subcontractor,
NaT,NaT,NaT,0.0,0.0,0.0,2020-10-12 00:00:00,NaT,,
nan,nan,nan,0.0,0.0,0.0,55,NaT,,
nan,nan,nan,0.0,0.0,0.0,1.667102112,NaT,0.244897963,
nan,nan,nan,0.0,0.0,0.0,1.728974731,NaT,0.362620031,
nan,nan,nan,0.0,0.0,0.0,1.465264685,NaT,0.064008199,
nan,nan,nan,0.0,0.0,0.0,166.7102112,NaT,0.115664995,
nan,nan,nan,0.0,0.0,0.0,172.8974731,NaT,0.098693053,
nan,nan,nan,0.0,0.0,0.0,146.5264685,NaT,,
