node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Pumping Station Jabbeke,172.375,170.65,174.1,2012-01-02 08:00:00,2012-06-22 17:00:00,,336410.149383545
1,1.1,start plaatsing looplatform ALSB,0.375,0.3,0.45,2012-01-02 08:00:00,2012-01-02 17:00:00,ploeg 1&2,3600.0
2,1.2,start plaatsing RVS looplatform krooshekreiniger,0.375,0.3,0.45,2012-01-03 08:00:00,2012-01-03 17:00:00,ploeg 1&2,10800.0
3,1.3,start plaatsing trap krooshekreiniger,0.375,0.3,0.45,2012-01-04 08:00:00,2012-01-04 17:00:00,ploeg 1&2,18200.0
4,1.4,startplaatsing RVS roosters uitstroom + veilgheidsleuning,0.375,0.3,0.45,2012-01-05 08:00:00,2012-01-05 17:00:00,ploeg 1&2,15950.0
5,1.5,leveren en plaatsen opbergsysteem noodafsluitschotten,0.375,0.3,0.45,2012-01-06 08:00:00,2012-01-06 17:00:00,ploeg 1&2,5175.0
6,1.6,constructie ALSB in atelier,32.375,25.9,38.85,2012-01-09 08:00:00,2012-02-10 17:00:00,ploeg 1&2,22250.0
7,1.7,"verplaatsen bord PLC , wegnemen stopcontacten en verwarming muur loopplatform ALSB",0.375,0.3,0.45,2012-01-17 08:00:00,2012-01-17 17:00:00,ploeg 1&2,1032.0
8,1.8,bespreken lay-out ALSB met Glenn,0.375,0.3,0.45,2012-01-18 08:00:00,2012-01-18 17:00:00,ploeg 1&2,750.0
9,1.9,bestellen lay-out ALSB,0.375,0.3,0.45,2012-01-19 08:00:00,2012-01-19 17:00:00,ploeg 1&2,790.0
10,1.1,"afwerking looplatform ALSBkroooshekreiniger,trap krooshekreiniger,leuning uitstroom",1.375,1.1,1.65,2012-01-19 08:00:00,2012-01-20 17:00:00,vandezande,1860.0
11,1.11,verhogen rolbrug mits voorafgaandelijke goedkeuring offerte door bestuur + omwisselen manuele bediening takel,0.375,0.3,0.45,2012-02-06 08:00:00,2012-02-06 17:00:00,vandezande,4809.0
12,1.12,programmatie en testen PLC en visualisatie  atelier Decat,2.375,1.9,2.85,2012-02-08 08:00:00,2012-02-10 17:00:00,ploeg 1&2,8943.52001953125
13,1.13,oplevering ALSB bij Decat door glenn Degros,4.375,3.5,5.25,2012-02-13 08:00:00,2012-02-17 17:00:00,ploeg 1&2,5341.0
14,1.14,uitvoeren nodige aanpassingen aan bord + software + schema's volgens opmerkingen glenn Degros,4.375,3.5,5.25,2012-02-20 08:00:00,2012-02-24 17:00:00,ploeg 1&2,4865.0
15,1.15,leveren en plaatsen van elektrische spindelaandrijving op de noodschuiven,4.375,3.5,5.25,2012-02-20 08:00:00,2012-02-24 17:00:00,vandezande,14536.0
16,1.16,nazicht en uit testen door Glenn Degros,4.375,3.5,5.25,2012-02-27 08:00:00,2012-03-02 17:00:00,ploeg 1&2,5634.0
17,1.17,graafwerken+ opstellen betonijzer + gieten fundering voor peilmeting stroom af en opwaarts + seinborden,1.375,1.1,1.65,2012-02-27 08:00:00,2012-02-28 17:00:00,ploeg 1&2,9216.0
18,1.18,maken sleuf voor peilmeting stroomopwaarts,0.375,0.3,0.45,2012-02-29 08:00:00,2012-02-29 17:00:00,ploeg 1&2,1042.0
19,1.19,leveren en plaatsen bekabeling tussen ALSB en peilmeting + vlotters stroomopwaarts+ seinborden,5.375,4.3,6.45,2012-03-01 08:00:00,2012-03-06 17:00:00,ploeg 1&2,4567.0
20,1.2,opstellen en aansluiten ALSB op loopplatform + kast no break,4.375,3.5,5.25,2012-03-05 08:00:00,2012-03-09 17:00:00,ploeg 1&2,6589.0
21,1.21,venster pomplokaal wegnemen + bijkomende doorgang maken naar loopplatform roosterreinigers,0.375,0.3,0.45,2012-03-05 08:00:00,2012-03-05 17:00:00,vandezande,2265.0
22,1.22,plaatsen platform peilmeting af en opwaarts,0.375,0.3,0.45,2012-03-07 08:00:00,2012-03-07 17:00:00,ploeg 1&2,4247.2900390625
23,1.23,opstelling radarpeilmeting op en afwaarts + vlotters,0.375,0.3,0.45,2012-03-08 08:00:00,2012-03-08 17:00:00,ploeg 1&2,5247.2900390625
24,1.24,opstellen peilmetingen na de roosters,4.375,3.5,5.25,2012-03-09 08:00:00,2012-03-13 17:00:00,ploeg 1&2,5247.2900390625
25,1.25,leveren en plaatsen ventilatiekanalen voor koeling frequentieregelaars ALSB+geluidswerende wand,4.375,3.5,5.25,2012-03-12 08:00:00,2012-03-16 17:00:00,ploeg 1&2,45454.7890625
26,1.26,aansluitingen peilmetingen,1.375,1.1,1.65,2012-03-14 08:00:00,2012-03-15 17:00:00,ploeg 1&2,5247.2900390625
27,1.27,leveren en plaatsen nieuwe voedingskabels tussen ALSB en transfo HS lokaal voor voeding nieuw ALSB incl aansluiting op transformator,1.375,1.1,1.65,2012-03-19 08:00:00,2012-03-20 17:00:00,ploeg 1&2,3358.0
28,1.28,plaatsen geluidswerende wand + dubbel geluidswerende deur,4.375,3.5,5.25,2012-03-19 08:00:00,2012-03-23 17:00:00,ploeg 1&2,5189.0
29,1.29,uitvoeren van de nodige aardingen,0.375,0.3,0.45,2012-03-21 08:00:00,2012-03-21 17:00:00,ploeg 1&2,1186.29998779297
30,1.3,ALSB onder spanning brengen,0.375,0.3,0.45,2012-03-22 08:00:00,2012-03-22 17:00:00,ploeg 1&2,1059.0
31,1.31,omschakelen pomp 1 op nieuw ALSB,0.166666666666667,0.13,0.2,2012-03-26 08:00:00,2012-03-26 12:00:00,ploeg 1&2,1293.0
32,1.32,leveren en plaatsen werkschakelaar pomp 1,0.166666666666667,0.13,0.2,2012-03-26 13:00:00,2012-03-26 17:00:00,ploeg 1&2,1562.69995117188
33,1.33,tussenwand tussen bureau en keuken,0.375,0.3,0.45,2012-03-26 08:00:00,2012-03-26 17:00:00,ploeg 1&2,2045.0
34,1.34,leveren en plaatsen voedingskabel tussen pomp  en werkschakelaar + tussen werkschakelaar en nieuw bord 1,0.375,0.3,0.45,2012-03-27 08:00:00,2012-03-27 17:00:00,ploeg 1&2,1358.0
35,1.35,leveren en plaatsen keukenblok,0.375,0.3,0.45,2012-03-27 08:00:00,2012-03-27 17:00:00,ploeg 1&2,1482.0
36,1.36,leveren en plaatsen voedingskabel smeerpomp 1,0.375,0.3,0.45,2012-03-28 08:00:00,2012-03-28 17:00:00,ploeg 1&2,1069.0
37,1.37,Verplaatsen boiler en aanpassen leidingen,0.375,0.3,0.45,2012-03-28 08:00:00,2012-03-28 17:00:00,ploeg 1&2,1540.0
38,1.38,aanpassen smeersysteem pomp 1,0.375,0.3,0.45,2012-03-29 08:00:00,2012-03-29 17:00:00,ploeg 1&2,1163.79998779297
39,1.39,geluidsdichte omkasting rond boiler,0.375,0.3,0.45,2012-03-29 08:00:00,2012-03-29 17:00:00,ploeg 1&2,750.0
40,1.4,proefdraaien pomp 1 op nieuw ALSB,0.375,0.3,0.45,2012-04-02 08:00:00,2012-04-02 17:00:00,ploeg 1&2,1123.0
41,1.41,leveren en plaatsen bekabeling roosterreinigers + transportband + noodstoppen + console + buitenverlichting,4.375,3.5,5.25,2012-04-02 08:00:00,2012-04-06 17:00:00,ploeg 1&2,7655.60009765625
42,1.42,aansluiten installatie op Abba,0.375,0.3,0.45,2012-04-03 08:00:00,2012-04-03 17:00:00,ploeg 1&2,1564.0
43,1.43,"aansluiten roosterreiniger 1 op nieuw ALSB , testen en in dienst stellen",0.375,0.3,0.45,2012-04-09 08:00:00,2012-04-09 17:00:00,ploeg 1&2,1160.35000610352
44,1.44,"aansluiten roosterreiniger 2 op nieuw ALSB , testen en in dienst stellen",0.375,0.3,0.45,2012-04-10 08:00:00,2012-04-10 17:00:00,ploeg 1&2,1160.35000610352
45,1.45,"aansluiten roosterreiniger 3 op nieuw ALSB , testen en in dienst stellen",0.375,0.3,0.45,2012-04-11 08:00:00,2012-04-11 17:00:00,ploeg 1&2,1160.35000610352
46,1.46,aansluiten transportband op nieuw ALSB,0.375,0.3,0.45,2012-04-12 08:00:00,2012-04-12 17:00:00,ploeg 1&2,1098.0
47,1.47,aansluiten noodstoppen op nieuw ALSB,0.375,0.3,0.45,2012-04-13 08:00:00,2012-04-13 17:00:00,ploeg 1&2,1090.0
48,1.48,omschakelen pomp 2 op nieuw ALSB,0.166666666666667,0.13,0.2,2012-04-24 08:00:00,2012-04-24 12:00:00,ploeg 1&2,1293.0
49,1.49,leveren en plaatsen werkschakelaar pomp 2,0.166666666666667,0.13,0.2,2012-04-24 13:00:00,2012-04-24 17:00:00,ploeg 1&2,1125.0
50,1.5,leveren en plaatsen voedingskabel tussen pomp  en werkschakelaar + tussen werkschakelaar en nieuw bord 2,0.375,0.3,0.45,2012-04-25 08:00:00,2012-04-25 17:00:00,ploeg 1&2,1043.0
51,1.51,leveren en plaatsen voedingskabel smeerpomp 2,0.375,0.3,0.45,2012-04-26 08:00:00,2012-04-26 17:00:00,ploeg 1&2,1235.0
52,1.52,aanpassen smeersysteem pomp 2,0.375,0.3,0.45,2012-04-27 08:00:00,2012-04-27 17:00:00,ploeg 1&2,1085.0
53,1.53,leveren en plaatsen bekabeling noodschuiven,3.375,2.7,4.05,2012-04-30 08:00:00,2012-05-03 17:00:00,ploeg 1&2,4523.0
54,1.54,proefdraaien pomp 2 op nieuw ALSB,0.375,0.3,0.45,2012-04-30 08:00:00,2012-04-30 17:00:00,ploeg 1&2,1123.0
55,1.55,aansluiten noodschuif 1 + in dienst stellen,0.375,0.3,0.45,2012-05-02 08:00:00,2012-05-02 17:00:00,ploeg 1&2,1235.0
56,1.56,aansluiten noodschuif 2 + in dienst stellen,0.375,0.3,0.45,2012-05-03 08:00:00,2012-05-03 17:00:00,ploeg 1&2,1235.0
57,1.57,aansluiten noodschuif 3 + in dienst stellen,0.375,0.3,0.45,2012-05-04 08:00:00,2012-05-04 17:00:00,ploeg 1&2,1235.0
58,1.58,leveren en plaatsen seinborden,2.375,1.9,2.85,2012-05-07 08:00:00,2012-05-09 17:00:00,ploeg 1&2,3564.0
59,1.59,"leveren, plaatsen en aansluiten  buitenverlichtingspaal",0.375,0.3,0.45,2012-05-07 08:00:00,2012-05-07 17:00:00,ploeg 1&2,1839.7099609375
60,1.6,"leveren en plaatsen bekabeling binnenverlichting , stopcontacten en klimatisatie",3.375,2.7,4.05,2012-05-08 08:00:00,2012-05-11 17:00:00,ploeg 1&2,4241.0
