node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
4,1.1.1.1,CARTEL DE IDENTIFICACION DE OBRA DE 3.60 X 2.40 m.,1.0,0.5,1.5,2022-09-01 08:00:00,nan,welder,
5,1.1.1.2,ALQUILER DE ALMACEN Y GUARDIANIA,59.0,50.15,67.85,2022-09-01 08:00:00,nan,carpenter,
7,1.1.2.1,FLETE TERRESTRE,59.0,48.97,69.03,2022-09-01 08:00:00,nan,plumber,
8,1.1.2.2,MOVILIZACION Y DESMOVILIZACION DE EQUIPOS Y MAQUINARIAS,2.0,0.5,3.0,2022-09-01 08:00:00,nan,team subcontractor[2.00 #8],
10,1.1.3.1,PLAN DE MITIGACION DEL IMPACTO AMBIENTAL EN OBRA,1.0,0.5,1.5,2022-09-01 08:00:00,nan,team subcontractor,
11,1.1.3.2,LIMPIEZA FINAL DE LA OBRA,1.0,0.5,1.5,2022-10-30 08:00:00,nan,carpenter,
13,1.1.4.1,MEDIDA DE COMUNICACIÓN E INFORMACION ANTI COVID 19,30.0,24.9,35.1,2022-09-01 08:00:00,nan,welder,
14,1.1.4.2,ELEMENTOS DE PROTESSION PERSONAL ANTI COVID - 19,30.0,19.8,39.9,2022-09-01 08:00:00,nan,team subcontractor[2.00 #8],
15,1.1.4.3,MEDIDAS DE CONTROL ANTI COVID - 19,59.0,41.3,76.7,2022-09-01 08:00:00,nan,team subcontractor[2.00 #8],
16,1.1.4.4,MEDIDAS DE PREVENCION HABITUALES ANTI COVID - 19,59.0,51.92,66.08,2022-09-01 08:00:00,nan,team subcontractor[2.00 #8],
17,1.1.4.5,EQUIPOS DE PROTESSION INDIVIDUAL PARA OBRA,59.0,54.87,63.13,2022-09-01 08:00:00,nan,welder,
18,1.1.4.6,SEÑALIZACION TEMPORAL EN OBRA,1.0,0.5,1.5,2022-09-01 08:00:00,nan,team subcontractor[2.00 #8],
21,1.2.1.1,DEMOLICION DE PISO DE CONCRETO e =0.15 m,2.0,1.0,3.0,2022-09-03 08:00:00,nan,steel worker,
22,1.2.1.2,DEMOLICION DE SARDINEL PERALTADO H=0.60m e=0.15m,2.0,0.5,3.5,2022-09-05 08:00:00,nan,mason,
23,1.2.1.3,DESMONTAJE DE CERCO PERIMETRICO DE ACERO EN SARDINEL H=0.65m,2.0,1.0,3.0,2022-09-07 08:00:00,nan,electrician ,
24,1.2.1.4,DESMONTAJE DE BANCA DE FIERRO GALVANIZADO CON MADERA,2.0,0.5,3.5,2022-09-09 08:00:00,nan,mason,
25,1.2.1.5,DESMONTAJE DE TACHOS DE BASURA,2.0,1.0,3.0,2022-09-11 08:00:00,nan,plasterer,
27,1.2.2.1,LIMPIEZA DEL TERRENO MANUAL,1.0,0.5,1.5,2022-09-13 08:00:00,nan,carpenter,
28,1.2.2.2,TRAZO Y REPLANTEO PRELIMINAR,2.0,1.0,3.0,2022-09-14 08:00:00,nan,painter,
29,1.2.2.3,CONTROL TOPOGRAFICO DURANTE EJECUCION DE OBRA,46.0,40.02,51.98,2022-09-14 08:00:00,nan,mason,
32,1.2.3.1.1,CORTE A NIVEL DE SUBRASANTE PARA VEREDAS,5.0,2.0,8.0,2022-09-16 08:00:00,nan,mason,
33,1.2.3.1.2,RELLENO COMPACTADO C/EQUIPO LIVIANO CON MATERIAL PROPIO,2.0,1.0,3.0,2022-09-27 08:00:00,nan,welder,
35,1.2.3.2.1,CORTE A NIVEL DE SUBRASANTE PARA RAMPAS,2.0,1.0,3.0,2022-09-16 08:00:00,nan,mason,
36,1.2.3.2.2,RELLENO COMPACTADO C/EQUIPO LIVIANO CON MATERIAL PROPIO,1.0,0.5,1.5,2022-09-21 08:00:00,nan,mason,
38,1.2.3.3.1,CORTE A NIVEL DE SUBRASANTE PARA PISOS,3.0,1.98,4.02,2022-09-16 08:00:00,nan,mason,
39,1.2.3.3.2,RELLENO COMPACTADO C/EQUIPO LIVIANO CON MATERIAL PROPIO,1.0,0.5,1.5,2022-09-27 08:00:00,nan,carpenter,
41,1.2.3.4.1,CORTE A NIVEL DE SUBRASANTE PARA PISOS,3.0,1.98,4.02,2022-09-16 08:00:00,nan,plasterer,
42,1.2.3.4.2,RELLENO COMPACTADO C/EQUIPO LIVIANO CON MATERIAL PROPIO,1.0,0.5,1.5,2022-09-22 08:00:00,nan,mason,
44,1.2.3.5.1,EXCAVACION MANUAL EN TERRENO NORMAL,5.0,2.0,10.0,2022-09-16 08:00:00,nan,welder,
46,1.2.3.6.1,EXCAVACION MANUAL EN TERRENO NORMAL,5.0,1.0,9.0,2022-09-16 08:00:00,nan,painter,
48,1.2.3.7.1,ELIMINACION DE MATERIAL EXCEDENTE CON EQUIPO HASTA 5 km,2.0,0.5,3.5,2022-09-29 08:00:00,nan,painter,
51,1.2.4.1.1,BASE GRANULAR E=0.10 m.COMPACTADA,2.0,0.5,3.5,2022-09-21 08:00:00,nan,team subcontractor[4.00 #8],
52,1.2.4.1.2,ENCOFRADO Y DESENCOFRADO EN VEREDAS,3.0,0.99,5.01,2022-09-23 08:00:00,nan,team subcontractor[4.00 #8],
53,1.2.4.1.3,"CONCRETO EN VEREDAS Y RAMPAS f'c=175 Kg/cm2, ACABADO SEMIPULIDO",1.0,0.5,1.5,2022-09-26 08:00:00,nan,mason,
54,1.2.4.1.4,"SARDINEL DE VEREDA f'c = 175 Kg/cm2, H=VAR.(UÑA)",1.0,0.5,1.5,2022-09-26 08:00:00,nan,painter,
55,1.2.4.1.5,CURADO DE VEREDA DE CONCRETO,1.0,0.5,1.5,2022-09-27 08:00:00,nan,painter,
56,1.2.4.1.6,JUNTA DE DILATACION EN VEREDAS,1.0,0.5,1.5,2022-09-23 08:00:00,nan,mason,
59,1.2.5.1.1,BASE GRANULAR E=0.10 m.COMPACTADA,1.0,0.5,1.25,2022-09-18 00:00:00,nan,mason,
60,1.2.5.1.2,ENCOFRADO Y DESENCOFRADO EN RAMPAS,1.0,0.5,1.5,2022-09-19 00:00:00,nan,electrician ,
61,1.2.5.1.3,"CONCRETO EN VEREDAS Y RAMPAS f'c=175 Kg/cm2, ACABADO SEMIPULIDO",1.0,0.5,1.5,2022-09-20 00:00:00,nan,welder,
62,1.2.5.1.4,CURADO DE RAMPA DE CONCRETO,1.0,0.5,1.5,2022-09-21 00:00:00,nan,painter,
63,1.2.5.1.5,JUNTA DE DILATACION EN RAMPAS,1.0,0.25,1.5,2022-09-19 00:00:00,nan,electrician ,
66,1.2.6.1.1,BASE GRANULAR E=0.10 m.COMPACTADA,2.0,1.0,3.0,2022-09-19 00:00:00,nan,mason,
