node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Recreation Complex,572.375,566.65,578.1,2011-04-29 08:00:00,2012-11-21 17:00:00,,5480518.91265869
1,1.1,START DER WERKEN SPORTHAL,0.0,0.0,0.0,2011-07-08 17:00:00,2011-07-08 17:00:00,,0.0
2,1.2,Totale uitvoeringstermijn,572.375,566.65,578.1,2011-04-29 08:00:00,2012-11-21 17:00:00,,5480518.91265869
3,1.2.1,WERFINRICHTING,3.375,3.34,3.41,2011-08-01 08:00:00,2011-08-04 17:00:00,,140380.546875
4,1.2.1.1,Plaatsen van de werfketen en werfuitrusting,3.375,2.7,4.05,2011-08-01 08:00:00,2011-08-04 17:00:00,,140380.546875
5,1.2.2,VOORBEREIDENDE WERKEN,142.375,140.95,143.8,2011-08-01 08:00:00,2011-12-21 17:00:00,,366683.420166016
6,1.2.2.1,Opzoeken ondergrondse leidingen,2.375,1.9,2.85,2011-08-01 08:00:00,2011-08-03 17:00:00,,685.679992675781
7,1.2.2.2,WERKEN NIEUWE PARKEERZONE (ZONE P),63.375,62.74,64.01,2011-08-25 08:00:00,2011-10-27 17:00:00,,117133.558776855
265,1.2.2.2.1,Voorstel materiaal nieuwe muur,0.0,0.0,0.0,2011-08-25 17:00:00,2011-08-25 17:00:00,,0.0
266,1.2.2.2.2,Afbraak gemeenschappelijke muur thv nieuwe parking,3.375,2.7,4.05,2011-09-02 08:00:00,2011-09-05 17:00:00,,704.799987792969
267,1.2.2.2.3,Fundering nieuwe te metsen muur,6.375,5.1,7.65,2011-09-06 08:00:00,2011-09-12 17:00:00,,1142.80004882813
8,1.2.2.2.4,Aanleggen onderfundering parking (zone P),5.375,4.3,6.45,2011-08-25 08:00:00,2011-08-30 17:00:00,,914.239990234375
9,1.2.2.2.5,Metselwerk omgeving nieuwe parking,20.375,16.3,24.45,2011-08-31 08:00:00,2011-09-20 17:00:00,,70567.4375
10,1.2.2.2.6,Aanleggen van bestrating nieuwe parking+tijdelijke toegang,41.375,33.1,49.65,2011-09-16 08:00:00,2011-10-27 17:00:00,,43804.28125
