node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Digipolis Talent Management Suite,225.375,223.12,227.63,2012-08-15 08:00:00,2013-03-28 17:00:00,,4899912
1,1.1,Digipolis TMS (comp proj),225.375,223.12,227.63,2012-08-15 08:00:00,2013-03-28 17:00:00,,4899912
2,1.1.1,"WP1 - Sched, Cal, Takes, Entitlements, Accum, Pos Time",225.375,223.12,227.63,2012-08-15 08:00:00,2013-03-28 17:00:00,,4729572
3,1.1.1.1,WP1_Extension,225.375,223.12,227.63,2012-08-15 08:00:00,2013-03-28 17:00:00,,4687242
4,1.1.1.1.1,WP1_E-TL-03_Extension TL - Compensatory TimeOff Plans,225.375,223.12,227.63,2012-08-15 08:00:00,2013-03-28 17:00:00,,4676112
5,1.1.1.1.1.1,PS_WP1_E-TL-03_TD,15.125,12.1,18.15,2012-08-15 08:00:00,2012-08-30 11:00:00,Employee,2730
6,1.1.1.1.1.2,PS_WP1_E-TL-03_Code,15.1666666666667,12.13,18.2,2012-10-08 10:00:00,2012-10-23 14:00:00,Employee,2730
7,1.1.1.1.1.3,PS_WP1_E-TL-03_UTP,6.79166666666667,5.43,8.15,2012-11-29 14:00:00,2012-12-06 09:00:00,Employee,1080
8,1.1.1.1.1.4,PS_WP1_E-TL-03_UTE,7.125,5.7,8.55,2013-01-23 11:00:00,2013-01-30 14:00:00,Employee,4667922
9,1.1.1.1.1.5,PS_WP1_E-TL-03_UTE,7.08333333333333,5.67,8.5,2013-01-23 10:00:00,2013-01-30 12:00:00,Employee,1260
10,1.1.1.1.1.6,PS_WP1_E-TL-03_TD_CHR00025,0.208333333333333,0.17,0.25,2013-03-28 11:00:00,2013-03-28 16:00:00,Employee,120
11,1.1.1.1.1.7,PS_WP1_E-TL-03_Code_CHR00025,0.208333333333333,0.17,0.25,2013-03-28 10:00:00,2013-03-28 15:00:00,Employee,120
12,1.1.1.1.1.8,PS_WP1_E-TL-03_UTP_CHR00025,0.0833333333333333,0.07,0.1,2013-03-28 15:00:00,2013-03-28 17:00:00,Employee,60
13,1.1.1.1.1.9,PS_WP1_E-TL-03_UTE_CHR00025,0.166666666666667,0.13,0.2,2013-03-28 11:00:00,2013-03-28 15:00:00,Employee,90
14,1.1.1.1.2,WP1_E-TL-06_Extension - TL - Handling Recovery Time,75.2916666666667,74.54,76.04,2013-01-04 09:00:00,2013-03-20 16:00:00,,1710
15,1.1.1.1.2.1,PS_WP1_E-TL-06_TD,4.04166666666667,3.23,4.85,2013-01-04 09:00:00,2013-01-08 10:00:00,Employee,510
16,1.1.1.1.2.2,PS_WP1_E-TL-06_Code,4.04166666666667,3.23,4.85,2013-02-07 14:00:00,2013-02-11 15:00:00,Employee,510
17,1.1.1.1.2.3,PS_WP1_E-TL-06_UTP,0.916666666666667,0.73,1.1,2013-03-07 13:00:00,2013-03-08 11:00:00,Employee,210
18,1.1.1.1.2.4,PS_WP1_E-TL-06_UTE,2.0,1.6,2.4,2013-03-18 16:00:00,2013-03-20 16:00:00,Employee,480
19,1.1.1.1.3,WP1_E-TL-09_Extension - TL - Manage Schedules,138.041666666667,136.66,139.42,2012-10-26 08:00:00,2013-03-13 09:00:00,,4620
20,1.1.1.1.3.1,PS_WP1_E-TL-09_TD,7.29166666666667,5.83,8.75,2012-10-26 08:00:00,2012-11-02 15:00:00,Employee,1380
21,1.1.1.1.3.2,PS_WP1_E-TL-09_Code,7.29166666666667,5.83,8.75,2012-11-26 08:00:00,2012-12-03 15:00:00,Employee,1380
22,1.1.1.1.3.3,PS_WP1_E-TL-09_UTP,2.125,1.7,2.55,2013-02-05 11:00:00,2013-02-07 14:00:00,Employee,540
23,1.1.1.1.3.4,PS_WP1_E-TL-09_UTE,4.29166666666667,3.43,5.15,2013-03-08 08:00:00,2013-03-12 15:00:00,Employee,660
24,1.1.1.1.3.5,PS_WP1_E-TL-09_UTE,4.91666666666667,3.93,5.9,2013-03-08 11:00:00,2013-03-13 09:00:00,Employee,660
25,1.1.1.1.4,"WP1_E-TL-14, E-TL-08_Extension - TL - Recovery Type Indicator/Extension - TL - Inconvenient Hours Eligibility",24.25,24.01,24.49,2013-03-04 11:00:00,2013-03-28 17:00:00,,810
26,1.1.1.1.4.1,PS_WP1_E-TL-14_TD,0.958333333333333,0.77,1.15,2013-03-04 11:00:00,2013-03-05 10:00:00,Employee,210
27,1.1.1.1.4.2,PS_WP1_E-TL-14_Code,2.95833333333333,2.37,3.55,2013-03-15 16:00:00,2013-03-18 15:00:00,Employee,210
28,1.1.1.1.4.3,PS_WP1_E-TL-14_UTP,0.125,0.1,0.15,2013-03-25 13:00:00,2013-03-25 16:00:00,Employee,90
29,1.1.1.1.4.4,PS_WP1_E-TL-14_UTE,0.916666666666667,0.73,1.1,2013-03-27 11:00:00,2013-03-28 09:00:00,Employee,180
30,1.1.1.1.4.5,PS_WP1_E-TL-14_TD_CHR00027,0.0416666666666667,0.03,0.05,2013-03-28 16:00:00,2013-03-28 17:00:00,Employee,30
31,1.1.1.1.4.6,PS_WP1_E-TL-14_Code_CHR00027,0.0416666666666667,0.03,0.05,2013-03-28 15:00:00,2013-03-28 16:00:00,Employee,30
32,1.1.1.1.4.7,PS_WP1_E-TL-14_UTP_CHR00027,0.0416666666666667,0.03,0.05,2013-03-28 16:00:00,2013-03-28 17:00:00,Employee,30
33,1.1.1.1.4.8,PS_WP1_E-TL-14_UTE_CHR00027,0.0416666666666667,0.03,0.05,2013-03-28 16:00:00,2013-03-28 17:00:00,Employee,30
34,1.1.1.1.5,WP1_E-TL-17_Extension - TL - Warning for Shifts,98.2083333333333,97.23,99.19,2012-12-07 09:00:00,2013-03-15 14:00:00,,2190
35,1.1.1.1.5.1,PS_WP1_E-TL-17_TD,4.29166666666667,3.43,5.15,2012-12-07 09:00:00,2012-12-11 16:00:00,Employee,660
36,1.1.1.1.5.2,PS_WP1_E-TL-17_Code,4.29166666666667,3.43,5.15,2013-01-17 10:00:00,2013-01-21 17:00:00,Employee,660
37,1.1.1.1.5.3,PS_WP1_E-TL-17_UTP,1.04166666666667,0.83,1.25,2013-02-25 15:00:00,2013-02-26 16:00:00,Employee,270
38,1.1.1.1.5.4,PS_WP1_E-TL-17_UTE,2.20833333333333,1.77,2.65,2013-03-13 09:00:00,2013-03-15 14:00:00,Employee,600
39,1.1.1.1.6,WP1_E-AM-05_Extension - AM - Klein Verlet,82.2916666666667,81.47,83.11,2012-12-27 10:00:00,2013-03-19 17:00:00,,1800
40,1.1.1.1.6.1,PS_WP1_E-AM-05_TD,4.08333333333333,3.27,4.9,2012-12-27 10:00:00,2012-12-31 12:00:00,Employee,540
41,1.1.1.1.6.2,PS_WP1_E-AM-05_Code,4.70833333333333,3.77,5.65,2013-01-31 16:00:00,2013-02-05 09:00:00,Employee,540
42,1.1.1.1.6.3,PS_WP1_E-AM-05_UTP,0.333333333333333,0.27,0.4,2013-03-07 09:00:00,2013-03-07 17:00:00,Employee,210
43,1.1.1.1.6.4,PS_WP1_E-AM-05_UTE,4.04166666666667,3.23,4.85,2013-03-15 16:00:00,2013-03-19 17:00:00,Employee,510
44,1.1.1.2,WP1_Extended_Config,224.166666666667,221.93,226.41,2012-08-15 08:00:00,2013-03-27 12:00:00,,28320
45,1.1.1.2.1,WP1_EC-AM-04_Ext Config - AM - Educational Leave,0.625,0.62,0.63,2012-08-15 08:00:00,2012-08-14 17:00:00,,0
46,1.1.1.2.1.1,PS_WP1_EC-AM-04_TD,0.625,0.5,0.75,2012-08-15 08:00:00,2012-08-14 17:00:00,,0
47,1.1.1.2.1.2,PS_WP1_EC-AM-04_Code,0.625,0.5,0.75,2012-08-15 08:00:00,2012-08-14 17:00:00,,0
48,1.1.1.2.1.3,PS_WP1_EC-AM-04_UTP,0.625,0.5,0.75,2012-08-15 08:00:00,2012-08-14 17:00:00,,0
49,1.1.1.2.1.4,PS_WP1_EC-AM-04_UTE,0.625,0.5,0.75,2012-08-15 08:00:00,2012-08-14 17:00:00,,0
50,1.1.1.2.2,WP1_EC-AM-09_Ext Config - AM - Leave Without Pay,224.166666666667,221.93,226.41,2012-08-15 08:00:00,2013-03-27 12:00:00,,240
51,1.1.1.2.2.1,PS_WP1_EC-AM-09_TD,0.625,0.5,0.75,2012-08-15 08:00:00,2012-08-14 17:00:00,,0
52,1.1.1.2.2.2,PS_WP1_EC-AM-09_Code,0.0,0.0,0.0,2012-08-15 09:00:00,2012-08-15 09:00:00,,0
53,1.1.1.2.2.3,PS_WP1_EC-AM-09_UTP,0.958333333333333,0.77,1.15,2013-03-26 13:00:00,2013-03-27 12:00:00,Employee,240
54,1.1.1.2.2.4,PS_WP1_EC-AM-09_UTE,0.0,0.0,0.0,2013-03-27 12:00:00,2013-03-27 12:00:00,,0
55,1.1.1.2.3,WP1_EC-AM-19_Ext Config - AM - Unemployment/Retirement,0.375,0.37,0.38,2012-08-15 08:00:00,2012-08-15 17:00:00,,0
56,1.1.1.2.3.1,PS_WP1_EC-AM-19_TD,0.625,0.5,0.75,2012-08-15 08:00:00,2012-08-14 17:00:00,,0
57,1.1.1.2.3.2,PS_WP1_EC-AM-19_Code,0.625,0.5,0.75,2012-08-15 08:00:00,2012-08-14 17:00:00,,0
