node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Residential House (4),448.375,443.89,452.86,2016-03-07 08:00:00,2017-05-29 17:00:00,,218366
49,1.1,Voorbereiding,14.375,14.23,14.52,2016-03-07 08:00:00,2016-03-21 17:00:00,,11265
1,1.1.1,Werfinrichting,2.375,1.9,2.85,2016-03-07 08:00:00,2016-03-09 17:00:00,,3642
2,1.1.2,Transportkosten,8.375,6.7,10.05,2016-03-07 08:00:00,2016-03-15 17:00:00,,2202
3,1.1.3,Rijtijden ploegen,9.375,7.5,11.25,2016-03-07 08:00:00,2016-03-16 17:00:00,,2190
4,1.1.4,Studiekosten,14.375,11.5,17.25,2016-03-07 08:00:00,2016-03-21 17:00:00,,3231
50,1.2,Funderingen,41.375,40.96,41.79,2016-03-22 08:00:00,2016-05-02 17:00:00,,12319
5,1.2.1,Funderingen,41.375,33.1,49.65,2016-03-22 08:00:00,2016-05-02 17:00:00,,12319
51,1.3,Ruwbouw,114.375,113.23,115.52,2016-05-03 08:00:00,2016-08-25 17:00:00,,48401
6,1.3.1,Gewa/metselwerk,24.375,19.5,29.25,2016-05-03 08:00:00,2016-05-27 17:00:00,,12997
7,1.3.2,Gewelven/Structuur,8.375,6.7,10.05,2016-05-30 08:00:00,2016-06-07 17:00:00,,5432
8,1.3.3,Uitbranden GEWA,0.375,0.3,0.45,2016-05-30 08:00:00,2016-05-30 17:00:00,,533
9,1.3.4,Isolatie,6.375,5.1,7.65,2016-06-08 08:00:00,2016-06-14 17:00:00,,1324
10,1.3.5,Parament,48.375,38.7,58.05,2016-06-15 08:00:00,2016-08-02 17:00:00,,19883
11,1.3.6,Ytong,5.375,4.3,6.45,2016-08-03 08:00:00,2016-08-08 17:00:00,,2879
12,1.3.7,Dorpels,2.375,1.9,2.85,2016-08-09 08:00:00,2016-08-11 17:00:00,,1934
13,1.3.8,Voegwerk,7.375,5.9,8.85,2016-08-09 08:00:00,2016-08-16 17:00:00,,1493
14,1.3.9,Stelling,5.375,4.3,6.45,2016-08-17 08:00:00,2016-08-22 17:00:00,,1392
15,1.3.10,Crepi+Isolatie,1.375,1.1,1.65,2016-08-23 08:00:00,2016-08-24 17:00:00,,334
16,1.3.11,Karweien,0.375,0.3,0.45,2016-08-25 08:00:00,2016-08-25 17:00:00,,200
52,1.4,Dakwerken,101.375,100.36,102.39,2016-08-26 08:00:00,2016-12-05 17:00:00,,39200
17,1.4.1,Daktimmer traditioneel/prefabkap,48.375,38.7,58.05,2016-08-26 08:00:00,2016-10-13 17:00:00,,13456
18,1.4.2,Dakdekken,27.375,21.9,32.85,2016-10-14 08:00:00,2016-11-10 17:00:00,,15873
19,1.4.3,Goten & Afleiders,4.375,3.5,5.25,2016-11-11 08:00:00,2016-11-15 17:00:00,,1282
20,1.4.4,Oversteken/Gevelbekleding,21.375,17.1,25.65,2016-11-11 08:00:00,2016-12-02 17:00:00,,6265
21,1.4.5,Dakvlakramen,0.375,0.3,0.45,2016-12-05 08:00:00,2016-12-05 17:00:00,,2324
53,1.5,Buitenschrijnwerk,20.375,20.17,20.58,2016-12-06 08:00:00,2016-12-26 17:00:00,,23493
22,1.5.1,Buitenschrijnwerk plaatsen,20.375,16.3,24.45,2016-12-06 08:00:00,2016-12-26 17:00:00,,23493
54,1.6,Binnenafwerking,72.375,71.65,73.1,2017-01-23 08:00:00,2017-04-05 17:00:00,,30237
23,1.6.1,Plakwerken,15.375,12.3,18.45,2017-01-23 08:00:00,2017-02-07 17:00:00,,9564
24,1.6.2,Chapes/uitvullingen,6.375,5.1,7.65,2017-02-08 08:00:00,2017-02-14 17:00:00,,2432
25,1.6.3,Vloerisolatie,13.375,10.7,16.05,2017-02-16 08:00:00,2017-03-01 17:00:00,,2739
26,1.6.4,Tegelwerken,8.375,6.7,10.05,2017-03-02 08:00:00,2017-03-10 17:00:00,,3633
27,1.6.5,Voorbereiding+Gyplat,9.375,7.5,11.25,2017-03-13 08:00:00,2017-03-22 17:00:00,,2792
28,1.6.6,Buisbek/Zoldluik/Platen zold/Stijl,3.375,2.7,4.05,2017-03-13 08:00:00,2017-03-16 17:00:00,,837
29,1.6.7,Binnendeuren/Uitbekleding,5.375,4.3,6.45,2017-03-23 08:00:00,2017-03-28 17:00:00,,1021
30,1.6.8,Trap,7.375,5.9,8.85,2017-03-23 08:00:00,2017-03-30 17:00:00,,1650
31,1.6.9,Luchtdichten,13.375,10.7,16.05,2017-03-23 08:00:00,2017-04-05 17:00:00,,5569
55,1.7,Technieken,101.375,100.36,102.39,2016-12-27 08:00:00,2017-04-07 17:00:00,,38827
32,1.7.1,UZL,2.375,1.9,2.85,2016-12-27 08:00:00,2016-12-29 17:00:00,,888
33,1.7.2,Betonplexplaten,0.375,0.3,0.45,2016-12-27 08:00:00,2016-12-27 17:00:00,,100
34,1.7.3,Slijpen technieken/Boringen,5.375,4.3,6.45,2016-12-30 08:00:00,2017-01-04 17:00:00,,1296
35,1.7.4,Bad &amp; douche,0.375,0.3,0.45,2017-02-15 08:00:00,2017-02-15 17:00:00,,320
36,1.7.5,Leidingen vent,4.375,3.5,5.25,2017-01-05 08:00:00,2017-01-09 17:00:00,,2580
37,1.7.6,Leidingen san/WP/CV,6.375,5.1,7.65,2017-01-10 08:00:00,2017-01-16 17:00:00,,3711
38,1.7.7,Afwerken ventilatie,1.375,1.1,1.65,2017-03-13 08:00:00,2017-03-14 17:00:00,,2317
39,1.7.8,Afwerken sanitair,2.375,1.9,2.85,2017-03-15 08:00:00,2017-03-17 17:00:00,,6472
40,1.7.9,Afwerken CV/WP,1.375,1.1,1.65,2017-03-20 08:00:00,2017-03-21 17:00:00,,5903
41,1.7.10,Leidingen electro,3.375,2.7,4.05,2017-01-17 08:00:00,2017-01-20 17:00:00,,2701
42,1.7.11,Afwerken electro,5.375,4.3,6.45,2017-03-22 08:00:00,2017-03-27 17:00:00,,3807
43,1.7.12,Zonneboiler,0.375,0.3,0.45,2017-03-28 08:00:00,2017-03-28 17:00:00,,455
44,1.7.13,PV panelen,2.375,1.9,2.85,2017-03-28 08:00:00,2017-03-30 17:00:00,,4950
45,1.7.14,Verlichting,0.375,0.3,0.45,2017-03-28 08:00:00,2017-03-28 17:00:00,,100
46,1.7.15,Karweien,10.375,8.3,12.45,2017-03-28 08:00:00,2017-04-07 17:00:00,,3227
56,1.8,Omgevingswerken,4.375,4.33,4.42,2017-04-10 08:00:00,2017-04-14 17:00:00,,1406
47,1.8.1,Opkuis werf (afvoeren puin & afval),4.375,3.5,5.25,2017-04-10 08:00:00,2017-04-14 17:00:00,,1406
57,1.9,Restklasse,42.375,41.95,42.8,2017-04-17 08:00:00,2017-05-29 17:00:00,,13218
48,1.9.1,Rest,42.375,33.9,50.85,2017-04-17 08:00:00,2017-05-29 17:00:00,,13218
