node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Sports Center Tielt,101.375,100.36,102.39,2011-01-21 08:00:00,2011-05-02 17:00:00,,254564.129882812
1,1.1,Voorbereidende Werken,13.375,10.7,16.05,2011-01-21 08:00:00,2011-02-03 17:00:00,#People[10.00 #10],17610.0
2,1.2,Grondverzet,18.375,14.7,22.05,2011-02-04 08:00:00,2011-02-22 17:00:00,#People[6.00 #10],23532.5
3,1.3,Geschikt maken zate ophoging/baanbed uitgraving,0.375,0.3,0.45,2011-02-23 08:00:00,2011-02-23 17:00:00,#People,300.0
4,1.4,Bescherming van de onderfundering,0.375,0.3,0.45,2011-02-23 08:00:00,2011-02-23 17:00:00,#People[2.00 #10],800.0
5,1.5,Fundering,6.375,5.1,7.65,2011-02-24 08:00:00,2011-03-02 17:00:00,#People[7.00 #10],22156.0
6,1.6,Cementbetonverhardingen,1.375,1.1,1.65,2011-03-03 08:00:00,2011-03-04 17:00:00,#People[4.00 #10],50598.0
7,1.7,Bestratingen,1.375,1.1,1.65,2011-03-07 08:00:00,2011-03-08 17:00:00,#People[5.00 #10],14180.0
8,1.8,Andere verhardingen,0.375,0.3,0.45,2011-03-07 08:00:00,2011-03-07 17:00:00,#People[3.00 #10],2912.5
9,1.9,Riolering en afvoer van water aangelegd in een sleuf,2.375,1.9,2.85,2011-03-09 08:00:00,2011-03-11 17:00:00,#People[5.00 #10],4620.0
10,1.1,"Verbindings-, las-, blinde-, of verzonken put",0.375,0.3,0.45,2011-03-14 08:00:00,2011-03-14 17:00:00,#People[2.00 #10],2500.0
11,1.11,Bovenbouw van inspectieputten,3.375,2.7,4.05,2011-03-15 08:00:00,2011-03-18 17:00:00,#People[7.00 #10],3400.0
12,1.12,Regenwaterput,2.375,1.9,2.85,2011-03-15 08:00:00,2011-03-17 17:00:00,#People[5.00 #10],7500.0
13,1.13,Aansluitingen op de riolering,7.375,5.9,8.85,2011-03-21 08:00:00,2011-03-28 17:00:00,#People[8.00 #10],8130.0
14,1.14,Draineringen,1.375,1.1,1.65,2011-03-29 08:00:00,2011-03-30 17:00:00,#People[6.00 #10],4335.0
15,1.15,"Trottoirbanden (borduren), trottoirbanden-watergreppels en schampkanten + Watergreppels van polyesterbeton",5.375,4.3,6.45,2011-03-31 08:00:00,2011-04-05 17:00:00,#People[6.00 #10],23465.0
16,1.16,Doorsteken voor nutsleidingen,3.375,2.7,4.05,2011-01-21 08:00:00,2011-01-24 17:00:00,#People[3.00 #10],2500.0
17,1.17,Herplaatsen van fietsenstalling,0.375,0.3,0.45,2011-01-25 08:00:00,2011-01-25 17:00:00,#People[2.00 #10],1950.0
18,1.18,Inrichten petanqueveldje,1.375,1.1,1.65,2011-01-25 08:00:00,2011-01-26 17:00:00,#People[3.00 #10],1600.0
19,1.19,Poorten en afsluitingen,0.375,0.3,0.45,2011-01-25 08:00:00,2011-01-25 17:00:00,#People[2.00 #10],1100.0
20,1.2,Metalen borstwering,0.375,0.3,0.45,2011-01-25 08:00:00,2011-01-25 17:00:00,#People[5.00 #10],3195.0
21,1.21,Betonnen trappen + Houten traptredes,2.375,1.9,2.85,2011-01-25 08:00:00,2011-01-27 17:00:00,#People[3.00 #10],8900.0
22,1.22,Schilderwerken,9.375,7.5,11.25,2011-01-26 08:00:00,2011-02-04 17:00:00,#People[2.00 #10],3850.0
23,1.23,Besproeiingspomp voor voetbalvelden,0.375,0.3,0.45,2011-01-25 08:00:00,2011-01-25 17:00:00,#People[3.00 #10],8050.0
24,1.24,Keerwand,7.375,5.9,8.85,2011-04-06 08:00:00,2011-04-13 17:00:00,#People[8.00 #10],16737.5
25,1.25,Markeringen,0.375,0.3,0.45,2011-04-14 08:00:00,2011-04-14 17:00:00,#People[3.00 #10],1325.0
26,1.26,Groenaanleg,17.375,13.9,20.85,2011-04-15 08:00:00,2011-05-02 17:00:00,#People[5.00 #10],19317.6298828125
