node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
4,1.1.1.1,CARTEL DE IDENTIFICACION DE LA OBRA DE 2.40x3.60m,1.0,0.8,1.2,2019-11-01 00:00:00,nan,plumber,
5,1.1.1.2,ALMACEN Y CASETA DE GUARDIANIA,1.0,0.8,1.2,2019-11-01 00:00:00,nan,plumber,
6,1.1.1.3,MOVILIZACION Y DESMOVILIZACION DE EQUIPOS Y HERREMIENTAS,1.0,0.8,1.2,2019-11-01 00:00:00,nan,carpenter,
7,1.1.1.4,MANTENIMIENTO DE CAMINO PROVISIONAL PARA LA OBRA,2.0,1.6,2.4,2019-11-02 00:00:00,nan,carpenter,
9,1.1.2.1,"ELABORACION, IMPLEMENTACION Y ADMINISTRACION DEL PLAN DE SEGURIDAD Y SALUD EN EL TRABAJO",1.0,0.8,1.2,2019-11-01 00:00:00,nan,plumber,
10,1.1.2.2,CAPACITACION EN SEGURIDAD Y SALUD,60.0,48.0,72.0,2019-11-01 00:00:00,nan,mason,
11,1.1.2.3,EQUIPOS DE PROTESSION INDIVIDUAL,60.0,48.0,72.0,2019-11-01 00:00:00,nan,carpenter,
12,1.1.2.4,RECURSOS PARA RESPUESTA ANTE EMERGENCIAS EN SEGURIDAD Y SALUD DURANTE EL TRABAJO,60.0,48.0,72.0,2019-11-01 00:00:00,nan,plumber,
16,1.1.3.1.1.1,RETIRO DE GEOMENBRANA DETERIORADA,5.0,4.0,6.0,2019-11-04 00:00:00,nan,mason,
17,1.1.3.1.1.2,DEMOLICION DE OBRAS DE MAMPOSTERIA,10.0,8.0,12.0,2019-11-07 00:00:00,nan,welder,
18,1.1.3.1.1.3,DEMOLICION DE OBRAS DE CONCRETO SIMPLE,3.0,2.4,3.6,2019-11-14 00:00:00,nan,team subcontractor[2.00 #8],
19,1.1.3.1.1.4,"TRAZO, NIVELACION Y REPLANTEO INICIAL",1.0,0.5,1.5,2019-11-02 00:00:00,nan,team subcontractor[2.00 #8],
20,1.1.3.1.1.5,"TRAZO, NIVELACION Y REPLANTEO DURANTE LA OBRA",59.0,47.2,70.8,2019-11-02 00:00:00,nan,team subcontractor[2.00 #8],
22,1.1.3.1.2.1,EXCAVACION MANUAL EN TERRENO CONGLOMERADO,12.0,9.6,14.4,2019-11-07 00:00:00,nan,mason,
23,1.1.3.1.2.2,"REFINE, NIVELACION Y COMPACTACION DE BASE",4.0,3.2,4.8,2019-11-15 00:00:00,nan,electrician ,
24,1.1.3.1.2.3,RELLENO Y COMPACTADO CON MATERIAL PROPIO,4.0,3.2,4.8,2019-11-15 00:00:00,nan,mason,
25,1.1.3.1.2.4,ELIMINACION DE MATERIAL CON VOLQUETE PROVENIENTE DE DEMOLICIONES,4.0,2.0,6.0,2019-11-16 00:00:00,nan,plasterer,
27,1.1.3.1.3.1,CONFORMACION DE DIQUE CON MATERIAL DE AFIRMADO  (CON FINOS),12.0,6.0,18.0,2019-11-15 00:00:00,nan,carpenter,
28,1.1.3.1.3.2,TARRAJEO EN DIQUE C/MORTERO DE BARRO IMPERMEABLE E=0.10M,31.0,15.5,46.5,2019-11-17 00:00:00,nan,painter,
29,1.1.3.1.3.3,MANPOSTERIA DE PIEDRA EMBOQUILLADO E=0.25M,10.0,5.0,15.0,2019-11-29 00:00:00,nan,plumber,
30,1.1.3.1.3.4,MORTERO EN CORONA MEZCLA C:A 1:5 E=0.05,7.0,3.5,10.5,2019-12-03 00:00:00,nan,mason,
31,1.1.3.1.3.5,CONCRETO CICLOPEO f'c = 140 kg/cm2 + 30% PM,4.0,2.0,6.0,2019-12-26 00:00:00,nan,mason,
32,1.1.3.1.3.6,SOLADO f'c = 140 kg/cm2 e=10 cm,1.0,0.5,1.5,2019-11-15 00:00:00,nan,mason,
33,1.1.3.1.3.7,ENCOFRADO Y DESENCOFRADO NORMAL,1.0,0.5,1.5,2019-11-16 00:00:00,nan,welder,
