node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,PROJECT Nuclear Healthcare,520.375,520.375,520.375,2016-01-06 08:00:00,2017-06-09 17:00:00,,4318950.0
1,1.1,Fase 1 Voorontwerp,23.375,23.14,23.61,2016-01-06 08:00:00,2016-01-29 17:00:00,,22050.0
2,1.2,Fase 2 opmaak ontwerp &amp; studie,28.375,28.09,28.66,2016-02-01 08:00:00,2016-02-29 17:00:00,,300000.0
3,1.3,schriftelijke goedkeuring opstarten aanbesteding,70.375,69.67,71.08,2016-02-29 08:00:00,2016-05-09 17:00:00,,0.0
4,1.4,Fase 3 opmaak bouwvergunningsdossier,27.375,27.1,27.65,2016-03-15 08:00:00,2016-04-11 17:00:00,,6400.0
5,1.5,indienen bouwvergunning en wachten op goedkeuring,77.375,76.6,78.15,2016-04-11 08:00:00,2016-06-27 17:00:00,,0.0
6,1.6,opstellen lastencohier,33.375,33.04,33.71,2016-04-06 08:00:00,2016-05-09 17:00:00,,12000.0
7,1.7,opmaak dossier,6.375,6.31,6.44,2016-05-10 08:00:00,2016-05-16 17:00:00,,30700.0
8,1.8,goedkeuring dossier,0.375,0.37,0.38,2016-05-17 08:00:00,2016-05-17 17:00:00,,0.0
9,1.9,publicatie,0.375,0.37,0.38,2016-05-17 08:00:00,2016-05-17 17:00:00,,2500.0
10,1.10,indieningstermijn,20.375,20.17,20.58,2016-05-18 08:00:00,2016-06-07 17:00:00,,0.0
11,1.11,opening,0.375,0.37,0.38,2016-06-07 08:00:00,2016-06-07 17:00:00,,0.0
12,1.12,Fase 4 onderzoek offertes,13.375,13.24,13.51,2016-06-08 08:00:00,2016-06-21 17:00:00,,3200.0
13,1.13,opmaak verslag,6.375,6.31,6.44,2016-06-22 08:00:00,2016-06-28 17:00:00,,1600.0
14,1.14,goedkeuring RC,6.375,6.31,6.44,2016-06-29 08:00:00,2016-07-05 17:00:00,,0.0
15,1.15,indienen RvB,0.375,0.37,0.38,2016-07-15 08:00:00,2016-07-15 17:00:00,,0.0
16,1.16,goedkeuring RvB,0.375,0.37,0.38,2016-07-26 08:00:00,2016-07-26 17:00:00,,0.0
17,1.17,standstill,13.375,13.24,13.51,2016-07-26 08:00:00,2016-08-08 17:00:00,,0.0
18,1.18,bestelling,6.375,6.31,6.44,2016-08-09 08:00:00,2016-08-15 17:00:00,,165000.0
38,1.19,pre-FASE: afbraakwerken/leegmaken lokalen,18.375,18.375,18.375,2016-09-05 08:00:00,2016-09-23 17:00:00,,410000.0
19,1.19.1,voorafgaand leegmaken locatie + afbraakwerken,18.375,18.19,18.56,2016-09-05 08:00:00,2016-09-23 17:00:00,,410000.0
39,1.20,Fase 0 : SPECT/CT 3,81.375,81.375,81.375,2016-09-05 08:00:00,2016-11-25 17:00:00,,195000.0
20,1.20.1,inrichtingswerken,74.375,73.63,75.12,2016-09-05 08:00:00,2016-11-18 17:00:00,,193000.0
21,1.20.2,opkuis en reserve,4.375,4.33,4.42,2016-11-21 08:00:00,2016-11-25 17:00:00,,2000.0
22,1.20.3,ingebruikname,0.375,0.37,0.38,2016-11-25 08:00:00,2016-11-25 17:00:00,,0.0
40,1.21,FASE 1: inrichtingswerken afdeling,56.375,56.375,56.375,2016-11-28 08:00:00,2017-01-23 17:00:00,,1056833.33333333
23,1.21.1,uitvoering fase 1 (0P8),42.375,41.95,42.8,2016-11-28 08:00:00,2017-01-09 17:00:00,,1042833.33333333
24,1.21.2,levering en plaatsing PET/CT 2,13.375,13.24,13.51,2016-12-29 08:00:00,2017-01-11 17:00:00,,12000.0
25,1.21.3,opkuis en reserve,11.375,11.26,11.49,2017-01-12 08:00:00,2017-01-23 17:00:00,,2000.0
26,1.21.4,ingebruikname,0.375,0.37,0.38,2017-01-23 08:00:00,2017-01-23 17:00:00,,0.0
41,1.22,FASE 2 : inrichting technische ruimte -1P8,136.375,136.375,136.375,2017-01-24 08:00:00,2017-06-09 17:00:00,,2113666.66666667
27,1.22.1,installatie PETC/CT 1 op 0P8,17.375,17.2,17.55,2017-01-24 08:00:00,2017-02-10 17:00:00,,12000.0
28,1.22.2,indienststelling PET/CT 1,0.375,0.37,0.38,2017-02-10 08:00:00,2017-02-10 17:00:00,,0.0
29,1.22.3,uitbraakwerken,14.375,14.23,14.52,2017-01-26 08:00:00,2017-02-09 17:00:00,,95000.0
30,1.22.4,uitvoering fase 2 ),105.375,104.32,106.43,2017-02-10 08:00:00,2017-05-26 17:00:00,,1979666.66666667
31,1.22.5,"aanpassingswerken, regeling en testen 0P8",10.375,10.27,10.48,2017-05-16 08:00:00,2017-05-26 17:00:00,,25000.0
32,1.22.6,opkuis en reserve,14.375,14.23,14.52,2017-05-26 08:00:00,2017-06-09 17:00:00,,2000.0
33,1.22.7,oplevering,0.375,0.37,0.38,2017-06-09 08:00:00,2017-06-09 17:00:00,,0.0
