node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Broker Account Conversion System,162.375,160.75,164.0,2013-11-28 08:00:00,2014-05-09 17:00:00,,12735
25,1.1,supporting tasks,6.08333333333333,6.02,6.14,2013-11-28 08:00:00,2013-12-04 10:00:00,,3060
1,1.1.1,project management,6.08333333333333,4.87,7.3,2013-11-28 08:00:00,2013-12-04 10:00:00,Employee A,3060
26,1.2,requirements,20.375,20.17,20.58,2014-01-10 08:00:00,2014-01-30 17:00:00,,150
2,1.2.1,requirements,0.0833333333333333,0.07,0.1,2014-01-10 08:00:00,2014-01-10 10:00:00,Employee B,150
3,1.2.2,requirements validated,0.0,0.0,0.0,2014-01-30 17:00:00,2014-01-30 17:00:00,,0
27,1.3,analysis,18.375,18.19,18.56,2014-01-31 08:00:00,2014-02-18 17:00:00,,150
4,1.3.1,analysis - solution concept,0.0833333333333333,0.07,0.1,2014-01-31 08:00:00,2014-01-31 10:00:00,Employee B,150
5,1.3.2,analysis validated,0.0,0.0,0.0,2014-02-18 17:00:00,2014-02-18 17:00:00,,0
28,1.4,design,5.375,5.32,5.43,2014-01-24 08:00:00,2014-01-29 17:00:00,,150
6,1.4.1,design - data design upload passieve makelaars,0.0416666666666667,0.03,0.05,2014-01-24 08:00:00,2014-01-24 09:00:00,Employee C,75
33,1.4.2,design - data design upload passieve makelaars,0.0416666666666667,0.03,0.05,2014-01-24 08:00:00,2014-01-24 09:00:00,Employee B,75
7,1.4.3,design validated,0.0,0.0,0.0,2014-01-29 17:00:00,2014-01-29 17:00:00,,0
29,1.5,development,56.375,55.81,56.94,2014-01-24 08:00:00,2014-03-21 17:00:00,,4650
8,1.5.1,development - TAT testing,4.16666666666667,3.33,5.0,2014-01-24 08:00:00,2014-01-28 12:00:00,Employee D,1500
9,1.5.2,development - TAT testing,5.125,4.1,6.15,2014-01-24 08:00:00,2014-01-29 11:00:00,Employee E,2025
10,1.5.3,development - TAT testing,3.33333333333333,2.67,4.0,2014-01-24 08:00:00,2014-01-27 16:00:00,Employee F,1125
11,1.5.4,development completed,0.0,0.0,0.0,2014-03-21 17:00:00,2014-03-21 17:00:00,,0
30,1.6,test ict,63.375,62.74,64.01,2014-01-31 08:00:00,2014-04-04 17:00:00,,3600
12,1.6.1,test ict - build bugfixing,0.375,0.3,0.45,2014-03-24 08:00:00,2014-03-24 17:00:00,Employee D,600
13,1.6.2,test ict - build bugfixing,0.375,0.3,0.45,2014-03-24 08:00:00,2014-03-24 17:00:00,Employee E,600
14,1.6.3,test ict - test coordination,3.04166666666667,2.43,3.65,2014-01-31 08:00:00,2014-02-03 09:00:00,Employee G,675
15,1.6.4,test ict - test execution,1.33333333333333,1.07,1.6,2014-03-24 08:00:00,2014-03-25 16:00:00,Employee G,1125
16,1.6.5,test ict - test preparation,0.375,0.3,0.45,2014-03-21 08:00:00,2014-03-21 17:00:00,Employee G,600
17,1.6.6,ict test completed,0.0,0.0,0.0,2014-04-04 17:00:00,2014-04-04 17:00:00,,0
31,1.7,implementation,4.375,4.33,4.42,2014-05-05 08:00:00,2014-05-09 17:00:00,,975
18,1.7.1,implementation - preparation,0.375,0.3,0.45,2014-05-05 08:00:00,2014-05-05 17:00:00,Employee E,600
34,1.7.2,implementation - preparation,0.0416666666666667,0.03,0.05,2014-05-05 08:00:00,2014-05-05 09:00:00,Employee D,75
19,1.7.3,implementation - preparation,0.166666666666667,0.13,0.2,2014-05-05 08:00:00,2014-05-05 12:00:00,Employee F,300
20,1.7.4,go live,0.0,0.0,0.0,2014-05-09 17:00:00,2014-05-09 17:00:00,,0
