node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,eScooter,361.375,357.76,364.99,2019-01-07 08:00:00,2020-01-03 17:00:00,,396760
1,1.1,Demographic Study,4.375,3.5,5.25,2019-01-07 08:00:00,2019-01-11 17:00:00,Founder,600
2,1.2,Competitor Analysis,4.375,3.5,5.25,2019-01-07 08:00:00,2019-01-11 17:00:00,Consultant,6000
3,1.3,Customer Survey,18.375,14.7,22.05,2019-01-07 08:00:00,2019-01-25 17:00:00,Founder,1850
4,1.4,Business Plan,32.375,25.9,38.85,2019-01-28 08:00:00,2019-03-01 17:00:00,Founder[2.00 #2],6000
5,1.5,Explore possibility of bank loan,4.375,3.5,5.25,2019-03-04 08:00:00,2019-03-08 17:00:00,Founder,1120
6,1.6,Find Business Angels,25.375,20.3,30.45,2019-04-08 08:00:00,2019-05-03 17:00:00,Founder,2890
7,1.7,Obtain license from city,109.375,87.5,131.25,2019-04-08 08:00:00,2019-07-26 17:00:00,Founder,10050
8,1.8,Cost and time estimations,25.375,20.3,30.45,2019-03-11 08:00:00,2019-04-05 17:00:00,Founder[2.00 #2];Consultant[2.00 #2],36800
9,1.9,Recruitment of employees,39.375,31.5,47.25,2019-05-06 08:00:00,2019-06-14 17:00:00,Founder,4600
10,1.1,Buy eScooters,18.375,14.7,22.05,2019-06-17 08:00:00,2019-07-05 17:00:00,Founder,131800
11,1.11,App development,81.375,65.1,97.65,2019-06-17 08:00:00,2019-09-06 17:00:00,Software Engineer[4.00 #4],116000
12,1.12,App legal affairs,18.375,14.7,22.05,2019-09-09 08:00:00,2019-09-27 17:00:00,Legal Counselor,9600
13,1.13,Hardware development and configuration,39.375,31.5,47.25,2019-10-07 08:00:00,2019-11-15 17:00:00,Founder[2.00 #2];Software Engineer;Technician[2.00 #2],43600
14,1.14,Charger network,4.375,3.5,5.25,2019-09-30 08:00:00,2019-10-04 17:00:00,Founder,1000
15,1.15,eScooter installation,4.375,3.5,5.25,2019-11-18 08:00:00,2019-11-22 17:00:00,Founder[2.00 #2],2400
16,1.16,Testing phase,4.375,3.5,5.25,2019-11-25 08:00:00,2019-11-29 17:00:00,Founder[2.00 #2];Consultant,5300
17,1.17,Improvement,11.375,9.1,13.65,2019-12-02 08:00:00,2019-12-13 17:00:00,Founder;Technician[2.00 #2],11000
18,1.18,Opening event,11.375,9.1,13.65,2019-12-16 08:00:00,2019-12-27 17:00:00,Founder[2.00 #2],4900
19,1.19,Final report,4.375,3.5,5.25,2019-12-30 08:00:00,2020-01-03 17:00:00,Founder[2.00 #2],1250
