node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Eating Belgium,299.083333333333,296.09,302.07,2011-08-27 08:00:00,2012-06-21 10:00:00,,37760
27,1.1,LOCATION,222.125,219.9,224.35,2011-08-27 08:00:00,2012-04-05 11:00:00,,720
1,1.1.1,Determine the location (A),0.375,0.3,0.45,2011-08-27 08:00:00,2011-08-27 17:00:00,Team[5.00 #5],400
23,1.1.2,Hand in document for using Grand Place (W),0.375,0.3,0.45,2011-08-28 08:00:00,2011-08-28 17:00:00,Team,80
13,1.1.3,Look for a big enough car park (M),1.0,0.8,1.2,2012-04-04 11:00:00,2012-04-05 11:00:00,Team,80
2,1.1.4,Make a map of the Grand Place (B),2.0,1.6,2.4,2012-04-02 11:00:00,2012-04-04 11:00:00,Team,160
28,1.2,FINDING & CONTACTING CHEFS,56.375,55.81,56.94,2012-02-25 08:00:00,2012-04-21 17:00:00,,18800
3,1.2.1,Look for potential exhibitors (C),6.375,5.1,7.65,2012-02-25 08:00:00,2012-03-02 17:00:00,Team[5.00 #5],2800
4,1.2.2,Contacting chefs (D),49.375,39.5,59.25,2012-03-03 08:00:00,2012-04-21 17:00:00,Team[4.00 #5],16000
30,1.3,SECURITY & SAFETY,10.0,9.9,10.1,2012-04-22 15:00:00,2012-05-02 15:00:00,,880
22,1.3.1,Look for some safety guards (V),7.0,5.6,8.4,2012-04-25 15:00:00,2012-05-02 15:00:00,Team,560
5,1.3.2,Make a blueprint of the safety plan (E),1.0,0.8,1.2,2012-04-22 15:00:00,2012-04-23 15:00:00,Team,80
6,1.3.3,"Make appointment with city council, police and fire brigade (F)",1.0,0.8,1.2,2012-04-23 15:00:00,2012-04-24 15:00:00,Team,80
7,1.3.4,"Draft a safety plan, get it approved from city (G)",1.0,0.8,1.2,2012-04-24 15:00:00,2012-04-25 15:00:00,Team[2.00 #5],160
31,1.4,MUSIC,1.0,0.99,1.01,2012-04-25 15:00:00,2012-04-26 15:00:00,,80
8,1.4.1,Get licenses of SABAM and ‘Billijke vergoeding' (H),1.0,0.8,1.2,2012-04-25 15:00:00,2012-04-26 15:00:00,Team,80
29,1.5,FACILITIES & DECORATIONS,31.375,31.06,31.69,2012-05-06 08:00:00,2012-06-06 17:00:00,,3920
14,1.5.1,Look for food and drink stands (N),6.375,5.1,7.65,2012-05-31 08:00:00,2012-06-06 17:00:00,Team,560
15,1.5.2,Contact a brewer for drinks and refrigerators (O),4.375,3.5,5.25,2012-05-31 08:00:00,2012-06-04 17:00:00,Team,400
16,1.5.3,Reserve two generators (P),2.375,1.9,2.85,2012-05-06 08:00:00,2012-05-08 17:00:00,Team,240
17,1.5.4,Looking for the tableware (Q),5.375,4.3,6.45,2012-05-06 08:00:00,2012-05-11 17:00:00,Team,480
18,1.5.5,The search for the restrooms (R),2.375,1.9,2.85,2012-05-06 08:00:00,2012-05-08 17:00:00,Team,240
21,1.5.6,Look for appropriate decoration (U),24.375,19.5,29.25,2012-05-06 08:00:00,2012-05-30 17:00:00,Team,2000
26,1.6,SPONSORING,36.0833333333333,35.72,36.44,2012-02-23 15:00:00,2012-03-30 17:00:00,,2640
10,1.6.1,Think about sponsor deals (J),1.0,0.8,1.2,2012-02-23 15:00:00,2012-02-24 15:00:00,Team[5.00 #5],400
9,1.6.2,Recruitment of sponsors (I),27.375,21.9,32.85,2012-03-03 08:00:00,2012-03-30 17:00:00,Team,2240
25,1.7,MARKETING,59.375,58.78,59.97,2012-04-22 08:00:00,2012-06-20 17:00:00,,9920
11,1.7.1,"Design a flyer, a poster, an event guide and website (K)",13.375,10.7,16.05,2012-04-22 08:00:00,2012-05-05 17:00:00,Team[2.00 #5],2240
12,1.7.2,Send our designs to the printing house (L),20.375,16.3,24.45,2012-05-06 08:00:00,2012-05-26 17:00:00,Team,1680
19,1.7.3,Distribute posters and flyers (S),24.375,19.5,29.25,2012-05-27 08:00:00,2012-06-20 17:00:00,volunteers[20.00 #20];Team[3.00 #5],6000
20,1.8,Search volunteers (T),2.0,1.6,2.4,2012-02-21 15:00:00,2012-02-23 15:00:00,Team[5.00 #5],800
24,1.9,End,0.0833333333333333,0.07,0.1,2012-06-21 08:00:00,2012-06-21 10:00:00,,0
