node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Urban Development Project,448.375,443.89,452.86,2007-12-07 08:00:00,2009-02-27 17:00:00,,1537398.51473999
62,1.1,Werfinrichting,0.375,0.3,0.45,2007-12-07 08:00:00,2007-12-07 17:00:00,,136108.0
63,1.2,Grondwerken,4.375,3.5,5.25,2007-12-17 08:00:00,2007-12-21 17:00:00,,2692.30004882813
64,1.3,Funderingen,18.375,14.7,22.05,2008-01-07 08:00:00,2008-01-25 17:00:00,,72594.4296875
65,1.4,Wanden op V0,25.375,20.3,30.45,2008-01-21 08:00:00,2008-02-15 17:00:00,,55480.98046875
66,1.5,Afdekking V0,18.375,14.7,22.05,2008-02-11 08:00:00,2008-02-29 17:00:00,,46319.7109375
67,1.6,Wanden op V1,25.375,20.3,30.45,2008-02-25 08:00:00,2008-03-21 17:00:00,,55480.98046875
68,1.7,Afdekking V1,11.375,9.1,13.65,2008-03-17 08:00:00,2008-03-28 17:00:00,,30879.810546875
69,1.8,Wanden op V2,11.375,9.1,13.65,2008-03-31 08:00:00,2008-04-11 17:00:00,,27740.490234375
1,1.9,Afdekking V2,4.375,3.5,5.25,2008-04-21 08:00:00,2008-04-25 17:00:00,,23742.419921875
2,1.1,Gevelmetselwerk,46.375,37.1,55.65,2008-04-21 08:00:00,2008-06-06 17:00:00,,128627.4375
3,1.11,Voegwerk,25.375,20.3,30.45,2008-05-26 08:00:00,2008-06-20 17:00:00,,3583.3701171875
4,1.12,Opmeten dorpels,0.375,0.3,0.45,2008-06-02 08:00:00,2008-06-02 17:00:00,,382.029998779297
5,1.13,Plaatsen dorpels,4.375,3.5,5.25,2008-06-09 08:00:00,2008-06-13 17:00:00,,1910.15002441406
6,1.14,Plaatsen bordessen + prefabtrappen,4.375,3.5,5.25,2008-06-02 08:00:00,2008-06-06 17:00:00,,26966.619140625
7,1.15,Plaatsen RW afvoerbuizen + voorlopige aansluiting,4.375,3.5,5.25,2008-05-26 08:00:00,2008-05-30 17:00:00,,17353.25
8,1.16,Dakopstanden,25.375,20.3,30.45,2008-04-28 08:00:00,2008-05-23 17:00:00,,33210.078125
9,1.17,Technieken / leidingen in dak,43.375,34.7,52.05,2008-05-26 08:00:00,2008-07-08 17:00:00,,10512.2001953125
10,1.18,Schuimbeton,27.375,21.9,32.85,2008-07-09 08:00:00,2008-08-05 17:00:00,,1379.7900390625
11,1.19,Isolatie + roofing platte daken,27.375,21.9,32.85,2008-08-06 08:00:00,2008-09-02 17:00:00,,64503.3515625
12,1.2,Opmeten ramen en deuren,0.375,0.3,0.45,2008-06-09 08:00:00,2008-06-09 17:00:00,,23772.30078125
13,1.21,Plaatsen ramen en deuren,4.375,3.5,5.25,2008-06-16 08:00:00,2008-06-20 17:00:00,,118861.5234375
14,1.22,Plaatsen gipsblokken_blok 1,6.375,5.1,7.65,2008-09-03 08:00:00,2008-09-09 17:00:00,,10562.099609375
15,1.23,Plaatsen gipsblokken_blok 2,6.375,5.1,7.65,2008-09-10 08:00:00,2008-09-16 17:00:00,,10562.099609375
16,1.24,Plaatsen gipsblokken_blok 3,6.375,5.1,7.65,2008-09-17 08:00:00,2008-09-23 17:00:00,,10562.099609375
17,1.25,Plaatsen gipsblokken_blok 4,6.375,5.1,7.65,2008-09-24 08:00:00,2008-09-30 17:00:00,,10562.099609375
18,1.26,Voorbereidingen elektriciteit / sanitair / HVAC_blok 1,6.375,5.1,7.65,2008-09-10 08:00:00,2008-09-16 17:00:00,,22595.099609375
19,1.27,Voorbereidingen elektriciteit / sanitair / HVAC_blok 2,6.375,5.1,7.65,2008-09-17 08:00:00,2008-09-23 17:00:00,,22595.099609375
