node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Policy Numbering System,238.375,235.99,240.76,2013-09-09 08:00:00,2014-05-05 17:00:00,,12645
12,1.1,supporting tasks,0.375,0.37,0.38,2013-09-19 08:00:00,2013-09-19 17:00:00,,720
1,1.1.1,project management,0.375,0.3,0.45,2013-09-19 08:00:00,2013-09-19 17:00:00,Employee A,720
13,1.2,analysis,58.375,57.79,58.96,2013-09-16 08:00:00,2013-11-13 17:00:00,,1050
2,1.2.1,analysis - business analysis,1.29166666666667,1.03,1.55,2013-09-16 08:00:00,2013-09-17 15:00:00,Employee B,1050
4,1.2.2,analysis validated,0.0,0.0,0.0,2013-11-13 17:00:00,2013-11-13 17:00:00,,0
14,1.3,design,84.375,83.53,85.22,2013-09-10 08:00:00,2013-12-03 17:00:00,,3075
3,1.3.1,design - technical design,7.04166666666667,5.63,8.45,2013-09-10 08:00:00,2013-09-17 09:00:00,Employee C,3075
5,1.3.2,design validated,0.0,0.0,0.0,2013-12-03 17:00:00,2013-12-03 17:00:00,,0
15,1.4,development,179.375,177.58,181.17,2013-09-09 08:00:00,2014-03-07 17:00:00,,7800
6,1.4.1,development - coding,8.08333333333333,6.47,9.7,2013-09-09 08:00:00,2013-09-17 10:00:00,Employee D,3750
7,1.4.2,development - coding,4.33333333333333,3.47,5.2,2013-09-09 08:00:00,2013-09-13 16:00:00,Employee E,2925
8,1.4.3,development - coding,1.33333333333333,1.07,1.6,2013-09-09 08:00:00,2013-09-10 16:00:00,Employee F,1125
9,1.4.4,development completed,0.0,0.0,0.0,2014-03-07 17:00:00,2014-03-07 17:00:00,,0
16,1.5,implementation,10.0,9.9,10.1,2014-04-25 17:00:00,2014-05-05 17:00:00,,0
10,1.5.1,code freeze,0.0,0.0,0.0,2014-04-25 17:00:00,2014-04-25 17:00:00,,0
11,1.5.2,go live,0.0,0.0,0.0,2014-05-05 17:00:00,2014-05-05 17:00:00,,0
