node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Project,297.375,294.4,300.35,2019-01-01 08:00:00,2019-10-25 17:00:00,,439234
1,1.1,Total,297.375,294.4,300.35,2019-01-01 08:00:00,2019-10-25 17:00:00,,439234
2,1.1.1,Research for possible docking stations,63.375,62.74,64.01,2019-01-01 08:00:00,2019-03-05 17:00:00,,15680
3,1.1.1.1,"1. Analysis of car usage in general, link to car sharing, environment, cost of parking",13.375,10.7,16.05,2019-01-01 08:00:00,2019-01-14 17:00:00,Project Leader,2400
4,1.1.1.2,2. Type of cars,7.375,5.9,8.85,2019-01-15 08:00:00,2019-01-22 17:00:00,Engineer,2400
5,1.1.1.3,3. Determine amount of ars needed and parking place,7.375,5.9,8.85,2019-01-23 08:00:00,2019-01-30 17:00:00,Engineer,2400
6,1.1.1.4,4. Research for charging stations (suppliers),1.375,1.1,1.65,2019-01-31 08:00:00,2019-02-01 17:00:00,Engineer,800
7,1.1.1.5,5. Research use of exsisting charging stations,0.375,0.3,0.45,2019-01-31 08:00:00,2019-01-31 17:00:00,Engineer,400
8,1.1.1.6,6. Research for traffic sign supplier (Trafiroad),0.375,0.3,0.45,2019-01-31 08:00:00,2019-01-31 17:00:00,Engineer,400
9,1.1.1.7,7. Research amount of staff needed (extra contractors),2.375,1.9,2.85,2019-02-04 08:00:00,2019-02-06 17:00:00,Engineer,1200
10,1.1.1.8,8. Feasibility study,8.375,6.7,10.05,2019-02-07 08:00:00,2019-02-15 17:00:00,Engineer,2800
11,1.1.1.9,"9. Search for funding (VC, Business angels, bankloan)",15.375,12.3,18.45,2019-02-18 08:00:00,2019-03-05 17:00:00,Project Leader,2880
12,1.1.2,Meeting,111.375,110.26,112.49,2019-03-06 08:00:00,2019-06-25 17:00:00,,24000
13,1.1.2.1,10. Contact city to get the approval,27.375,21.9,32.85,2019-03-06 08:00:00,2019-04-02 17:00:00,Project Leader,4800
14,1.1.2.2,11. Asking city for blue prints power network,27.375,21.9,32.85,2019-04-10 08:00:00,2019-05-07 17:00:00,Project Leader,4800
15,1.1.2.3,12. Meeting with car leasers + quotation,34.375,27.5,41.25,2019-04-10 08:00:00,2019-05-14 17:00:00,Project Leader,6000
16,1.1.2.4,13. Meeting with docking station suppliers,34.375,27.5,41.25,2019-05-08 08:00:00,2019-06-11 17:00:00,Project Leader,6000
17,1.1.2.5,14. Meeting with possible contractors,13.375,10.7,16.05,2019-06-12 08:00:00,2019-06-25 17:00:00,Project Leader,2400
18,1.1.3,IT,202.375,200.35,204.4,2019-04-03 08:00:00,2019-10-22 17:00:00,,117200
19,1.1.3.1,15. Web/app developer search,6.375,5.1,7.65,2019-04-03 08:00:00,2019-04-09 17:00:00,Project Leader,1200
20,1.1.3.2,16. Developing website/app,97.375,77.9,116.85,2019-04-10 08:00:00,2019-07-16 17:00:00,,90000
21,1.1.3.3,17. Developing payment system,76.375,61.1,91.65,2019-07-17 08:00:00,2019-10-01 17:00:00,,20000
22,1.1.3.4,18. Testing & approving app,20.375,16.3,24.45,2019-10-02 08:00:00,2019-10-22 17:00:00,,4500
23,1.1.3.5,19. Testing & approving payment system,20.375,16.3,24.45,2019-10-02 08:00:00,2019-10-22 17:00:00,,1500
24,1.1.4,Repair and maintenance,27.375,27.1,27.65,2019-06-19 08:00:00,2019-07-16 17:00:00,,4800
25,1.1.4.1,20. Negotiate maintenance contract with possible partners,27.375,21.9,32.85,2019-06-19 08:00:00,2019-07-16 17:00:00,Project Leader,4800
26,1.1.5,Construction,57.375,56.8,57.95,2019-06-26 08:00:00,2019-08-22 17:00:00,,119794
27,1.1.5.1,21. Drilling the holes where the charging blocks will be put by Eandis and where the traffic signs will be put,15.375,12.3,18.45,2019-06-26 08:00:00,2019-07-11 17:00:00,,10599
28,1.1.5.2,22. Delivery and placing of the charging blocks (UwLaadpunt),17.375,13.9,20.85,2019-07-12 08:00:00,2019-07-29 17:00:00,,78715
29,1.1.5.3,23. Access power network: connecting charging blocks to power grid (Eandis),15.375,12.3,18.45,2019-07-30 08:00:00,2019-08-14 17:00:00,,19500
30,1.1.5.4,24. Installation of visibility marks (Trafiroad),7.375,5.9,8.85,2019-07-30 08:00:00,2019-08-06 17:00:00,,2480
31,1.1.5.5,25. Installation of trafic signs (Trafiroad),7.375,5.9,8.85,2019-07-30 08:00:00,2019-08-06 17:00:00,,8500
32,1.1.5.6,26. Testing of the charging blocks,7.375,5.9,8.85,2019-08-15 08:00:00,2019-08-22 17:00:00,,0
33,1.1.6,Delivery,7.375,7.3,7.45,2019-08-23 08:00:00,2019-08-30 17:00:00,,144000
34,1.1.6.1,27. Delivery cars,7.375,5.9,8.85,2019-08-23 08:00:00,2019-08-30 17:00:00,,144000
35,1.1.7,Finalising actions,32.375,32.05,32.7,2019-09-02 08:00:00,2019-10-04 17:00:00,,8960
36,1.1.7.1,28. Placing cars,4.375,3.5,5.25,2019-09-02 08:00:00,2019-09-06 17:00:00,Worker,960
37,1.1.7.2,29. Final testing of the finished system,25.375,20.3,30.45,2019-09-09 08:00:00,2019-10-04 17:00:00,Engineer,8000
38,1.1.8,Marketing,18.375,18.19,18.56,2019-10-07 08:00:00,2019-10-25 17:00:00,,3360
39,1.1.8.1,30. Publicity campaign for our company,18.375,14.7,22.05,2019-10-07 08:00:00,2019-10-25 17:00:00,Marketeer,3360
40,1.1.9,Payments,103.375,102.34,104.41,2019-07-12 08:00:00,2019-10-23 17:00:00,,1440
41,1.1.9.1,31. Payment of Web/app developers,0.375,0.3,0.45,2019-10-23 08:00:00,2019-10-23 17:00:00,Administrator,240
42,1.1.9.2,32. Payment 'UwLaadpunt',0.375,0.3,0.45,2019-07-30 08:00:00,2019-07-30 17:00:00,Administrator,240
43,1.1.9.3,33. Payment 'Eandis',0.375,0.3,0.45,2019-08-15 08:00:00,2019-08-15 17:00:00,Administrator,240
44,1.1.9.4,34. Payment 'Traffiroad',0.375,0.3,0.45,2019-08-07 08:00:00,2019-08-07 17:00:00,Administrator,240
45,1.1.9.5,35. Payment of the construction firm,0.375,0.3,0.45,2019-07-12 08:00:00,2019-07-12 17:00:00,Administrator,240
46,1.1.9.6,36. Payment carleasing,0.375,0.3,0.45,2019-09-02 08:00:00,2019-09-02 17:00:00,Administrator,240
47,1.1.10,launch,0.0,0.0,0.0,2019-10-23 17:00:00,2019-10-23 17:00:00,,0
48,1.1.10.1,37. Launch,0.0,0.0,0.0,2019-10-23 17:00:00,2019-10-23 17:00:00,,0
