node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Project Artes,465.3749999999636,460.72,470.03,2016-11-07 08:00:00,2018-02-15 17:00:00,,0
1,1.1,Funderingen TK,5.375,4.3,6.45,2017-01-20 08:00:00,2017-01-25 17:00:00,work hours/day[13.50 #32],0
2,1.2,Montage TK,3.375,2.7,4.05,2017-04-21 08:00:00,2017-04-24 17:00:00,work hours/day[18.50 #32],0
3,1.3,Voorbereidende werken afbraak bestaand gebouw,23.375,18.7,28.05,2017-07-03 08:00:00,2017-07-26 17:00:00,work hours/day[30.00 #32],0
4,1.4,Afbraak bestaand gebouw,17.375,13.9,20.85,2016-11-07 08:00:00,2016-11-24 17:00:00,work hours/day[27.00 #32],0
5,1.5,Grondwerk beton,13.375,10.7,16.05,2016-11-29 08:00:00,2016-12-12 17:00:00,work hours/day[6.00 #32],0
6,1.6,Riolering,10.375,8.3,12.45,2016-11-25 08:00:00,2016-12-05 17:00:00,work hours/day[7.50 #32],0
7,1.7,Wapening,10.375,8.3,12.45,2017-04-07 08:00:00,2017-04-17 17:00:00,work hours/day[7.00 #32],0
8,1.8,Grondwerk beton,8.375,6.7,10.05,2016-12-28 08:00:00,2017-01-05 17:00:00,work hours/day[4.50 #32],0
9,1.9,Riolering,2.375,1.9,2.85,2016-12-13 08:00:00,2016-12-15 17:00:00,work hours/day[5.50 #32],0
10,1.1,Wapening,4.375,3.5,5.25,2017-01-02 08:00:00,2017-01-06 17:00:00,work hours/day[4.50 #32],0
11,1.11,Grondwerk beton,14.375,11.5,17.25,2017-01-06 08:00:00,2017-01-20 17:00:00,work hours/day[5.00 #32],0
12,1.12,Riolering,0.375,0.3,0.45,2016-12-28 08:00:00,2016-12-28 17:00:00,work hours/day[4.00 #32],0
13,1.13,Waterbehandeling,5.375,4.3,6.45,2017-01-12 08:00:00,2017-01-17 17:00:00,work hours/day[4.50 #32],0
14,1.14,Wapening,10.375,8.3,12.45,2017-01-09 08:00:00,2017-01-19 17:00:00,work hours/day[5.00 #32],0
15,1.15,Grondwerk beton,13.375,10.7,16.05,2016-11-25 08:00:00,2016-12-08 17:00:00,work hours/day[8.00 #32],0
16,1.16,Riolering in opbouw,0.375,0.3,0.45,2016-12-06 08:00:00,2016-12-06 17:00:00,work hours/day[8.00 #32],0
17,1.17,Wapening,9.375,7.5,11.25,2017-04-11 08:00:00,2017-04-20 17:00:00,work hours/day[7.50 #32],0
18,1.18,Kolommen,9.375,7.5,11.25,2016-12-13 08:00:00,2016-12-22 17:00:00,work hours/day[5.00 #32],0
19,1.19,Balken GLV,4.375,3.5,5.25,2016-12-23 08:00:00,2016-12-27 17:00:00,work hours/day[6.00 #32],0
20,1.2,Metselwerk GLV,21.375,17.1,25.65,2016-12-21 08:00:00,2017-01-11 17:00:00,work hours/day[5.00 #32],0
21,1.21,Gewelven GLV + Vloeren ter plaatse,12.375,9.9,14.85,2017-01-12 08:00:00,2017-01-24 17:00:00,work hours/day[5.50 #32],0
22,1.22,Kolommen,9.375,7.5,11.25,2016-12-28 08:00:00,2017-01-06 17:00:00,work hours/day[5.00 #32],0
23,1.23,Balken GLV,4.375,3.5,5.25,2017-01-09 08:00:00,2017-01-13 17:00:00,work hours/day[5.00 #32],0
24,1.24,Wanden,7.375,5.9,8.85,2017-01-16 08:00:00,2017-01-23 17:00:00,work hours/day[4.50 #32],0
25,1.25,Metselwerk GLV,8.375,6.7,10.05,2017-01-02 08:00:00,2017-01-10 17:00:00,work hours/day[5.00 #32],0
26,1.26,Gewelven GLV + Vloeren ter plaatse,10.375,8.3,12.45,2017-01-24 08:00:00,2017-02-03 17:00:00,work hours/day[5.50 #32],0
27,1.27,Kolommen,9.375,7.5,11.25,2017-01-23 08:00:00,2017-02-01 17:00:00,work hours/day[4.50 #32],0
28,1.28,Balken GLV,1.375,1.1,1.65,2017-02-02 08:00:00,2017-02-03 17:00:00,work hours/day[4.00 #32],0
29,1.29,Buffer,11.375,9.1,13.65,2016-11-25 08:00:00,2016-12-06 17:00:00,work hours/day[4.50 #32],0
30,1.3,wanden groot bad,25.375,20.3,30.45,2016-11-07 08:00:00,2016-12-02 17:00:00,work hours/day[5.00 #32],0
31,1.31,afdek klein bad,8.375,6.7,10.05,2016-12-07 08:00:00,2016-12-15 17:00:00,work hours/day[4.50 #32],0
32,1.32,wanden klein bad,11.375,9.1,13.65,2016-12-16 08:00:00,2016-12-27 17:00:00,work hours/day[8.50 #32],0
33,1.33,Metselwerk GLV,14.375,11.5,17.25,2017-01-30 08:00:00,2017-02-13 17:00:00,work hours/day[4.50 #32],0
34,1.34,Afdek GLV (filters edm binnen!),27.375,21.9,32.85,2017-02-14 08:00:00,2017-03-13 17:00:00,work hours/day[9.00 #32],0
35,1.35,Kolommen,11.375,9.1,13.65,2016-12-09 08:00:00,2016-12-20 17:00:00,work hours/day[5.50 #32],0
36,1.36,Balken GLV,1.375,1.1,1.65,2016-12-29 08:00:00,2016-12-30 17:00:00,work hours/day[4.50 #32],0
37,1.37,Wanden,21.375,17.1,25.65,2016-12-09 08:00:00,2016-12-30 17:00:00,work hours/day[5.00 #32],0
38,1.38,Metselwerk GLV,25.375,20.3,30.45,2016-12-09 08:00:00,2017-01-03 17:00:00,work hours/day[5.50 #32],0
39,1.39,Gewelven GLV + vloer ter plaatse,7.375,5.9,8.85,2017-01-04 08:00:00,2017-01-11 17:00:00,work hours/day[5.50 #32],0
40,1.4,kolommen,6.375,5.1,7.65,2017-01-25 08:00:00,2017-01-31 17:00:00,work hours/day[4.50 #32],0
41,1.41,Balken +1,6.375,5.1,7.65,2017-02-01 08:00:00,2017-02-07 17:00:00,work hours/day[4.00 #32],0
42,1.42,Metselwerk +1 (niet dragend),6.375,5.1,7.65,2017-02-01 08:00:00,2017-02-07 17:00:00,work hours/day[4.00 #32],0
43,1.43,Gelammeleerde liggers +1,1.375,1.1,1.65,2017-02-08 08:00:00,2017-02-09 17:00:00,work hours/day[4.50 #32],0
44,1.44,Houten kanaalplaten,3.375,2.7,4.05,2017-02-10 08:00:00,2017-02-13 17:00:00,work hours/day[5.00 #32],0
45,1.45,Dampscherm,3.375,2.7,4.05,2017-02-13 08:00:00,2017-02-16 17:00:00,work hours/day[7.00 #32],0
46,1.46,kolommen,4.375,3.5,5.25,2017-02-06 08:00:00,2017-02-10 17:00:00,work hours/day[10.00 #32],0
47,1.47,Balken +1,3.375,2.7,4.05,2017-02-13 08:00:00,2017-02-16 17:00:00,work hours/day[7.00 #32],0
48,1.48,Metselwerk +1 (niet dragend),7.375,5.9,8.85,2017-02-17 08:00:00,2017-02-24 17:00:00,work hours/day[6.50 #32],0
49,1.49,Gelammeleerde liggers +1,3.375,2.7,4.05,2017-02-17 08:00:00,2017-02-20 17:00:00,work hours/day[6.50 #32],0
50,1.5,Houten Kanaalplaten,4.375,3.5,5.25,2017-03-03 08:00:00,2017-03-07 17:00:00,work hours/day[18.00 #32],0
51,1.51,Dampscherm,2.375,1.9,2.85,2017-03-08 08:00:00,2017-03-10 17:00:00,work hours/day[6.50 #32],0
52,1.52,Balken +1,6.375,5.1,7.65,2017-03-14 08:00:00,2017-03-20 17:00:00,work hours/day[6.40 #32],0
53,1.53,Metselwerk +1 (niet dragend),2.375,1.9,2.85,2017-03-15 08:00:00,2017-03-17 17:00:00,work hours/day[6.40 #32],0
54,1.54,tribune,3.375,2.7,4.05,2017-03-14 08:00:00,2017-03-17 17:00:00,work hours/day[6.40 #32],0
55,1.55,Gelammeleerde liggers +1,3.375,2.7,4.05,2017-03-20 08:00:00,2017-03-23 17:00:00,work hours/day[6.00 #32],0
56,1.56,Dampscherm,2.375,1.9,2.85,2017-03-21 08:00:00,2017-03-23 17:00:00,work hours/day[6.00 #32],0
57,1.57,Balken +1,1.375,1.1,1.65,2017-01-12 08:00:00,2017-01-13 17:00:00,work hours/day[4.50 #32],0
58,1.58,Metselwerk +1 (niet dragend),13.375,10.7,16.05,2017-01-26 08:00:00,2017-02-08 17:00:00,work hours/day[4.50 #32],0
59,1.59,Gelammeleerde liggers +1,4.375,3.5,5.25,2017-02-03 08:00:00,2017-02-07 17:00:00,work hours/day[4.00 #32],0
60,1.6,Houten kanaalplaten,1.375,1.1,1.65,2017-02-08 08:00:00,2017-02-09 17:00:00,work hours/day[4.50 #32],0
61,1.61,Dampscherm,4.375,3.5,5.25,2017-02-09 08:00:00,2017-02-13 17:00:00,work hours/day[5.00 #32],0
62,1.62,kolommen,4.375,3.5,5.25,2017-02-17 08:00:00,2017-02-21 17:00:00,work hours/day[10.00 #32],0
63,1.63,Balken +2,1.375,1.1,1.65,2017-02-22 08:00:00,2017-02-23 17:00:00,work hours/day[10.50 #32],0
64,1.64,Metselwerk +2 (niet dragend),5.375,4.3,6.45,2017-02-24 08:00:00,2017-03-01 17:00:00,work hours/day[7.00 #32],0
65,1.65,Gelammeleerde liggers +2,3.375,2.7,4.05,2017-02-24 08:00:00,2017-02-27 17:00:00,work hours/day[8.00 #32],0
66,1.66,Houten kanaalplaten,0.375,0.3,0.45,2017-02-28 08:00:00,2017-02-28 17:00:00,work hours/day[6.40 #32],0
67,1.67,Dampscherm,1.375,1.1,1.65,2017-03-01 08:00:00,2017-03-02 17:00:00,work hours/day[6.40 #32],0
68,1.68,Betonwanden,8.375,6.7,10.05,2017-03-13 08:00:00,2017-03-21 17:00:00,work hours/day[12.00 #32],0
69,1.69,Gewelven +2,2.375,1.9,2.85,2017-03-22 08:00:00,2017-03-24 17:00:00,work hours/day[9.00 #32],0
70,1.7,Balken +2,3.375,2.7,4.05,2017-03-24 08:00:00,2017-03-27 17:00:00,work hours/day[16.00 #32],0
71,1.71,Metselwerk +2 (niet dragend),2.375,1.9,2.85,2017-03-21 08:00:00,2017-03-23 17:00:00,work hours/day[6.00 #32],0
