node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
5,1.1.1.1.1,ALMACEN Y GUARDIANIA,1.0,0.5,1.5,2020-06-01 00:00:00,nan,mason,
6,1.1.1.1.2,CARTEL DE OBRA CON BANNER DE GIGANTOGRAFIA Y BASTIDORES DE MADERA DE 1.50 X 2.10 M SEGUN DISEÑO,1.0,0.5,1.5,2020-06-01 00:00:00,nan,"painter [1,00 #8]",
7,1.1.1.1.3,INSTALACION DE CERCO PROVISIONAL DE TELA SINTETICA ALREDEDOR DE LA OBRA,1.0,0.5,1.5,2020-06-02 00:00:00,nan,mason,
9,1.1.1.2.1,TRANSPORTE DE MATERIALES A CAMPUS UNIVERSITARIO UNDAR,1.0,0.5,1.5,2020-06-03 00:00:00,nan,"carpenter [1,00 #8]",
12,1.1.2.1.1,DEMOLICIÓN DE MUROS DE LADRILLO EXISTENTE,5.0,3.0,7.0,2020-06-03 00:00:00,nan,"carpenter [1,00 #8]",
13,1.1.2.1.2,DEMOLICIÓN DE PISO CERÁMICO EXISTENTE,5.0,1.0,9.0,2020-06-03 00:00:00,nan,mason,
14,1.1.2.1.3,DEMOLICIÓN DE CONTRAZOCALO DE CONCRETO PULIDO H=0.10 CM EXISTENTE,5.0,2.0,8.0,2020-06-03 00:00:00,nan,"carpenter [1,00 #8]",
16,1.1.2.2.1,DESMONTAJE DE TABIQUE DRYWALL EXISTENTE,3.0,1.0,5.0,2020-06-08 00:00:00,nan,"carpenter [1,00 #8]",
17,1.1.2.2.2,DESMONTAJE DE PUERTAS DE MADERA EXISTENTES,3.0,2.0,4.0,2020-06-08 00:00:00,nan,"carpenter [1,00 #8]",
18,1.1.2.2.3,DESMONTAJE DE VENTANAS  EXISTENTES,3.0,1.0,5.0,2020-06-08 00:00:00,nan,mason,
19,1.1.2.2.4,DESMONTAJES DE BARANDAS METÁLICAS EXISTENTES,3.0,1.0,5.0,2020-06-08 00:00:00,nan,"carpenter [1,00 #8]",
20,1.1.2.2.5,DESMONTAJES DE LUMINARIAS EXISTENTES,3.0,1.0,5.0,2020-06-08 00:00:00,nan,mason,
21,1.1.2.2.6,"REMOCIÓN Y TRASLADO DE MUEBLES, ESTANTES Y REPISAS EXISTENTES (DENTRO DE LA INSTITUCIÓN)",4.0,1.0,7.0,2020-06-08 00:00:00,nan,"steel worker [1,00 #8]",
23,1.1.2.3.1,"ACARREO INTERNO, MATERIAL PROCEDENTE DE DEMOLICIONES",2.0,1.0,3.0,2020-06-12 00:00:00,nan,painter,
24,1.1.2.3.2,ELIMINACIÓN DE MATERIAL PROVENIENTE DE DEMOLICIONES,2.0,0.5,3.5,2020-06-12 00:00:00,nan,mason,
26,1.1.2.4.1,PICADO Y RESANE DE MUROS PARA EMPODRADO DE TUBERIAS,4.0,2.0,6.0,2020-06-08 00:00:00,nan,"carpenter [1,00 #8]",
28,1.1.2.5.1,LIMPIEZA DE ZONA A INTERVENIR,1.0,0.5,1.5,2020-06-14 00:00:00,nan,"steel worker [1,00 #8]",
29,1.1.2.5.2,TRAZO NIVELES Y REPLANTEO PRELIMINAR,2.0,1.0,3.0,2020-06-14 00:00:00,nan,mason,
32,1.1.3.1.1,EQUIPOS DE PROTESSION INDIVIDUAL,1.0,0.5,1.5,2020-06-02 00:00:00,nan,"team subcontractor[1,00 #8]",
33,1.1.3.1.2,EQUIPOS DE PROTESSION COLECTIVA,1.0,0.5,1.5,2020-06-02 00:00:00,nan,"mason [2,00 #8]",
34,1.1.3.1.3,SEÑALIZACION TEMPORAL DE SEGURIDAD,1.0,0.5,1.5,2020-06-03 00:00:00,nan,"carpenter [1,00 #8]",
35,1.1.3.1.4,RECURSOS PARA RESPUESTA ANTE EMERGENCIA EN SEGURIDAD Y SALUD DURANTE EL TRABAJO,2.0,1.0,3.0,2020-06-03 00:00:00,nan,"painter [1,00 #8]",
38,1.1.3.2.1.1,"ELABORACIÓN DEL PLAN PARA LA VIGILANCIA, PREVENCIÓN Y CONTROL DE COVID-19 EN EL TRABAJO",1.0,0.5,1.5,2020-06-02 00:00:00,nan,"carpenter [1,00 #8]",
40,1.1.3.2.2.1,LIMPIEZA Y DESINFESSIÓN EN OBRA,45.0,30.0,60.0,2020-06-02 00:00:00,nan,"steel worker [2,00 #8]",
41,1.1.3.2.2.2,SENSIBILAZACIÓN DE LA PREVENCIÓN DEL CONTAGIO COVID-19 EN OBRA,45.0,35.0,60.0,2020-06-03 00:00:00,nan,mason,
43,1.1.3.2.3.1,PROTESSIÓN DEL PERSONAL DE LA OBRA-COVID-19,1.0,0.5,2.5,2020-06-03 00:00:00,nan,"painter [1,00 #8]",
45,1.1.3.2.4.1,EVALUACIÓN DE DESCARTE,45.0,30.0,70.0,2020-06-03 00:00:00,nan,"carpenter [1,00 #8]",
46,1.1.3.2.4.2,IDENTIFICACIÓN DE SINTOMATOLOGIA COVID-19,45.0,30.0,65.0,2020-06-04 00:00:00,nan,"carpenter [1,00 #8]",
47,1.1.3.2.4.3,PANELES INFORMATIVOS COVID-19,1.0,0.25,1.5,2020-06-05 00:00:00,nan,mason,
48,1.1.3.2.4.4,SERVICIO DE TRASLADO DEL PERSONAL HASTA LA OBRA,45.0,40.0,60.0,2020-06-02 00:00:00,nan,"steel worker [1,00 #8]",
49,1.1.3.2.4.5,SERVICIO DE ALIMENTACIÓN AL PERSONAL,50.0,30.0,75.0,2020-06-02 00:00:00,nan,"carpenter [1,00 #8]",
51,1.1.3.2.5.1,ZONA DE CONTROL PREVIO,1.0,0.5,1.5,2020-06-02 00:00:00,nan,"carpenter [1,00 #8]",
52,1.1.3.2.5.2,ZONA DE CONTROL DE DESINFESSIÓN,1.0,0.5,2.5,2020-06-02 00:00:00,nan,"team subcontractor[1,00 #8]",
53,1.1.3.2.5.3,ZONA CONTROL DE VESTUARIO,1.0,0.5,1.5,2020-06-02 00:00:00,nan,mason,
54,1.1.3.2.5.4,ZONA DE TRABAJO,1.0,0.5,1.5,2020-06-02 00:00:00,nan,"carpenter [1,00 #8]",
56,1.1.3.2.6.1,"ZONAS DOTADAS DE AGUA, JABON, PAPEL SECANTE Y SOLUCIÓN HIDROALCOHÓLICA AL 70%",1.0,0.25,1.5,2020-06-02 00:00:00,nan,mason,
57,1.1.3.2.6.2,CONTENEDOR DE DESECHOS,1.0,0.25,1.5,2020-06-02 00:00:00,nan,"carpenter [1,00 #8]",
59,1.1.3.2.7.1,EQUIPAMIENTO DE PROFESIONAL DE SEGURIDAD Y SALUD,1.0,0.25,1.5,2020-06-03 00:00:00,nan,"carpenter [1,00 #8]",
62,1.2.1.1,MURO DE SOGA LADRILLO KING-KONG 18 HUECOS DE ARCILLA - MEZCLA C: A 1:5,15.0,10.0,20.0,2020-06-16 00:00:00,nan,painter,
64,1.2.2.1,"TABIQUERIA ACUSTICA CON LANA ROCA E=6 MM, DRYWALL UNA CARA ESTRUCTURA METALICA CON PLACA DE FIBROCEMENTO INC. MASILLADO",15.0,10.0,20.0,2020-06-21 00:00:00,nan,"team subcontractor[2,00 #8]",
66,1.2.3.1,TABIQUERIA FLOTANTE DECORATICO DE DRYWALL ESTRUCTURA METALICA CON PLACA DE FIBROCEMENTO ACABADO DE LAMINADO DE 8MM NOGAL MONTREAL 19.2 CM X 128.5 CM,15.0,10.0,20.0,2020-06-23 00:00:00,nan,"carpenter [1,00 #8]",
68,1.2.4.1,TARRAJEO EN INTERIORES CON CEMENTO-ARENA 1:5,7.0,2.5,11.0,2020-07-01 00:00:00,nan,"carpenter [1,00 #8]",
69,1.2.4.2,TARRAJEO EN EXTERIORES CON CEMENTO-ARENA 1:5,7.0,5.0,9.0,2020-07-02 00:00:00,nan,"painter [1,00 #8]",
70,1.2.4.3,VESTIDURA DE DERRAMES CON CEMENTO ARENA 1:5 - ANCHO 0.15 M.,7.0,6.0,8.0,2020-07-02 00:00:00,nan,"team subcontractor[1,00 #8]",
72,1.2.5.1,FALSO CIELO RASO HORIZONTAL DE DRYWALL ESTRUCTURA METALICA CON PLACA DE FIBROCEMENTO INC. MASILLADO,7.0,2.5,11.0,2020-07-08 00:00:00,nan,painter,
