node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Data Loss Prevention System,272.375,269.65,275.1,2013-04-10 08:00:00,2014-01-07 17:00:00,,584951.768859863
1,1.1,MS Kick off meeting,0.625,0.5,0.75,2013-04-10 08:00:00,2013-04-09 17:00:00,,0.0
2,1.2,DLP workshop,0.375,0.3,0.45,2013-04-15 08:00:00,2013-04-15 17:00:00,,3268.80004882813
3,1.3,study existing documentation,6.375,5.1,7.65,2013-04-16 08:00:00,2013-04-22 17:00:00,,16344.0002441406
120,1.4,Milestones,241.0,238.59,243.41,2013-05-03 17:00:00,2013-12-30 17:00:00,,0.0
4,1.4.1,MS Start specific design,0.0,0.0,0.0,2013-05-03 17:00:00,2013-05-03 17:00:00,,0.0
5,1.4.2,MS testing start,0.0,0.0,0.0,2013-07-05 17:00:00,2013-07-05 17:00:00,,0.0
6,1.4.3,MS testing end,0.0,0.0,0.0,2013-09-13 17:00:00,2013-09-13 17:00:00,,0.0
7,1.4.4,MS Deployment start,0.0,0.0,0.0,2013-09-30 17:00:00,2013-09-30 17:00:00,,0.0
8,1.4.5,MS Deployment end,0.0,0.0,0.0,2013-12-30 17:00:00,2013-12-30 17:00:00,,0.0
121,1.5,A. DLP Strategy,75.375,74.62,76.13,2013-05-10 08:00:00,2013-07-24 17:00:00,,67010.4010009766
9,1.5.1,Define DLP Strategy output,0.375,0.3,0.45,2013-05-10 08:00:00,2013-05-10 17:00:00,,3268.80004882813
10,1.5.2,Initial DLP Strategy workshop,4.375,3.5,5.25,2013-05-16 08:00:00,2013-05-20 17:00:00,,9806.40014648438
129,1.5.3,DLP Strategy Document writing,28.375,28.09,28.66,2013-05-21 08:00:00,2013-06-18 17:00:00,,31053.6004638672
11,1.5.3.1,A.1 Technical and Organizational inputs,1.375,1.1,2.06,2013-05-21 08:00:00,2013-05-22 17:00:00,,6537.60009765626
12,1.5.3.2,A.2 Data loss/leakage prevention Strategy,1.375,1.1,2.06,2013-05-29 08:00:00,2013-05-30 17:00:00,,6537.60009765626
15,1.5.3.3,Follow-up DLP Strategy workshop,4.375,3.5,6.56,2013-06-14 08:00:00,2013-06-18 17:00:00,,4903.20007324219
13,1.5.3.4,A.3 Proposed optimization of the need of information sharing and portability,1.375,1.1,2.06,2013-06-10 08:00:00,2013-06-11 17:00:00,,6537.60009765626
14,1.5.3.5,A.4 Overarching technical policies,1.375,1.1,2.06,2013-06-12 08:00:00,2013-06-13 17:00:00,,6537.60009765626
130,1.5.4,DLP Strategy Document writing,5.375,5.32,5.43,2013-06-21 08:00:00,2013-06-26 17:00:00,,13075.2001953125
16,1.5.4.1,A.1 Technical and Organizational inputs,3.375,1.35,4.05,2013-06-21 08:00:00,2013-06-24 17:00:00,,3268.80004882813
17,1.5.4.2,A.2 Data loss/leakage prevention Strategy,3.375,1.35,4.05,2013-06-21 08:00:00,2013-06-24 17:00:00,,3268.80004882813
18,1.5.4.3,A.3 Proposed optimization of the need of information sharing and portability,1.375,0.55,1.65,2013-06-25 08:00:00,2013-06-26 17:00:00,,3268.80004882813
19,1.5.4.4,A.4 Overarching technical policies,1.375,0.55,1.65,2013-06-25 08:00:00,2013-06-26 17:00:00,,3268.80004882813
20,1.5.5,DLP Strategy Document review,6.375,5.1,7.65,2013-06-27 08:00:00,2013-07-03 17:00:00,,3268.80004882812
21,1.5.6,DLP Strategy Fix document,6.375,5.1,7.65,2013-07-04 08:00:00,2013-07-10 17:00:00,,3268.80004882812
22,1.5.7,DLP Strategy approval,13.375,10.7,16.05,2013-07-11 08:00:00,2013-07-24 17:00:00,,3268.80004882813
122,1.6,B. High level implementation plan,76.375,75.61,77.14,2013-05-09 08:00:00,2013-07-24 17:00:00,,67010.4010009766
23,1.6.1,Define HL Implementation plan output,0.375,0.3,0.45,2013-05-09 08:00:00,2013-05-09 17:00:00,,3268.80004882813
24,1.6.2,Initial HL Implementation plan workshop,2.375,1.9,2.85,2013-05-13 08:00:00,2013-05-15 17:00:00,,9806.40014648438
131,1.6.3,HL Implementation plan Document writing,11.375,11.26,11.49,2013-05-23 08:00:00,2013-06-03 17:00:00,,26150.400390625
