node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Building a Dream,200.291666666667,198.29,202.29,2013-03-04 08:00:00,2013-09-20 15:00:00,,241015.000690222
1,1.1,Soil Research,0.375,0.3,0.45,2013-03-04 08:00:00,2013-03-04 17:00:00,,850.0
2,1.2,Calculations,4.375,3.5,5.25,2013-03-11 08:00:00,2013-03-15 17:00:00,,1210.0
3,1.3,Building site preparation,0.375,0.3,0.45,2013-03-05 08:00:00,2013-03-05 17:00:00,Cement Mason;Labourer[3.00 #3];Digger,1640.0
4,1.4,Building foundation,9.16666666666667,7.33,11.0,2013-03-18 08:00:00,2013-03-27 12:00:00,Concrete Mixer[0.67 #1];Cement Mason[0.67 #2];Labourer[2.00 #3];Digger[0.67 #1],11800.0001549721
5,1.5,Sewerage & drainage system,1.95833333333333,1.57,2.35,2013-03-27 13:00:00,2013-03-29 12:00:00,Cement Mason;Labourer[3.00 #3];Crane;Digger,5280.0
6,1.6,Building groundfloor,8.375,6.7,10.05,2013-04-01 08:00:00,2013-04-09 17:00:00,Concrete Mixer;Cement Mason[2.00 #2];Labourer[3.00 #3];Crane,23920.0
7,1.7,Building first floor,8.375,6.7,10.05,2013-04-10 08:00:00,2013-04-18 17:00:00,Concrete Mixer;Cement Mason[2.00 #2];Labourer[3.00 #3];Crane,24920.0
8,1.8,Test jointing,0.125,0.1,0.15,2013-04-19 08:00:00,2013-04-19 11:00:00,Cement Mason[1.33 #2],180.000005364418
9,1.9,Choosing joint type,0.0833333333333333,0.07,0.1,2013-04-22 08:00:00,2013-04-22 10:00:00,Cement Mason[2.00 #2],2180.0
10,1.1,Jointing,8.08333333333333,6.47,9.7,2013-06-11 15:00:00,2013-06-19 17:00:00,Concrete Mixer[0.80 #1];Cement Mason[1.60 #2];Labourer[0.80 #3],5400.00008046627
11,1.11,Scaffolding,4.16666666666667,3.33,5.0,2013-04-19 08:00:00,2013-04-23 12:00:00,Labourer[1.60 #3],1210.00001430512
12,1.12,Building roof framework,12.9583333333333,10.37,15.55,2013-04-23 13:00:00,2013-05-06 12:00:00,Labourer[0.67 #3];Roofer[1.33 #2],5760.00017166137
13,1.13,Roof covering,17.9583333333333,14.37,21.55,2013-05-06 13:00:00,2013-05-24 12:00:00,Labourer;Crane;Roofer[2.00 #2],42440.0
14,1.14,Electricity,5.875,4.7,7.05,2013-05-24 13:00:00,2013-05-30 10:00:00,Electrician[1.60 #2],2650.00003576279
15,1.15,Sanitary,5.95833333333333,4.77,7.15,2013-05-24 13:00:00,2013-05-30 12:00:00,Plumber[2.00 #2],7700.0
16,1.16,Placing windows,5.875,4.7,7.05,2013-05-30 13:00:00,2013-06-05 10:00:00,Labourer[2.40 #3],5160.00008583069
17,1.17,Underfloor heating,5.16666666666667,4.13,6.2,2013-05-30 13:00:00,2013-06-04 17:00:00,Labourer[0.57 #3];Plumber[0.57 #2],3780.00005722046
18,1.18,Laying floor screed,6.20833333333333,4.97,7.45,2013-06-05 10:00:00,2013-06-11 15:00:00,Concrete Mixer[0.67 #1];Cement Mason[0.67 #2];Labourer[2.00 #3],6600.00004291535
19,1.19,Configurating underfloor heating,0.875,0.7,1.05,2013-07-09 15:00:00,2013-07-10 12:00:00,Plumber[0.67 #2],200.000005960465
20,1.2,Plastering,21.0,16.8,25.2,2013-07-09 15:00:00,2013-07-30 15:00:00,Labourer[2.00 #3],7300.0
21,1.21,Floor tiling,9.79166666666667,7.83,11.75,2013-07-30 15:00:00,2013-08-09 10:00:00,Labourer[2.00 #3],4857.0
22,1.22,Carpenting,3.29166666666667,2.63,3.95,2013-08-12 10:00:00,2013-08-15 17:00:00,Carpenter[1.60 #2],1920.00002861023
23,1.23,Painting,13.375,10.7,16.05,2013-08-16 08:00:00,2013-08-29 17:00:00,Painter[2.00 #2],9600.0
24,1.24,Finishing up,3.375,2.7,4.05,2013-08-30 08:00:00,2013-09-02 17:00:00,Labourer[2.00 #3];Carpenter[2.00 #2];Plumber[2.00 #2];Electrician[2.00 #2],5440.0
25,1.25,Installation of kitchen,1.375,1.1,1.65,2013-09-03 08:00:00,2013-09-04 17:00:00,,19000.0
26,1.26,Installation of bathroom,2.375,1.9,2.85,2013-09-03 08:00:00,2013-09-05 17:00:00,,8000.0
27,1.27,Cleaning up,3.29166666666667,2.63,3.95,2013-09-06 08:00:00,2013-09-09 15:00:00,Labourer[1.71 #3],720.000007152556
28,1.28,Installation solar panels,3.375,2.7,4.05,2013-08-30 08:00:00,2013-09-02 17:00:00,,12000.0
29,1.29,Garden site preparation,2.0,1.6,2.4,2013-09-09 15:00:00,2013-09-11 15:00:00,,2500.0
30,1.3,Garden landscaping,8.0,6.4,9.6,2013-09-11 15:00:00,2013-09-19 15:00:00,,6500.0
31,1.31,Terrace construction,5.0,4.0,6.0,2013-09-11 15:00:00,2013-09-16 15:00:00,,10000.0
32,1.32,Moving of furniture,2.0,1.6,2.4,2013-09-09 15:00:00,2013-09-11 15:00:00,,198.0
33,1.33,Final inspection,1.0,0.8,1.2,2013-09-19 15:00:00,2013-09-20 15:00:00,,100.0
