node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Hydrogen Island - MS project,3925.375,3886.12,3964.63,2017-12-08 08:00:00,2028-09-06 17:00:00,,0
17,1.1,Site survey,47.375,46.9,47.85,2017-12-08 08:00:00,2018-01-24 17:00:00,,0
18,1.1.1,Cone Penetration Test,5.375,4.3,6.45,2017-12-08 08:00:00,2017-12-13 17:00:00,,0
19,1.1.2,Cone Penetration Test Report,41.375,33.1,49.65,2017-12-14 08:00:00,2018-01-24 17:00:00,,0
16,1.2,Studies,293.375,290.44,296.31,2017-12-08 08:00:00,2018-09-27 17:00:00,,0
20,1.2.1,Geotechnical study,111.375,89.1,133.65,2018-01-25 08:00:00,2018-05-16 17:00:00,,0
21,1.2.2,Environmental study,293.375,234.7,352.05,2017-12-08 08:00:00,2018-09-27 17:00:00,,0
22,1.2.3,Engineering study,279.375,223.5,335.25,2017-12-08 08:00:00,2018-09-13 17:00:00,,0
15,1.3,Permits,209.375,207.28,211.47,2018-09-14 08:00:00,2019-04-11 17:00:00,,0
23,1.3.1,Environmental permit,195.375,156.3,234.45,2018-09-28 08:00:00,2019-04-11 17:00:00,,0
24,1.3.2,Building permit,195.375,156.3,234.45,2018-09-14 08:00:00,2019-03-28 17:00:00,,0
14,1.4,Execution plan,461.375,456.76,465.99,2019-03-29 08:00:00,2020-07-02 17:00:00,,0
25,1.4.1,Breakwaters,209.375,167.5,251.25,2019-03-29 08:00:00,2019-10-24 17:00:00,,0
26,1.4.2,Quay wall,181.375,145.1,217.65,2019-03-29 08:00:00,2019-09-26 17:00:00,,0
27,1.4.3,Land reclamation,69.375,55.5,83.25,2019-03-29 08:00:00,2019-06-06 17:00:00,,0
28,1.4.4,Buildings,167.375,133.9,200.85,2019-03-29 08:00:00,2019-09-12 17:00:00,,0
29,1.4.5,Roads and hardstands,55.375,44.3,66.45,2019-03-29 08:00:00,2019-05-23 17:00:00,,0
30,1.4.6,Hydrogen industry,209.375,167.5,251.25,2019-03-29 08:00:00,2019-10-24 17:00:00,,0
31,1.4.7,Contracts,19.375,15.5,23.25,2019-10-25 08:00:00,2019-11-13 17:00:00,,0
