node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Asti-Cuneo Highway,379.416666666667,375.62,383.21,2012-04-12 07:00:00,2013-04-26 17:00:00,,6230961
10,1.1,Installation of fixed yard,15.4166666666667,15.26,15.57,2012-04-12 07:00:00,2012-04-27 17:00:00,,151200
1,1.1.1,Pegging and fence,0.416666666666667,0.33,0.5,2012-04-12 07:00:00,2012-04-12 17:00:00,Labourers[2.00 #10];Truck IVECO Trakker;Materials[10000.00F #-1],11710
2,1.1.2,Clearing site,3.41666666666667,2.73,4.1,2012-04-13 07:00:00,2012-04-16 17:00:00,Labourers[4.00 #10];Truck IVECO Trakker[3.00 #6];Wheel Loader,9180
3,1.1.3,Levelling ground,0.416666666666667,0.33,0.5,2012-04-17 07:00:00,2012-04-17 17:00:00,Labourers[3.00 #10];Bulldozer D8T;Wheel Loader;Truck IVECO Trakker,3465
4,1.1.4,Containers placement,0.416666666666667,0.33,0.5,2012-04-18 07:00:00,2012-04-18 17:00:00,Labourers[2.00 #10];Truck IVECO Trakker;Crane,2655
5,1.1.5,Connection to network service,1.41666666666667,1.13,1.7,2012-04-19 07:00:00,2012-04-20 17:00:00,Labourers[3.00 #10];Truck IVECO Trakker,4500
6,1.1.6,Pegging road,0.416666666666667,0.33,0.5,2012-04-23 07:00:00,2012-04-23 17:00:00,Labourers[2.00 #10];Truck IVECO Trakker;Materials[30000.00F #-1],31710
7,1.1.7,Alternative road system,3.41666666666667,2.73,4.1,2012-04-24 07:00:00,2012-04-27 17:00:00,Labourers[7.00 #10];Truck IVECO Trakker[5.00 #6];Wheel Loader[2.00 #2];Sheepfoot rolles;Concrete Mixer Truck;Materials[50000.00F #-1],87980
16,1.2,Zone B working,46.4166666666667,45.95,46.88,2012-04-30 07:00:00,2012-06-15 17:00:00,,430524
8,1.2.1,Demolition,0.416666666666667,0.33,0.5,2012-04-30 07:00:00,2012-04-30 17:00:00,Labourers[4.00 #10];Truck IVECO Trakker[2.00 #6];Crawler Excavator;Paler,4887
9,1.2.2,Clearing subbase and topsoil removal,3.41666666666667,2.73,4.1,2012-04-30 07:00:00,2012-05-03 17:00:00,Labourers[3.00 #10];Truck IVECO Trakker;Bulldozer D8T;Wheel Loader,13860
15,1.2.3,Minor works,14.4166666666667,14.27,14.56,2012-05-04 07:00:00,2012-05-18 17:00:00,,13785
14,1.2.3.1,Manhole covers,0.416666666666667,0.33,0.5,2012-05-04 07:00:00,2012-05-04 17:00:00,Labourers[3.00 #10];Truck IVECO Trakker;Crane;Materials[3000.00F #-1],6195
13,1.2.3.2,Culverts box,14.4166666666667,14.27,14.56,2012-05-04 07:00:00,2012-05-18 17:00:00,,7590
11,1.2.3.2.1,Placement formworks and concrete casting,0.416666666666667,0.33,0.5,2012-05-04 07:00:00,2012-05-04 17:00:00,Labourers[4.00 #10];Truck IVECO Trakker;Concrete Mixer Truck;Crane;Materials[3000.00F #-1],7590
12,1.2.3.2.2,Culverts concrete aging,11.4166666666667,9.13,13.7,2012-05-07 07:00:00,2012-05-18 17:00:00,,0
97,1.2.4,Ground movement,32.4166666666667,32.09,32.74,2012-05-07 07:00:00,2012-06-08 17:00:00,,373407
19,1.2.4.1,Road embankments,22.4166666666667,17.93,26.9,2012-05-07 07:00:00,2012-05-29 17:00:00,Labourers[10.00 #10];Truck IVECO Trakker[6.00 #6];Wheel Loader[2.00 #2];Sheepfoot rolles;Concrete Mixer Truck;Materials[55000.00F #-1],254665
20,1.2.4.2,Sound barriers,1.41666666666667,1.13,1.7,2012-05-30 07:00:00,2012-05-31 17:00:00,Labourers[4.00 #10];Truck IVECO Trakker;Crane;Materials[23000.00F #-1],30470
18,1.2.4.3,Trench,9.41666666666667,9.32,9.51,2012-05-30 07:00:00,2012-06-08 17:00:00,,88272
17,1.2.4.3.1,Digging,9.41666666666667,7.53,11.3,2012-05-30 07:00:00,2012-06-08 17:00:00,Labourers[9.00 #10];Crawler Excavator[2.00 #2];Truck IVECO Trakker[6.00 #6];Sheepfoot rolles,88272
23,1.2.5,Hydraulic works,4.41666666666667,4.37,4.46,2012-06-11 07:00:00,2012-06-15 17:00:00,,24585
22,1.2.5.1,Longitudinal drains (ditches),4.41666666666667,3.53,5.3,2012-06-11 07:00:00,2012-06-15 17:00:00,Labourers[4.00 #10];Truck IVECO Trakker;Crane;Crawler Excavator;Materials[1500.00F #-1],24585
37,1.3,Overpass construction,100.416666666667,99.41,101.42,2012-06-18 07:00:00,2012-09-26 17:00:00,,604317
24,1.3.1,Plinths excavation,0.416666666666667,0.33,0.5,2012-06-18 07:00:00,2012-06-18 17:00:00,Labourers[4.00 #10];Truck IVECO Trakker[3.00 #6];Crawler Excavator;Materials[0.00F #-1],4932
25,1.3.2,Pouring piles frameworks and drilling,3.41666666666667,2.73,4.1,2012-06-19 07:00:00,2012-06-22 17:00:00,Labourers[6.00 #10];Truck IVECO Trakker;Drilling Rid;Crane;Wheel Loader;Concrete Mixer Truck;Materials[190000.00F #-1],217540
26,1.3.3,Piles concrete aging,11.4166666666667,9.13,13.7,2012-06-25 07:00:00,2012-07-06 17:00:00,,0
27,1.3.4,Making of plinths (pouring frameworks and concrete casting),1.41666666666667,1.13,1.7,2012-07-09 07:00:00,2012-07-10 17:00:00,Labourers[4.00 #10];Truck IVECO Trakker;Concrete Mixer Truck;Crane;Materials[100000.00F #-1],109180
28,1.3.5,Plinths concrete aging,13.4166666666667,10.73,16.1,2012-07-11 07:00:00,2012-07-24 17:00:00,,0
29,1.3.6,Making of pylons (pouring frameworks and concrete casting),0.416666666666667,0.33,0.5,2012-07-25 07:00:00,2012-07-25 17:00:00,Labourers[4.00 #10];Truck IVECO Trakker;Concrete Mixer Truck;Crane;Materials[11000.00F #-1],15590
30,1.3.7,Pylons concrete aging,13.4166666666667,10.73,16.1,2012-07-26 07:00:00,2012-08-08 17:00:00,,0
31,1.3.8,Making of shoulders (pouring frameworks and concrete casting),0.416666666666667,0.33,0.5,2012-08-09 07:00:00,2012-08-09 17:00:00,Labourers[4.00 #10];Truck IVECO Trakker;Concrete Mixer Truck;Crane;Materials[81000.00F #-1],85590
32,1.3.9,Shoulders concrete aging,13.4166666666667,10.73,16.1,2012-08-10 07:00:00,2012-08-23 17:00:00,,0
33,1.3.10,Pouring prefabricated beam,0.416666666666667,0.33,0.5,2012-08-24 07:00:00,2012-08-24 17:00:00,Labourers[4.00 #10];Truck IVECO Trakker;Crane;Materials[52000.00F #-1],55735
34,1.3.11,Making of slab (pouring frameworks and concrete casting),0.416666666666667,0.33,0.5,2012-08-27 07:00:00,2012-08-27 17:00:00,Labourers[5.00 #10];Truck IVECO Trakker;Concrete Mixer Truck;Crane;Materials[23500.00F #-1],28630
35,1.3.12,Slab's concrete aging,13.4166666666667,10.73,16.1,2012-08-28 07:00:00,2012-09-10 17:00:00,,0
36,1.3.13,Making of embankments,15.4166666666667,12.33,18.5,2012-09-11 07:00:00,2012-09-26 17:00:00,Labourers[5.00 #10];Truck IVECO Trakker[3.00 #6];Wheel Loader;Sheepfoot rolles;Materials[18000.00F #-1],87120
96,1.4,Zone A working,39.4166666666667,39.02,39.81,2012-06-18 07:00:00,2012-07-27 17:00:00,,373496
41,1.4.1,Demolitions,0.416666666666667,0.33,0.5,2012-06-18 07:00:00,2012-06-18 17:00:00,Labourers[3.00 #10];Truck IVECO Trakker[2.00 #6];Cold Milling Machine,4950
42,1.4.2,Topsoil removal and clearing subbase,6.41666666666667,5.13,7.7,2012-06-19 07:00:00,2012-06-25 17:00:00,Labourers[3.00 #10];Truck IVECO Trakker;Wheel Loader;Bulldozer D8T,17325
40,1.4.3,Ground movement,28.4166666666667,28.13,28.7,2012-06-26 07:00:00,2012-07-24 17:00:00,,311825
