node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Roadworks Poperinge,200.375,198.37,202.38,2013-04-08 08:00:00,2013-10-25 17:00:00,,511325.859741211
1,1.1,opbraak &amp;amp;amp; grondwerken,39.375,31.5,47.25,2013-04-08 08:00:00,2013-05-17 17:00:00,,75079.2265625
2,1.2,riolering,39.375,31.5,47.25,2013-04-15 08:00:00,2013-05-24 17:00:00,,122638.4609375
3,1.3,huisaansluiting,32.375,25.9,38.85,2013-04-29 08:00:00,2013-05-31 17:00:00,,71968.0703125
4,1.4,koffer,25.375,20.3,30.45,2013-05-13 08:00:00,2013-06-07 17:00:00,,10302.5
5,1.5,opbraak oude rioleringsbuizen,11.375,9.1,13.65,2013-05-27 08:00:00,2013-06-07 17:00:00,,7097.490234375
6,1.6,boorstenen/greppel prefab,18.375,14.7,22.05,2013-06-03 08:00:00,2013-06-21 17:00:00,,15305.599609375
7,1.7,boorstenen/greppel ter plaatse,32.375,25.9,38.85,2013-06-17 08:00:00,2013-07-19 17:00:00,,18970.0
8,1.8,fundering,18.375,14.7,22.05,2013-08-19 08:00:00,2013-09-06 17:00:00,,71018.25
9,1.9,betonstraatstenen,46.375,37.1,55.65,2013-09-02 08:00:00,2013-10-18 17:00:00,,46090.76171875
10,1.1,plaatsen aanrijelement,4.375,3.5,5.25,2013-09-09 08:00:00,2013-09-13 17:00:00,,9399.150390625
11,1.11,KWS onderlaag,4.375,3.5,5.25,2013-09-16 08:00:00,2013-09-20 17:00:00,,29674.5
12,1.12,KWS bovenlaag,4.375,3.5,5.25,2013-09-23 08:00:00,2013-09-27 17:00:00,,32715.25
13,1.13,opkuis &amp;amp;amp; afwerken,4.375,3.5,5.25,2013-10-21 08:00:00,2013-10-25 17:00:00,,1066.59997558594
