node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
4,nan,Engineering,10.0,8.0,12.0,2020-02-03 08:00:00,nan,,
5,nan,Place orders,5.0,4.0,6.0,2020-02-17 08:00:00,nan,,
6,nan,Lead time LS,30.0,24.0,36.0,2020-02-24 08:00:00,nan,,
7,nan,Lead time MS,80.0,64.0,96.0,2020-02-24 08:00:00,nan,,
8,nan,Montage,15.0,12.0,18.0,2020-06-15 08:00:00,nan,,
9,nan,Pre-SAT,8.0,6.4,9.6,2020-07-06 08:00:00,nan,,
10,nan,SAT,2.0,1.6,2.4,2020-07-16 08:00:00,nan,,
11,nan,"Packing, Transport and Delivery",5.0,4.0,6.0,2020-07-20 08:00:00,nan,,
13,nan,Technical clarification & Engineering,10.0,8.0,12.0,2020-02-03 08:00:00,nan,,
14,nan,Production,100.0,80.0,120.0,2020-02-17 08:00:00,nan,,
15,nan,Transport & Delivery,5.0,4.0,6.0,2020-07-06 08:00:00,nan,,
17,nan,Technical Clarification,20.0,16.0,24.0,2020-02-03 08:00:00,nan,,
18,nan,"Prototype: Engineering, Production & Testing",40.0,32.0,48.0,2020-03-02 08:00:00,nan,,
21,nan,MS,125.0,100.0,150.0,2020-03-02 08:00:00,nan,,
22,nan,Engineering,10.0,8.0,12.0,2020-03-02 08:00:00,nan,,
23,nan,Place orders,5.0,4.0,6.0,2020-03-16 08:00:00,nan,,
24,nan,Lead time LS,30.0,24.0,36.0,2020-03-23 08:00:00,nan,,
25,nan,Lead time MS,80.0,64.0,96.0,2020-03-23 08:00:00,nan,,
26,nan,Montage,15.0,12.0,18.0,2020-07-13 08:00:00,nan,,
27,nan,Pre-SAT,8.0,6.4,9.6,2020-08-03 08:00:00,nan,,
28,nan,SAT,2.0,1.6,2.4,2020-08-13 08:00:00,nan,,
29,nan,"Packing, Transport and Delivery",5.0,4.0,6.0,2020-08-17 08:00:00,nan,,
30,nan,REC,115.0,92.0,138.0,2020-03-02 08:00:00,nan,,
31,nan,Technical clarification & Engineering,10.0,8.0,12.0,2020-03-02 08:00:00,nan,,
32,nan,Production,30.0,24.0,36.0,2020-03-16 08:00:00,nan,,
33,nan,Transport & Delivery,5.0,4.0,6.0,2020-08-03 08:00:00,nan,,
35,nan,MS,125.0,100.0,150.0,2020-05-04 08:00:00,nan,,
36,nan,Engineering,10.0,8.0,12.0,2020-05-04 08:00:00,nan,,
37,nan,Place orders,5.0,4.0,6.0,2020-05-18 08:00:00,nan,,
38,nan,Lead time LS,30.0,24.0,36.0,2020-05-25 08:00:00,nan,,
39,nan,Lead time MS,80.0,64.0,96.0,2020-05-25 08:00:00,nan,,
40,nan,Montage,15.0,12.0,18.0,2020-09-14 08:00:00,nan,,
41,nan,Pre-SAT,8.0,6.4,9.6,2020-10-05 08:00:00,nan,,
42,nan,SAT,2.0,1.6,2.4,2020-10-15 08:00:00,nan,,
43,nan,"Packing, Transport and Delivery",5.0,4.0,6.0,2020-10-19 08:00:00,nan,,
44,nan,REC,115.0,92.0,138.0,2020-05-04 08:00:00,nan,,
45,nan,Technical clarification & Engineering,10.0,8.0,12.0,2020-05-04 08:00:00,nan,,
46,nan,Production,100.0,80.0,120.0,2020-05-18 08:00:00,nan,,
47,nan,Transport & Delivery,5.0,4.0,6.0,2020-10-05 08:00:00,nan,,
50,nan,Engineering,10.0,8.0,12.0,2020-08-03 08:00:00,nan,,
51,nan,Place orders,5.0,4.0,6.0,2020-08-17 08:00:00,nan,,
52,nan,Lead time LS,30.0,24.0,36.0,2020-08-24 08:00:00,nan,,
53,nan,Lead time MS,80.0,64.0,96.0,2020-08-24 08:00:00,nan,,
54,nan,Montage,15.0,12.0,18.0,2020-12-14 08:00:00,nan,,
55,nan,Pre-SAT,8.0,6.4,9.6,2021-01-04 08:00:00,nan,,
56,nan,SAT,2.0,1.6,2.4,2021-01-14 08:00:00,nan,,
57,nan,"Packing, Transport and Delivery",5.0,4.0,6.0,2021-01-18 08:00:00,nan,,
59,nan,Technical clarification & Engineering,10.0,8.0,12.0,2020-08-03 08:00:00,nan,,
60,nan,Production,100.0,80.0,120.0,2020-08-17 08:00:00,nan,,
61,nan,Transport & Delivery,5.0,4.0,6.0,2021-01-04 08:00:00,nan,,
64,nan,Engineering,10.0,8.0,12.0,2020-11-02 08:00:00,nan,,
65,nan,Place orders,5.0,4.0,6.0,2020-11-16 08:00:00,nan,,
66,nan,Lead time LS,30.0,24.0,36.0,2020-11-23 08:00:00,nan,,
67,nan,Lead time MS,80.0,64.0,96.0,2020-11-23 08:00:00,nan,,
68,nan,Montage,15.0,12.0,18.0,2021-03-15 08:00:00,nan,,
69,nan,Pre-SAT,8.0,6.4,9.6,2021-04-05 08:00:00,nan,,
70,nan,SAT,2.0,1.6,2.4,2021-04-15 08:00:00,nan,,
71,nan,"Packing, Transport and Delivery",5.0,4.0,6.0,2021-04-19 08:00:00,nan,,
73,nan,Technical clarification & Engineering,10.0,8.0,12.0,2020-11-02 08:00:00,nan,,
74,nan,Production,100.0,80.0,120.0,2020-11-16 08:00:00,nan,,
75,nan,Transport & Delivery,5.0,4.0,6.0,2021-04-05 08:00:00,nan,,
78,nan,Engineering,10.0,8.0,12.0,2021-02-01 08:00:00,nan,,
79,nan,Place orders,5.0,4.0,6.0,2021-02-15 08:00:00,nan,,
80,nan,Lead time LS,30.0,24.0,36.0,2021-02-22 08:00:00,nan,,
81,nan,Lead time MS,80.0,64.0,96.0,2021-02-22 08:00:00,nan,,
82,nan,Montage,15.0,12.0,18.0,2021-06-14 08:00:00,nan,,
83,nan,Pre-SAT,8.0,6.4,9.6,2021-07-05 08:00:00,nan,,
84,nan,SAT,2.0,1.6,2.4,2021-07-15 08:00:00,nan,,
85,nan,"Packing, Transport and Delivery",5.0,4.0,6.0,2021-07-19 08:00:00,nan,,
87,nan,Technical clarification & Engineering,10.0,8.0,12.0,2021-02-01 08:00:00,nan,,
88,nan,Production,100.0,80.0,120.0,2021-02-15 08:00:00,nan,,
89,nan,Transport & Delivery,5.0,4.0,6.0,2021-07-05 08:00:00,nan,,
89,nan,Transport & Delivery,5.0,4.0,6.0,2021-07-05 08:00:00,nan,,
