node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Office Finishing Works (2),109.375,108.28,110.47,2011-02-14 08:00:00,2011-06-03 17:00:00,,85847.8889007568
1,1.1,Verplaatsbare wanden (1),0.375,0.3,0.45,2011-02-14 08:00:00,2011-02-14 17:00:00,,3325.2099609375
2,1.2,Verplaatsbare wanden (2),0.375,0.3,0.45,2011-02-14 08:00:00,2011-02-14 17:00:00,,3736.01000976563
4,1.3,Systeemwanden,86.375,69.1,103.65,2011-02-14 08:00:00,2011-05-11 17:00:00,,22944.51953125
3,1.4,Zuivere OA (1),0.375,0.3,0.45,2011-02-15 08:00:00,2011-02-15 17:00:00,,179.020004272461
5,1.5,Akoestische dammen,1.375,1.1,1.65,2011-03-22 08:00:00,2011-03-23 17:00:00,,1092.75
9,1.6,Plafonds + AKD,1.375,1.1,1.65,2011-03-22 08:00:00,2011-03-23 17:00:00,,607.77001953125
6,1.7,Verplaatsbare wanden (3),5.375,4.3,6.45,2011-03-23 08:00:00,2011-03-28 17:00:00,,23.0
7,1.8,Verplaatsbare wanden (4),23.375,18.7,28.05,2011-04-18 08:00:00,2011-05-11 17:00:00,,49527.609375
8,1.9,Zuivere OA (2),22.375,17.9,26.85,2011-05-12 08:00:00,2011-06-03 17:00:00,,4412.0
