node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,projectKopie,489.3749999999636,484.48,494.27,2016-11-16 08:00:00,2018-03-20 17:00:00,,1703349.99992275
41,1.1,Onderzoek,70.375,69.67,71.08,2016-11-16 08:00:00,2017-01-25 17:00:00,,23776.0
2,1.1.1,Analysis of bikes and bikes usage in gent by students,19.375,15.5,23.25,2016-11-16 08:00:00,2016-12-05 17:00:00,Engineer[2.00 #2],10080.0
3,1.1.2,Properties of the bike,3.375,2.7,4.05,2016-12-06 08:00:00,2016-12-09 17:00:00,Engineer,1440.0
4,1.1.3,Determine amount of bikes needed and hot spots,6.375,5.1,7.65,2016-12-06 08:00:00,2016-12-12 17:00:00,Engineer,1800.0
5,1.1.4,research for possibledocking stations,27.375,21.9,32.85,2016-12-13 08:00:00,2017-01-09 17:00:00,Engineer,7200.0
6,1.1.5,Resarch amount of staff needed (extra contractors),6.375,5.1,7.65,2017-01-10 08:00:00,2017-01-16 17:00:00,Engineer,1800.0
7,1.1.6,feasibility study,8.375,6.7,10.05,2017-01-17 08:00:00,2017-01-25 17:00:00,Admin,1456.0
42,1.2,Vans,44.375,43.93,44.82,2016-12-13 08:00:00,2017-01-26 17:00:00,,47880.0
9,1.2.1,determine type and amound of vans,2.375,1.9,2.85,2016-12-13 08:00:00,2016-12-15 17:00:00,,0.0
10,1.2.2,buy vans,20.375,16.3,24.45,2016-12-16 08:00:00,2017-01-05 17:00:00,,45000.0
11,1.2.3,adjust vans,20.375,16.3,24.45,2017-01-06 08:00:00,2017-01-26 17:00:00,Arb,2880.0
43,1.3,Meeting,97.375,96.4,98.35,2017-01-26 08:00:00,2017-05-03 17:00:00,,23452.0
13,1.3.1,Asking town for permission,41.375,33.1,49.65,2017-01-26 08:00:00,2017-03-08 17:00:00,Aankoop,8160.0
14,1.3.2,Asking town for blue prints porwer network,27.375,21.9,32.85,2017-03-09 08:00:00,2017-04-05 17:00:00,,0.0
15,1.3.3,meeting with bike suppliers and contracting,55.375,44.3,66.45,2017-03-09 08:00:00,2017-05-03 17:00:00,Admin[0.50 #2],4160.0
16,1.3.4,meeting with docking stations and tower suppliers and contracting,48.375,38.7,58.05,2017-03-09 08:00:00,2017-04-26 17:00:00,Aankoop[0.50 #2],4760.0
17,1.3.5,meeting with duct suppliers & cable supliers & contracting,20.375,16.3,24.45,2017-03-09 08:00:00,2017-03-29 17:00:00,Engineer[0.50 #2];Admin[0.50 #2],4260.0
18,1.3.6,meeting concrete suppliers,13.375,10.7,16.05,2017-03-09 08:00:00,2017-03-22 17:00:00,,2112.0
44,1.4,Ict,120.375,119.17,121.58,2017-03-09 08:00:00,2017-07-07 17:00:00,,175560.0
20,1.4.1,ICT contracter search,25.375,20.3,30.45,2017-03-09 08:00:00,2017-04-03 17:00:00,Admin[0.50 #2];Aankoop[0.50 #2];Engineer[0.50 #5],7560.0
21,1.4.2,Developing app,78.375,62.7,94.05,2017-04-04 08:00:00,2017-06-21 17:00:00,,0.0
22,1.4.3,developing pay system,78.375,62.7,94.05,2017-04-04 08:00:00,2017-06-21 17:00:00,,0.0
23,1.4.4,Testing & approve app,15.375,12.3,18.45,2017-06-22 08:00:00,2017-07-07 17:00:00,,84000.0
24,1.4.5,Testing & approve pay system,15.375,12.3,18.45,2017-06-22 08:00:00,2017-07-07 17:00:00,,84000.0
45,1.5,Repair place,32.375,32.05,32.7,2017-01-27 08:00:00,2017-02-28 17:00:00,,17664.0
26,1.5.1,construct bike repearing place,32.375,25.9,38.85,2017-01-27 08:00:00,2017-02-28 17:00:00,Arb[4.00 #4],17664.0
46,1.6,Delivery,104.375,103.33,105.42,2017-03-30 08:00:00,2017-07-12 17:00:00,,460000.0
28,1.6.1,Delivery bikes  parts,69.375,55.5,83.25,2017-05-04 08:00:00,2017-07-12 17:00:00,,150000.0
29,1.6.2,delivery docking station & power tower,41.375,33.1,49.65,2017-04-27 08:00:00,2017-06-07 17:00:00,,250000.0
30,1.6.3,delivery ducts,25.375,20.3,30.45,2017-03-30 08:00:00,2017-04-24 17:00:00,,60000.0
47,1.7,Assembly,128.375,127.09,129.66,2017-04-25 08:00:00,2017-08-31 17:00:00,,72575.9999227524
32,1.7.1,assembly docking station & power tower,62.375,49.9,74.85,2017-06-08 08:00:00,2017-08-09 17:00:00,Engineer[0.88 #2];Arb[2.00 #4],31535.9999227524
33,1.7.2,assembly bikes  & Testing,49.375,39.5,59.25,2017-07-13 08:00:00,2017-08-31 17:00:00,Arb[4.00 #4],27648.0
34,1.7.3,assembly ducts,23.375,18.7,28.05,2017-04-25 08:00:00,2017-05-18 17:00:00,Engineer;Arb[2.00 #4],13392.0
48,1.8,Construction total,179.375,177.58,181.17,2017-04-06 08:00:00,2017-10-02 17:00:00,,770922.0
36,1.8.1,Construction 1,89.375,71.5,107.25,2017-04-06 08:00:00,2017-07-04 17:00:00,,587706.0
37,1.8.2,Construction 2,53.375,42.7,64.05,2017-08-10 08:00:00,2017-10-02 17:00:00,,183216.0
49,1.9,Final phase,56.375,55.81,56.94,2017-10-03 08:00:00,2017-11-28 17:00:00,,11520.0
39,1.9.1,Placing bikes,20.375,16.3,24.45,2017-10-03 08:00:00,2017-10-23 17:00:00,Arb[4.00 #4],11520.0
40,1.9.2,Final testing the total system,35.375,28.3,42.45,2017-10-24 08:00:00,2017-11-28 17:00:00,,0.0
50,1.10,Project buffer,111.375,89.1,133.65,2017-11-29 08:00:00,2018-03-20 17:00:00,,100000.0
