node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0.0,1,Bikesharing 1New,548.375,548.375,548.375,2019-01-07 08:00:00,2020-07-08 17:00:00,,5611571.2
22.0,1.1,Research phase,284.375,284.375,284.375,2019-01-07 08:00:00,2019-10-18 17:00:00,,54758.0
20.0,1.1.1,Survey,284.375,284.375,284.375,2019-01-07 08:00:00,2019-10-18 17:00:00,,6953.2
1.0,1.1.1.1,Survey target audience,25.375,25.375,25.375,2019-01-07 08:00:00,2019-02-01 17:00:00,Marketing Expert[2.00 #2],3817.6
2.0,1.1.1.2,Payment method,11.375,11.375,11.375,2019-02-04 08:00:00,2019-02-15 17:00:00,Marketing Expert;Business engineer,2090.4
3.0,1.1.1.3,Price setting,4.375,4.375,4.375,2019-10-14 08:00:00,2019-10-18 17:00:00,Marketing Expert;Business engineer,1045.2
21.0,1.1.2,Research,193.375,193.375,193.375,2019-01-07 08:00:00,2019-07-19 17:00:00,,47804.8
4.0,1.1.2.1,Grid research,109.375,109.375,109.375,2019-01-07 08:00:00,2019-04-26 17:00:00,Business engineer[3.00 #3],27264.0
5.0,1.1.2.2,Research docks/bikes,25.375,25.375,25.375,2019-04-29 08:00:00,2019-05-24 17:00:00,Business engineer[3.00 #3],6816.0
36.0,1.1.2.3,Sponsoring,81.375,81.375,81.375,2019-04-29 08:00:00,2019-07-19 17:00:00,Marketing Expert[2.00 #2],11452.8
6.0,1.1.2.4,Research cars,25.375,25.375,25.375,2019-01-07 08:00:00,2019-02-01 17:00:00,Business engineer,2272.0
28.0,1.2,Preparation phase,445.375,445.375,445.375,2019-01-07 08:00:00,2020-03-27 17:00:00,,5385187.6
23.0,1.2.1,Software,95.375,95.375,95.375,2019-02-18 08:00:00,2019-05-24 17:00:00,,11998.4
7.0,1.2.1.1,Payment system development,39.375,39.375,39.375,2019-02-18 08:00:00,2019-03-29 17:00:00,Business engineer;Software engineer,7089.6
8.0,1.2.1.2,App development,53.375,53.375,53.375,2019-04-01 08:00:00,2019-05-24 17:00:00,Software engineer,4908.8
24.0,1.2.2,Manufacturing,417.375,417.375,417.375,2019-02-04 08:00:00,2020-03-27 17:00:00,,5060448.0
9.0,1.2.2.1,Tendering docks/bikes,81.375,81.375,81.375,2019-07-22 08:00:00,2019-10-11 17:00:00,Business engineer[2.00 #3],13632.0
10.0,1.2.2.2,Manufacturing docks/bikes,165.375,165.375,165.375,2019-10-14 08:00:00,2020-03-27 17:00:00,,5000000.0
11.0,1.2.2.3,Tendering cars,81.375,81.375,81.375,2019-02-04 08:00:00,2019-04-26 17:00:00,Business engineer,6816.0
27.0,1.2.2.4,Manufacturing cars,11.375,11.375,11.375,2019-04-29 08:00:00,2019-05-10 17:00:00,,40000.0
25.0,1.2.3,Logistics,172.375,172.375,172.375,2019-01-07 08:00:00,2019-06-28 17:00:00,,264109.2
12.0,1.2.3.1,Mainenance shop and office,165.375,165.375,165.375,2019-01-07 08:00:00,2019-06-21 17:00:00,Business engineer,263632.0
35.0,1.2.3.2,Helpdesk,4.375,4.375,4.375,2019-06-24 08:00:00,2019-06-28 17:00:00,Marketing Expert,477.2
26.0,1.2.4,Marketing,207.375,207.375,207.375,2019-09-02 08:00:00,2020-03-27 17:00:00,,48632.0
13.0,1.2.4.1,Marketing campaign 1,207.375,207.375,207.375,2019-09-02 08:00:00,2020-03-27 17:00:00,Marketing Expert[2.00 #2],48632.0
34.0,1.3,Implementation phase,408.375,408.375,408.375,2019-05-27 08:00:00,2020-07-08 17:00:00,,171625.6
29.0,1.3.1,Testing and installation,319.375,319.375,319.375,2019-05-27 08:00:00,2020-04-10 17:00:00,,7254.4
14.0,1.3.1.1,Software testing,25.375,25.375,25.375,2019-05-27 08:00:00,2019-06-21 17:00:00,Software engineer,2454.4
15.0,1.3.1.2,Installation docks,11.375,11.375,11.375,2020-03-30 08:00:00,2020-04-10 17:00:00,,4800.0
30.0,1.3.2,Soft launch,81.375,81.375,81.375,2020-04-13 08:00:00,2020-07-03 17:00:00,,114046.4
16.0,1.3.2.1,Soft launch,81.375,81.375,81.375,2020-04-13 08:00:00,2020-07-03 17:00:00,Business engineer,107616.0
17.0,1.3.2.2,Hardware adjustments,18.375,18.375,18.375,2020-05-11 08:00:00,2020-05-29 17:00:00,Business engineer,1704.0
18.0,1.3.2.3,Software adjustments,25.375,25.375,25.375,2020-05-11 08:00:00,2020-06-05 17:00:00,Business engineer;Software engineer,4726.4
31.0,1.3.3,Marketing,95.375,95.375,95.375,2020-03-30 08:00:00,2020-07-03 17:00:00,,28361.6
19.0,1.3.3.1,Marketing campaign 2,95.375,95.375,95.375,2020-03-30 08:00:00,2020-07-03 17:00:00,Marketing Expert[2.00 #2],28361.6
33.0,1.3.4,Official launch,2.375,2.375,2.375,2020-07-06 08:00:00,2020-07-08 17:00:00,,21963.2
32.0,1.3.4.1,Launching event,2.375,2.375,2.375,2020-07-06 08:00:00,2020-07-08 17:00:00,Marketing Expert[2.00 #2];Business engineer[3.00 #3];Software engineer,21963.2
