node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Hotel Reylof,351.375,347.86,354.89,2010-09-27 08:00:00,2011-09-13 17:00:00,,0
1,1.1,ALGEMENE VOORBEREIDING,18.375,18.19,18.56,2011-01-10 08:00:00,2011-01-28 17:00:00,,0
2,1.1.1,Installeren van proefkamer,18.375,14.7,22.05,2011-01-10 08:00:00,2011-01-28 17:00:00,,0
3,1.1.2,Goedkeuring proefkamers,0.0,0.0,0.0,2011-01-28 17:00:00,2011-01-28 17:00:00,,0
4,1.2,HOTEL ZIJDE HOOGSTRAAT (A1 + A2),189.375,187.48,191.27,2011-01-10 08:00:00,2011-07-18 17:00:00,,0
5,1.2.1,GEBOUW A1,151.375,149.86,152.89,2011-01-24 08:00:00,2011-06-24 17:00:00,,0
6,1.2.1.1,VOORBEREIDENDE WERKEN,65.375,64.72,66.03,2011-01-24 08:00:00,2011-03-30 17:00:00,,0
7,1.2.1.1.1,Leegmaken ruimtes,58.375,57.79,58.96,2011-01-24 08:00:00,2011-03-23 17:00:00,,0
8,1.2.1.1.1.1,Kelders,2.375,1.9,2.85,2011-01-24 08:00:00,2011-01-26 17:00:00,,0
9,1.2.1.1.1.2,Gelijkvloerse bouwlaag,2.375,1.9,2.85,2011-03-21 08:00:00,2011-03-23 17:00:00,,0
10,1.2.1.1.1.3,1e bouwlaag,4.375,3.5,5.25,2011-01-24 08:00:00,2011-01-28 17:00:00,,0
11,1.2.1.1.1.4,2e bouwlaag,4.375,3.5,5.25,2011-01-24 08:00:00,2011-01-28 17:00:00,,0
12,1.2.1.1.2,Afbraak,58.375,57.79,58.96,2011-01-31 08:00:00,2011-03-30 17:00:00,,0
13,1.2.1.1.2.1,Keldermuren,11.375,9.1,13.65,2011-01-31 08:00:00,2011-02-11 17:00:00,,0
14,1.2.1.1.2.2,Gelijkvloerse bouwlaag (lobby en sanitair),6.375,5.1,7.65,2011-03-24 08:00:00,2011-03-30 17:00:00,,0
15,1.2.1.1.2.3,2e bouwlaag,8.375,6.7,10.05,2011-02-07 08:00:00,2011-02-15 17:00:00,,0
16,1.2.1.2,INSTALLATIEWERKEN,84.375,83.53,85.22,2011-02-16 08:00:00,2011-05-11 17:00:00,,0
17,1.2.1.2.1,Structurele werken,9.375,9.28,9.47,2011-02-21 08:00:00,2011-03-02 17:00:00,,0
18,1.2.1.2.1.1,Doorgang naar gebouw A2,9.375,7.5,11.25,2011-02-21 08:00:00,2011-03-02 17:00:00,,0
19,1.2.1.2.2,Installatie lift,25.375,25.12,25.63,2011-04-04 08:00:00,2011-04-29 17:00:00,,0
20,1.2.1.2.2.1,Lift A1,25.375,20.3,30.45,2011-04-04 08:00:00,2011-04-29 17:00:00,,0
21,1.2.1.2.3,Renovatiewerken,56.375,55.81,56.94,2011-02-16 08:00:00,2011-04-13 17:00:00,,0
22,1.2.1.2.3.1,Renovatie buitenschrijnwerk (incl schilderen en vernis),44.375,43.93,44.82,2011-02-28 08:00:00,2011-04-13 17:00:00,,0
23,1.2.1.2.3.1.1,Gelijkvloerse bouwlaag,9.375,7.5,11.25,2011-02-28 08:00:00,2011-03-09 17:00:00,,0
24,1.2.1.2.3.1.2,1e bouwlaag,11.375,9.1,13.65,2011-03-10 08:00:00,2011-03-21 17:00:00,,0
25,1.2.1.2.3.1.3,Vernieuwen ramen in patio,13.375,10.7,16.05,2011-03-31 08:00:00,2011-04-13 17:00:00,,0
26,1.2.1.2.3.2,RF behandeling dakgebinte en vloer,27.375,21.9,32.85,2011-02-16 08:00:00,2011-03-15 17:00:00,,0
27,1.2.1.2.4,Technieken (ingebouwd + functioneel),37.375,37.0,37.75,2011-03-07 08:00:00,2011-04-13 17:00:00,,0
28,1.2.1.2.4.1,Electriciteit,35.375,35.02,35.73,2011-03-07 08:00:00,2011-04-11 17:00:00,,0
29,1.2.1.2.4.1.1,Gelijkvloerse bouwlaag,13.375,10.7,16.05,2011-03-24 08:00:00,2011-04-06 17:00:00,,0
30,1.2.1.2.4.1.2,1e bouwlaag,4.375,3.5,5.25,2011-03-07 08:00:00,2011-03-11 17:00:00,,0
31,1.2.1.2.4.1.3,2e bouwlaag,4.375,3.5,5.25,2011-03-14 08:00:00,2011-03-18 17:00:00,,0
32,1.2.1.2.4.1.4,Kelder,11.375,9.1,13.65,2011-03-31 08:00:00,2011-04-11 17:00:00,,0
33,1.2.1.2.4.2,"TV,Data en Intercom",23.375,23.14,23.61,2011-03-07 08:00:00,2011-03-30 17:00:00,,0
34,1.2.1.2.4.2.1,Gelijkvloerse bouwlaag,6.375,5.1,7.65,2011-03-24 08:00:00,2011-03-30 17:00:00,,0
35,1.2.1.2.4.2.2,1e bouwlaag,4.375,3.5,5.25,2011-03-07 08:00:00,2011-03-11 17:00:00,,0
36,1.2.1.2.4.2.3,2e bouwlaag,4.375,3.5,5.25,2011-03-14 08:00:00,2011-03-18 17:00:00,,0
37,1.2.1.2.4.3,HVAC,22.375,22.15,22.6,2011-03-07 08:00:00,2011-03-29 17:00:00,,0
38,1.2.1.2.4.3.1,Gelijkvloerse bouwlaag,5.375,4.3,6.45,2011-03-24 08:00:00,2011-03-29 17:00:00,,0
39,1.2.1.2.4.3.2,1e bouwlaag,3.375,2.7,4.05,2011-03-07 08:00:00,2011-03-10 17:00:00,,0
40,1.2.1.2.4.3.3,2e bouwlaag,3.375,2.7,4.05,2011-03-14 08:00:00,2011-03-17 17:00:00,,0
41,1.2.1.2.4.4,Riolering en sanitair,22.375,22.15,22.6,2011-03-07 08:00:00,2011-03-29 17:00:00,,0
42,1.2.1.2.4.4.1,Gelijkvloerse bouwlaag,5.375,4.3,6.45,2011-03-24 08:00:00,2011-03-29 17:00:00,,0
43,1.2.1.2.4.4.2,1e bouwlaag (oa vernieuwen bestaand sanitair),3.375,2.7,4.05,2011-03-07 08:00:00,2011-03-10 17:00:00,,0
44,1.2.1.2.4.4.3,2e bouwlaag,3.375,2.7,4.05,2011-03-14 08:00:00,2011-03-17 17:00:00,,0
45,1.2.1.2.4.5,Aansluitingen,14.375,14.23,14.52,2011-03-30 08:00:00,2011-04-13 17:00:00,,0
46,1.2.1.2.4.5.1,Elektriciteit,1.375,1.1,1.65,2011-04-12 08:00:00,2011-04-13 17:00:00,,0
47,1.2.1.2.4.5.2,Gas,1.375,1.1,1.65,2011-03-30 08:00:00,2011-03-31 17:00:00,,0
48,1.2.1.2.4.5.3,Data,1.375,1.1,1.65,2011-03-31 08:00:00,2011-04-01 17:00:00,,0
49,1.2.1.2.4.5.4,Riolering,1.375,1.1,1.65,2011-03-30 08:00:00,2011-03-31 17:00:00,,0
50,1.2.1.2.5,Afwerking,58.375,57.79,58.96,2011-03-14 08:00:00,2011-05-11 17:00:00,,0
51,1.2.1.2.5.1,Binnenschrijnwerk,27.375,27.1,27.65,2011-03-16 08:00:00,2011-04-12 17:00:00,,0
52,1.2.1.2.5.1.1,Gyproc wanden,27.375,27.1,27.65,2011-03-16 08:00:00,2011-04-12 17:00:00,,0
53,1.2.1.2.5.1.1.1,Valiesruimte,5.375,4.3,6.45,2011-04-07 08:00:00,2011-04-12 17:00:00,,0
54,1.2.1.2.5.1.1.2,2e bouwlaag: Kamers A1-A5,13.375,10.7,16.05,2011-03-16 08:00:00,2011-03-29 17:00:00,,0
55,1.2.1.2.5.1.2,Valse plafonds,13.375,13.24,13.51,2011-03-16 08:00:00,2011-03-29 17:00:00,,0
56,1.2.1.2.5.1.2.1,2e bouwlaag: Kamers A1-A5,13.375,10.7,16.05,2011-03-16 08:00:00,2011-03-29 17:00:00,,0
57,1.2.1.2.5.1.3,Houten trappen,6.375,6.31,6.44,2011-03-23 08:00:00,2011-03-29 17:00:00,,0
58,1.2.1.2.5.1.3.1,Kamers A1/A4,6.375,5.1,7.65,2011-03-23 08:00:00,2011-03-29 17:00:00,,0
59,1.2.1.2.5.1.4,Binnendeuren + badkamermeubel,4.375,4.33,4.42,2011-04-08 08:00:00,2011-04-12 17:00:00,,0
60,1.2.1.2.5.1.4.1,2e bouwlaag,4.375,3.5,5.25,2011-04-08 08:00:00,2011-04-12 17:00:00,,0
61,1.2.1.2.5.1.5,Gordijnkasten,6.375,6.31,6.44,2011-03-16 08:00:00,2011-03-22 17:00:00,,0
62,1.2.1.2.5.1.5.1,Kamers A1-A5,6.375,5.1,7.65,2011-03-16 08:00:00,2011-03-22 17:00:00,,0
63,1.2.1.2.5.1.6,Venstertabletten,6.375,6.31,6.44,2011-03-16 08:00:00,2011-03-22 17:00:00,,0
