node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Telecom System Agnes,58.375,57.79,58.96,2011-05-18 08:00:00,2011-07-15 17:00:00,,180485.270056152
1,1.1,order license,2.375,1.9,2.85,2011-05-18 08:00:00,2011-05-20 17:00:00,project leader,2400.0
2,1.2,final order,0.375,0.3,0.45,2011-05-23 08:00:00,2011-05-23 17:00:00,project leader,800.0
3,1.3,ordering equipment,0.375,0.3,0.45,2011-05-24 08:00:00,2011-05-24 17:00:00,procurement manager,440.0
4,1.4,discussion list,3.0,2.4,3.6,2011-06-10 10:00:00,2011-06-13 10:00:00,project leader,800.0
5,1.5,final discussion list,3.0,2.4,3.6,2011-06-24 10:00:00,2011-06-27 10:00:00,project leader,800.0
6,1.6,key technical area,0.0416666666666667,0.03,0.05,2011-05-24 09:00:00,2011-05-24 10:00:00,,1.0
7,1.7,technische ruimte klaar and DECT meting,0.208333333333333,0.17,0.25,2011-05-24 10:00:00,2011-05-24 15:00:00,technician[2.00 #3],9885.6396484375
8,1.8,"installing 19"" cabinets",0.375,0.3,0.45,2011-05-25 08:00:00,2011-05-25 17:00:00,technician[3.00 #3],8826.60009765625
9,1.9,delivering and installing glassfiber,25.375,20.3,30.45,2011-05-26 08:00:00,2011-06-20 17:00:00,technician[3.00 #3],20750.049987793
10,1.1,putting 69 UTP cables in resident rooms,9.375,7.5,11.25,2011-05-31 08:00:00,2011-06-09 17:00:00,subcontracted technicians[3.00 #9],11012.4
11,1.11,putting UTP cables with DECT and MIVA toilet,6.95833333333333,5.57,8.35,2011-06-01 13:00:00,2011-06-08 12:00:00,subcontracted technicians[3.00 #9],6660.0
12,1.12,delivering and installing I55 PABX,6.375,5.1,7.65,2011-06-21 08:00:00,2011-06-27 17:00:00,steeplejack;technician[3.00 #3],14027.2802734375
13,1.13,programming telephone exchange (PABX),6.375,5.1,7.65,2011-06-28 08:00:00,2011-07-04 17:00:00,programmer,4550.0
14,1.14,"delivering and installing NOVAbox, IMS, alarmconverter",6.375,5.1,7.65,2011-06-10 08:00:00,2011-06-16 17:00:00,subcontracted technicians[3.00 #9],15825.0
15,1.15,assemble nurse call units 69 pieces,20.375,16.3,24.45,2011-06-17 08:00:00,2011-07-07 17:00:00,subcontracted technicians[3.00 #9],42642.0
16,1.16,assembly and installation other components  regarding nurse call units,20.375,16.3,24.45,2011-06-17 08:00:00,2011-07-07 17:00:00,subcontracted technicians[3.00 #9],29760.0
17,1.17,installing control location OSPC,3.375,2.7,4.05,2011-07-08 08:00:00,2011-07-11 17:00:00,programmer;technician[3.00 #3],5881.30004882813
18,1.18,testing control location OSPC,0.375,0.3,0.45,2011-07-12 08:00:00,2011-07-12 17:00:00,programmer;technician,1008.0
19,1.19,nurses training 2 days,1.375,1.1,1.65,2011-07-13 08:00:00,2011-07-14 17:00:00,programmer,1280.0
20,1.2,prepare delivery,1.375,1.1,1.65,2011-07-13 08:00:00,2011-07-14 17:00:00,project leader;technician,2336.0
21,1.21,final delivery,0.375,0.3,0.45,2011-07-15 08:00:00,2011-07-15 17:00:00,project leader,800.0
