node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Claeys-Verhelst Premises,618.083333333333,611.9,624.26,2006-04-17 08:00:00,2007-12-26 10:00:00,,3027133.18605225
46,1.1,preparation,235.375,233.02,237.73,2006-04-17 08:00:00,2006-12-08 17:00:00,,253804.570083008
2,1.1.1,building permit,81.375,67.54,137.52,2006-04-17 08:00:00,2006-07-07 17:00:00,,75.0
3,1.1.2,hire contractor,25.375,20.05,51.51,2006-07-10 08:00:00,2006-08-04 17:00:00,,210000.0
4,1.1.3,temporary offices,25.375,20.3,30.45,2006-04-17 08:00:00,2006-05-12 17:00:00,,3765.31005859375
5,1.1.4,temporary facilities,81.375,65.1,97.65,2006-04-17 08:00:00,2006-07-07 17:00:00,,1876.5400390625
16,1.1.5,preparation contractor,81.375,80.56,82.19,2006-08-07 08:00:00,2006-10-27 17:00:00,,0.00999999977648258
6,1.1.6,demolition,39.375,35.83,49.22,2006-10-30 08:00:00,2006-12-08 17:00:00,team VDW[4.00 #8],38087.7099853516
47,1.2,foundation,52.375,51.85,52.9,2006-12-11 08:00:00,2007-02-01 17:00:00,,401436.374042969
17,1.2.1,excavation,17.375,13.9,20.85,2006-12-11 08:00:00,2006-12-28 17:00:00,team VDW,30318.72
69,1.2.2,soil analyses,1.375,1.1,1.65,2006-12-11 08:00:00,2006-12-12 17:00:00,team VDW,2616.96
18,1.2.3,foundation beam,34.375,27.16,62.22,2006-12-29 08:00:00,2007-02-01 17:00:00,team VDW[3.00 #8],121659.7265625
21,1.2.4,placing sewerage,13.375,10.43,16.32,2006-12-29 08:00:00,2007-01-11 17:00:00,team VDW[3.00 #8],10479.1299804688
23,1.2.5,foundation plate,0.375,0.28,0.47,2007-01-12 08:00:00,2007-01-12 17:00:00,team VDW[5.00 #8],236361.8375
48,1.3,shell,83.375,82.54,84.21,2007-02-02 08:00:00,2007-04-26 17:00:00,,542212.453125
