node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
6,1.2.1.1.1,"OFICINA, ALMACEN Y CASETA D/GUARDIANIA",1.0,0.5,1.5,2021-05-13 00:00:00,nan,mason,
7,1.2.1.1.2,CARTEL DE IDENTIFICACION DE OBRA 3.60mX2.40m,1.0,0.5,1.5,2021-05-14 00:00:00,nan,mason,
8,1.2.1.1.3,CERCO PROVISIONAL MALLA ARPILLERA,3.0,1.98,4.02,2021-05-15 00:00:00,nan,team subcontractor[2.00 #8],
9,1.2.1.1.4,AGUA PARA LA CONSTRUSSION,1.0,0.25,1.5,2021-05-15 00:00:00,nan,mason,
10,1.2.1.1.5,ENERGIA ELECTRICA PARA LA CONSTRUSSION,1.0,0.5,1.5,2021-05-15 00:00:00,nan,team subcontractor,
12,1.2.1.2.1,TRANSPORTE DE EQUIPO Y MAQUINARIA,1.0,0.5,1.5,2021-05-18 00:00:00,nan,plasterer,
13,1.2.1.2.2,"TRAZO, NIVELACION Y REPLANTEO",3.0,0.99,4.92,2021-05-19 00:00:00,nan,team subcontractor[2.00 #8],
14,1.2.1.2.3,ELABORACION DEL PLAN DE SEGURIDAD Y SALUD EN EL TRABAJO,1.0,0.5,1.5,2021-05-22 00:00:00,nan,electrician,
15,1.2.1.2.4,SERVICIOS HIGIENICOS PARA LA OBRA-BAÑOS QUIMICOS,5.0,2.0,8.0,2021-05-13 00:00:00,nan,electrician,
17,1.2.1.3.1,IMPLEMENTOS DE SEGURIDAD INDIVIDUAL,1.0,0.5,1.5,2021-05-22 00:00:00,nan,team subcontractor[2.00 #8],
18,1.2.1.3.2,EQUIPOS DE PROTESSION COLECTIVA,1.0,0.5,1.5,2021-05-22 00:00:00,nan,electrician,
19,1.2.1.3.3,SEÑALIZACION TEMPORAL DE SEGURIDAD,1.0,0.5,1.5,2021-05-24 00:00:00,nan,team subcontractor[3.00 #8],
22,1.2.1.4.1.1,LAVADERO DE MANOS PORTATIL,2.0,1.0,3.0,2021-05-13 00:00:00,nan,mason,
23,1.2.1.4.1.2,"TOPICO, COMEDOR Y 1 DUCHA DE LIMPIEZA DE VESTUARIO",1.0,0.5,1.5,2021-05-13 00:00:00,nan,carpenter,
25,1.2.1.4.2.1,"ELABORACION PLAN DE VIGILANCIA, PREVENCION Y CONTROL COVID-19 EN EL TRABAJO",1.0,0.5,1.5,2021-05-24 00:00:00,nan,electrician,
26,1.2.1.4.2.2,EQUIPOS COMPLEMENTARIOS DE PROTESSION INDIVIDUAL - COVID 19,1.0,0.5,1.5,2021-05-15 00:00:00,nan,mason,
27,1.2.1.4.2.3,EQUIPOS COMPLEMENTARIOS DE PROTESSION COLECTIVA - COVID 19,1.0,0.5,1.5,2021-05-15 00:00:00,nan,carpenter,
28,1.2.1.4.2.4,LIMPIEZA PERMANENTE Y DESINFESSIÓN,1.0,0.5,1.5,2021-05-13 00:00:00,nan,mason,
29,1.2.1.4.2.5,SERVICIOS COMPLEMENTARIOS EXAMEN PRUEBA COVID-19,1.0,0.5,1.5,2021-05-17 00:00:00,nan,electrician,
30,1.2.1.4.2.6,MANEJO DE RESIDUOS SOLIDOS BIO CONTAMINANTES FRENTE A COVID-19,1.0,0.5,1.5,2021-05-18 00:00:00,nan,carpenter,
32,1.2.1.5.1,ELABORACION DE PLAN DE MITIGACION DE IMPACTO AMBIENTAL,1.0,0.5,1.5,2021-05-24 00:00:00,nan,mason,
35,1.2.2.1.1,EXCAVACION DE ZANJAS Y PEDESTAL,1.0,0.5,1.5,2021-05-27 00:00:00,nan,carpenter,
36,1.2.2.1.2,COMPACTACION DE TERRENO PARA PISOS,1.0,0.5,1.5,2021-06-01 00:00:00,nan,painter,
37,1.2.2.1.3,DEMOLICION DE CONCRETO EN PISOS Y COLUMNAS,1.0,0.5,1.5,2021-05-25 00:00:00,nan,plasterer,
38,1.2.2.1.4,DEMOLICION DE CONCRETO EN RAMPAS,1.0,0.5,2.0,2021-05-26 00:00:00,nan,mason,
39,1.2.2.1.5,ELIMINACION MATERIAL EXCEDENTE,1.0,0.5,2.0,2021-06-09 00:00:00,nan,electrician,
42,1.2.2.2.1.1,SARDINEL DE CONCRETO f'c=175 kg/cm2 H=0.25m,1.0,0.5,1.5,2021-05-27 00:00:00,nan,mason,
43,1.2.2.2.1.2,ENCOFRADO Y DESENCOFRADO DE SARDINEL,1.0,0.5,1.5,2021-05-27 00:00:00,nan,mason,
44,1.2.2.2.1.3,SOLAQUEADO DE SARDINEL DE CONCRETO,2.0,1.0,3.0,2021-05-28 00:00:00,nan,electrician,
