node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Veterinary Exposition,439.375,434.98,443.77,2010-11-17 08:00:00,2012-01-30 17:00:00,,54350
1,1.1,Planning phase,175.375,173.62,177.13,2010-11-17 08:00:00,2011-05-11 17:00:00,,3000
2,1.1.1,Start-up meeting,0.375,0.37,0.38,2010-11-17 08:00:00,2010-11-17 17:00:00,Previous Exposition Commission,0
3,1.1.2,Appointing a new Main Officer,0.375,0.28,0.47,2011-02-25 08:00:00,2011-02-25 17:00:00,Core Staff,0
4,1.1.3,Composition of a new Exposition Commission,18.375,14.7,22.05,2011-02-28 08:00:00,2011-03-18 17:00:00,Previous Exposition Commission;Main Officer,0
5,1.1.4,Meeting with Partner,0.375,0.3,0.45,2011-04-12 08:00:00,2011-04-12 17:00:00,Conference Supervisor,0
6,1.1.5,Meeting with Exhibition Company,0.375,0.3,0.45,2011-04-14 08:00:00,2011-04-14 17:00:00,Exhibition Company;Main Officer,0
7,1.1.6,Meeting with the Layout Man,0.375,0.3,0.45,2011-04-19 08:00:00,2011-04-19 17:00:00,Main Officer;Catering Supervisor,3000
8,1.1.7,Meeting with the Event Caterer,0.375,0.3,0.45,2011-04-21 08:00:00,2011-04-21 17:00:00,Catering Supervisor,0
9,1.1.8,Meeting with the Webmaster,0.375,0.3,0.45,2011-04-25 08:00:00,2011-04-25 17:00:00,Finance Manager,0
10,1.1.9,Meeting with the Exposition Commission: division of tasks,0.375,0.37,0.38,2011-05-11 08:00:00,2011-05-11 17:00:00,Main Officer;Bar Supervisor;Public Relations;Catering Supervisor;Catalogue Supervisor;Finance Manager;Conference Supervisor,0
11,1.1.10,Planning phase complete,0.0,0.0,0.0,2011-05-11 17:00:00,2011-05-11 17:00:00,,0
12,1.2,Registration brochure phase,80.375,79.57,81.18,2010-12-06 08:00:00,2011-02-24 17:00:00,,0
13,1.2.1,Finding a translator among staff,11.375,9.1,13.65,2010-12-06 08:00:00,2010-12-17 17:00:00,Previous Exposition Commission,0
14,1.2.2,Preparing the registration brochure,4.375,3.5,5.25,2010-12-27 08:00:00,2010-12-31 17:00:00,Previous Exposition Commission,0
15,1.2.3,Translating the registration brochure,3.375,2.7,4.05,2011-01-03 08:00:00,2011-01-06 17:00:00,Translator,0
