node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Patient Transport System,544.375,538.93,549.82,2010-01-01 08:00:00,2011-06-29 17:00:00,,180759.44
50,1.1,Description of staff's needs & Set-up,60.375,59.77,60.98,2010-01-01 08:00:00,2010-03-02 17:00:00,,5512.64
1,1.1.1,Compose survey for the staff,0.166666666666667,0.13,0.2,2010-01-01 08:00:00,2010-01-01 12:00:00,Project Coordinator,125.12
2,1.1.2,Brainstorming and filling in the survey,0.0833333333333333,0.08,0.17,2010-01-11 13:00:00,2010-01-11 15:00:00,Headnurses[65.00 #65];Stretcher-bearer/logisticians[24.00 #24],5137.28
3,1.1.3,Collecting and analyzing the surveys,0.375,0.3,0.45,2010-03-02 08:00:00,2010-03-02 17:00:00,Project Coordinator,250.24
51,1.2,Meeting ICT Committee,0.375,0.37,0.38,2010-03-03 08:00:00,2010-03-03 17:00:00,,2478.88
4,1.2.1,"Get-together PC, ICT committee & board",0.166666666666667,0.13,0.2,2010-03-03 08:00:00,2010-03-03 12:00:00,Project Coordinator;ICT committee[5.00 #5];Board of directors[7.00 #7],2416.32
5,1.2.2,Enrollment of the meeting,0.0833333333333333,0.07,0.1,2010-03-03 15:00:00,2010-03-03 17:00:00,Project Coordinator,62.56
52,1.3,Set-up format specifications,43.375,42.94,43.81,2010-03-04 08:00:00,2010-04-16 17:00:00,,2193.6
6,1.3.1,Registering the technical requirements,1.375,1.1,1.65,2010-03-04 08:00:00,2010-03-05 17:00:00,Project Coordinator;ICT committee,942.4
7,1.3.2,Set-up a detailed budget study,1.375,1.1,1.65,2010-03-22 08:00:00,2010-03-23 17:00:00,Project Coordinator,500.48
8,1.3.3,Putting together the formal document,2.375,1.9,2.85,2010-04-14 08:00:00,2010-04-16 17:00:00,Project Coordinator,750.72
53,1.4,Request proposal suppliers transport system,29.375,29.08,29.67,2010-04-19 08:00:00,2010-05-18 17:00:00,,3225.6
9,1.4.1,Research suppliers transport systems,2.375,1.9,2.85,2010-04-19 08:00:00,2010-04-21 17:00:00,Project Coordinator,750.72
10,1.4.2,Meeting with board for final proposal,0.166666666666667,0.13,0.2,2010-04-30 13:00:00,2010-04-30 17:00:00,Project Coordinator;Board of directors[7.00 #7];ICT committee,1974.4
11,1.4.3,Contacting suppliers and sending proposal,1.375,1.1,1.65,2010-05-17 08:00:00,2010-05-18 17:00:00,Project Coordinator,500.48
54,1.5,Decision supplier,99.375,98.38,100.37,2010-06-09 08:00:00,2010-09-16 17:00:00,,6334.08
12,1.5.1,Analyzing the received offers,2.375,1.9,2.85,2010-06-09 08:00:00,2010-06-11 17:00:00,Project Coordinator,750.72
13,1.5.2,Presentation to board & ICT staff,0.375,0.3,0.45,2010-07-12 08:00:00,2010-07-12 17:00:00,Project Coordinator;Board of directors[7.00 #7];ICT committee[5.00 #5],4832.64
14,1.5.3,Collecting and registering comments on offers,0.375,0.3,0.45,2010-08-03 08:00:00,2010-08-03 17:00:00,Project Coordinator,250.24
15,1.5.4,Taking final decision and contacting supplier,1.375,1.1,1.65,2010-09-15 08:00:00,2010-09-16 17:00:00,Project Coordinator,500.48
55,1.6,Negociation conditions final supplier transport system,103.375,102.34,104.41,2010-09-17 08:00:00,2010-12-29 17:00:00,,3115.12
16,1.6.1,Discussing project development with supplier,4.375,3.5,5.25,2010-09-17 08:00:00,2010-09-21 17:00:00,Project Coordinator,750.72
17,1.6.2,Discussing project development with board,0.166666666666667,0.13,0.2,2010-11-15 13:00:00,2010-11-15 17:00:00,Project Coordinator;Board of directors[7.00 #7],1863.92
18,1.6.3,Final agreement with supplier,1.375,1.1,1.65,2010-12-28 08:00:00,2010-12-29 17:00:00,Project Coordinator,500.48
56,1.7,Draw up & Sign contract with supplier transport system,0.166666666666667,0.17,0.17,2010-12-30 08:00:00,2010-12-30 12:00:00,,55373.52
19,1.7.1,Signing contract,0.166666666666667,0.13,0.2,2010-12-30 08:00:00,2010-12-30 12:00:00,Project Coordinator;Board of directors,55373.52
57,1.8,Request proposal supplier DACS,15.375,15.22,15.53,2010-04-26 08:00:00,2010-05-11 17:00:00,,3460.8
20,1.8.1,Meeting with ICT committee,1.375,1.1,1.65,2010-04-26 08:00:00,2010-04-27 17:00:00,Project Coordinator;ICT committee[5.00 #5],2710.08
21,1.8.2,Contacting Siemens and sending proposal,4.375,3.5,5.25,2010-05-07 08:00:00,2010-05-11 17:00:00,Project Coordinator,750.72
58,1.9,Negociation conditions DACS,19.1666666666667,18.98,19.36,2010-05-26 08:00:00,2010-06-14 12:00:00,,2235.08
22,1.9.1,Discussing project development with supplier,1.375,1.1,1.65,2010-05-26 08:00:00,2010-05-27 17:00:00,Project Coordinator,500.48
23,1.9.2,Discussing progress with board,0.0833333333333333,0.07,0.1,2010-06-04 08:00:00,2010-06-04 10:00:00,Project Coordinator;Board of directors[7.00 #7],931.96
24,1.9.3,Discussing progress with ICT committee,0.208333333333333,0.17,0.25,2010-06-08 10:00:00,2010-06-08 15:00:00,Project Coordinator;ICT committee[5.00 #5],677.52
25,1.9.4,Final agreement with supplier,0.166666666666667,0.13,0.2,2010-06-14 08:00:00,2010-06-14 12:00:00,Project Coordinator,125.12
59,1.10,Draw up & Sign contract with supplier DACS,0.166666666666667,0.17,0.17,2010-06-14 13:00:00,2010-06-14 17:00:00,,18493.52
26,1.10.1,Signing contract,0.166666666666667,0.13,0.2,2010-06-14 13:00:00,2010-06-14 17:00:00,Project Coordinator;Board of directors,18493.52
60,1.11,Kick-off Meeting,0.375,0.37,0.38,2011-01-06 08:00:00,2011-01-06 17:00:00,,6408.0
27,1.11.1,Information session,0.0833333333333333,0.07,0.1,2011-01-06 08:00:00,2011-01-06 10:00:00,Project Coordinator;Board of directors[7.00 #7];ICT committee[5.00 #5],1208.16
28,1.11.2,Explanation project implementation to staff,0.0833333333333333,0.07,0.1,2011-01-06 15:00:00,2011-01-06 17:00:00,Project Coordinator;Stretcher-bearer/logisticians[24.00 #24];Headnurses[65.00 #65],5199.84
61,1.12,Installation,7.375,7.3,7.45,2011-01-07 08:00:00,2011-01-14 17:00:00,,5303.04
29,1.12.1,Installation transport system,7.375,5.9,8.85,2011-01-07 08:00:00,2011-01-14 17:00:00,ICT committee[2.00 #5],2651.52
30,1.12.2,Installation DACS,7.375,5.9,8.85,2011-01-07 08:00:00,2011-01-14 17:00:00,ICT committee[2.00 #5],2651.52
62,1.13,Training PC,162.375,160.75,164.0,2011-01-10 08:00:00,2011-06-21 17:00:00,,3250.72
31,1.13.1,Training coordinator,0.375,0.3,0.45,2011-01-10 08:00:00,2011-01-10 17:00:00,Project Coordinator,1250.24
32,1.13.2,Train de trainer,0.375,0.3,0.45,2011-01-11 08:00:00,2011-01-11 17:00:00,Project Coordinator,1250.24
33,1.13.3,Training rapportage,0.375,0.3,0.45,2011-06-21 08:00:00,2011-06-21 17:00:00,Project Coordinator,750.24
63,1.14,Creation code list,38.375,37.99,38.76,2011-01-07 08:00:00,2011-02-14 17:00:00,,5476.16
34,1.14.1,Surveying the required functionalities,0.375,0.3,0.45,2011-01-07 08:00:00,2011-01-07 17:00:00,Project Coordinator;Stretcher-bearer/logisticians[24.00 #24],4533.76
35,1.14.2,Creating codes,3.375,2.7,4.05,2011-02-11 08:00:00,2011-02-14 17:00:00,Project Coordinator;ICT committee,942.4
64,1.15,Fill the database,36.375,36.01,36.74,2011-01-17 08:00:00,2011-02-22 17:00:00,,2502.4
36,1.15.1,Registration data about employees,3.375,2.7,4.05,2011-01-17 08:00:00,2011-01-20 17:00:00,Project Coordinator,1000.96
37,1.15.2,Registration hospital data,7.375,5.9,8.85,2011-02-15 08:00:00,2011-02-22 17:00:00,Project Coordinator,1501.44
65,1.16,Training staff,15.375,15.22,15.53,2011-02-24 08:00:00,2011-03-11 17:00:00,,44101.12
38,1.16.1,Training team 1,1.375,1.1,1.65,2011-02-24 08:00:00,2011-02-25 17:00:00,Project Coordinator;Stretcher-bearer/logisticians[12.00 #24],4784.0
39,1.16.2,Training team 2,1.375,1.1,1.65,2011-02-28 08:00:00,2011-03-01 17:00:00,Project Coordinator;Stretcher-bearer/logisticians[12.00 #24],4784.0
40,1.16.3,Training team 3,1.375,1.1,1.65,2011-03-02 08:00:00,2011-03-03 17:00:00,Project Coordinator;Headnurses[17.00 #65],9008.64
41,1.16.4,Training team 4,3.375,2.7,4.05,2011-03-04 08:00:00,2011-03-07 17:00:00,Project Coordinator;Headnurses[16.00 #65],8508.16
42,1.16.5,Training team 5,1.375,1.1,1.65,2011-03-08 08:00:00,2011-03-09 17:00:00,Project Coordinator;Headnurses[16.00 #65],8508.16
43,1.16.6,Training team 6,1.375,1.1,1.65,2011-03-10 08:00:00,2011-03-11 17:00:00,Project Coordinator;Headnurses[16.00 #65],8508.16
66,1.17,Final check program,15.375,15.22,15.53,2011-02-23 08:00:00,2011-03-10 17:00:00,,1355.04
44,1.17.1,Check-up by PC,0.375,0.3,0.45,2011-02-23 08:00:00,2011-02-23 17:00:00,Project Coordinator,250.24
45,1.17.2,Check-up by ICT committee,0.375,0.3,0.45,2011-03-10 08:00:00,2011-03-10 17:00:00,ICT committee[5.00 #5],1104.8
67,1.18,Live,98.375,97.39,99.36,2011-03-14 08:00:00,2011-06-20 17:00:00,,500.0
46,1.18.1,Live pilot period,98.375,78.7,118.05,2011-03-14 08:00:00,2011-06-20 17:00:00,,500.0
68,1.19,Evaluation,7.375,7.3,7.45,2011-06-22 08:00:00,2011-06-29 17:00:00,,9440.12
47,1.19.1,Discussing project with board,0.0833333333333333,0.07,0.1,2011-06-22 08:00:00,2011-06-22 10:00:00,Project Coordinator;Board of directors[7.00 #7],931.96
