node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Fire Station,454.083333333333,449.54,458.62,2010-06-01 08:00:00,2011-08-29 10:00:00,,1874496.82253265
1,1.1,Opruiming beplanting + massieven (OA),0.375,0.3,0.45,2010-06-01 08:00:00,2010-06-01 17:00:00,,204.050003051758
2,1.2,Afgraven teelaarde + bergen  (OA),5.0,4.0,6.0,2010-06-02 10:00:00,2010-06-07 10:00:00,,2019.06005859375
3,1.3,Aanleg werfpiste +  werkvloer voor paalfundering (OA),3.0,2.4,3.6,2010-06-07 10:00:00,2010-06-10 10:00:00,,14045.0
4,1.4,Inplanting van de hoofdassen (OA),4.0,3.2,4.8,2010-06-10 10:00:00,2010-06-14 10:00:00,,2650.0
5,1.5,Plaatsen werfinrichting,0.25,0.2,0.3,2010-06-14 10:00:00,2010-06-14 16:00:00,,123179.400016785
6,1.6,Funderingspalen + palen torenkraan (OA),9.95833333333333,7.97,11.95,2010-06-15 13:00:00,2010-06-25 12:00:00,,95929.3671875
7,1.7,Uitgraven funderingsplaat torenkraan,0.0416666666666667,0.03,0.05,2010-06-25 13:00:00,2010-06-25 14:00:00,,35.5200004577637
8,1.8,Afschieten paalkoppen torenkraan,0.0833333333333333,0.07,0.1,2010-06-25 13:00:00,2010-06-25 15:00:00,,60.0400009155274
9,1.9,Plaatsen bekisting funderingsplaat torenkraan,0.0416666666666667,0.03,0.05,2010-06-25 13:00:00,2010-06-25 14:00:00,,139.910003662109
10,1.1,Plaatsen wapening funderingsplaat torenkraan,0.0416666666666667,0.03,0.05,2010-06-25 13:00:00,2010-06-25 14:00:00,,223.160003662109
11,1.11,Storten funderingsplaat torenkraan,0.0416666666666667,0.03,0.05,2010-06-25 13:00:00,2010-06-25 14:00:00,,239.970001220703
12,1.12,Plaatsen torenkraan (OA),1.0,0.8,1.2,2010-06-28 15:00:00,2010-06-29 15:00:00,,6678.0
13,1.13,Uitgraven paalkoppen en funderingsbalken + bergen grond,40.9583333333333,32.77,49.15,2010-06-25 13:00:00,2010-08-05 12:00:00,,5300.46002197266
14,1.14,Afschieten paalkoppen + afvoeren grond,11.9583333333333,9.57,14.35,2010-08-05 13:00:00,2010-08-17 12:00:00,,16810.9597167969
15,1.15,Plaatsen aardingslus,0.125,0.1,0.15,2010-08-17 13:00:00,2010-08-17 16:00:00,,460.459995269775
16,1.16,Uitgraven riolering onderbouw,3.95833333333333,3.17,4.75,2010-08-05 13:00:00,2010-08-09 12:00:00,,1120.0
