node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Residential House Finishing Works (2),119.375,118.18,120.57,2016-03-11 08:00:00,2016-07-08 17:00:00,,54703.1697998047
27,1.1,Start uitv afwerking,41.375,40.96,41.79,2016-03-11 08:00:00,2016-04-21 17:00:00,,9153.98999023438
1,1.1.1,F1 ventilatie,6.375,5.1,7.65,2016-03-11 08:00:00,2016-03-17 17:00:00,,772.5
2,1.1.2,F1 san/cv,6.375,5.1,7.65,2016-03-18 08:00:00,2016-03-24 17:00:00,,1288.55004882813
3,1.1.3,F1 elektr,6.375,5.1,7.65,2016-03-25 08:00:00,2016-03-31 17:00:00,,858.97998046875
4,1.1.4,Aansluiting water,6.375,5.1,7.65,2016-04-01 08:00:00,2016-04-07 17:00:00,,960.0
5,1.1.5,Dakisolatie,13.375,10.7,16.05,2016-04-01 08:00:00,2016-04-14 17:00:00,,2636.97998046875
6,1.1.6,F1 pleister,6.375,5.1,7.65,2016-04-15 08:00:00,2016-04-21 17:00:00,,2636.97998046875
28,1.2,Fase 2,28.375,28.09,28.66,2016-04-22 08:00:00,2016-05-20 17:00:00,,13151.0599365235
7,1.2.1,Opm keuken,6.375,5.1,7.65,2016-04-22 08:00:00,2016-04-28 17:00:00,,2231.25
25,1.2.2,F2 san/cv,6.375,5.1,7.65,2016-04-22 08:00:00,2016-04-28 17:00:00,,1932.82995605469
8,1.2.3,F2 ventilatie,6.375,5.1,7.65,2016-04-29 08:00:00,2016-05-05 17:00:00,,1158.75
9,1.2.4,Vloerisolatie,6.375,5.1,7.65,2016-04-29 08:00:00,2016-05-05 17:00:00,,3204.76000976563
10,1.2.5,Chape,6.375,5.1,7.65,2016-05-06 08:00:00,2016-05-12 17:00:00,,1959.92004394531
11,1.2.6,Opm Binnenschr,6.375,5.1,7.65,2016-05-13 08:00:00,2016-05-19 17:00:00,,1056.32995605469
12,1.2.7,F2 elektr,6.375,5.1,7.65,2016-05-13 08:00:00,2016-05-19 17:00:00,,1288.46997070313
13,1.2.8,openen E/G/W,0.375,0.3,0.45,2016-05-20 08:00:00,2016-05-20 17:00:00,,318.75
29,1.3,Fase 3,32.375,32.05,32.7,2016-05-23 08:00:00,2016-06-24 17:00:00,,13019.4899902344
14,1.3.1,F3 san/cv,4.375,3.5,5.25,2016-05-23 08:00:00,2016-05-27 17:00:00,,3221.3798828125
15,1.3.2,Vloerwerken,4.375,3.5,5.25,2016-05-30 08:00:00,2016-06-03 17:00:00,,2136.51000976563
16,1.3.3,Trappen,4.375,3.5,5.25,2016-06-06 08:00:00,2016-06-10 17:00:00,,2252.11010742188
17,1.3.4,Binnenschrijnwerk,4.375,3.5,5.25,2016-06-13 08:00:00,2016-06-17 17:00:00,,1584.48999023438
18,1.3.5,Keuken,4.375,3.5,5.25,2016-06-20 08:00:00,2016-06-24 17:00:00,,3825.0
30,1.4,Finale Afwerking,11.375,11.26,11.49,2016-06-27 08:00:00,2016-07-08 17:00:00,,19378.6298828125
19,1.4.1,Afw ventilatie,4.375,3.5,5.25,2016-06-27 08:00:00,2016-07-01 17:00:00,,1931.25
20,1.4.2,Afw elektr,4.375,3.5,5.25,2016-06-27 08:00:00,2016-07-01 17:00:00,,2147.44995117188
21,1.4.3,Afw san/cv,4.375,3.5,5.25,2016-07-04 08:00:00,2016-07-08 17:00:00,,6442.75
26,1.4.4,Afw vloer,4.375,3.5,5.25,2016-07-04 08:00:00,2016-07-08 17:00:00,,5341.27001953125
24,1.4.5,Afw pleister,4.375,3.5,5.25,2016-07-04 08:00:00,2016-07-08 17:00:00,,3515.90991210938
