node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
3,1.1.1,Movilización de Equipos y herramientas,7.0,5.6,8.4,2022-07-03 00:00:00,nan,mason,
4,1.1.2,"Trazo, Replanteo y Ubicación de Estructuras",10.0,8.0,12.0,2022-07-15 00:00:00,nan,carpenter,
5,1.1.3,"Obras Preliminares, Obtención del CIRA y Aprobacion del DIA",25.0,24.75,25.25,2022-07-03 00:00:00,nan,team subcontractor[2.00 #7],
8,1.1.4.1.1,"Postes, crucetas, mensulas, medias lozas y aSSesorios de concreto",30.0,24.0,36.0,2022-07-29 00:00:00,nan,mason,
9,1.1.4.1.2,"Conductores, cables y aSSesorios",15.0,14.85,15.15,2022-07-29 00:00:00,nan,team subcontractor,
10,1.1.4.1.3,"Transformadores, tableros y sistema de proteSSion",30.0,29.7,30.3,2022-07-29 00:00:00,nan,carpenter,
11,1.1.4.1.4,Ferreterias y aSSesorios,15.0,14.85,15.15,2022-07-29 00:00:00,nan,plasterer,
12,1.1.4.1.5,Retenidas,15.0,14.85,15.15,2022-07-29 00:00:00,nan,team subcontractor[2.00 #7],
13,1.1.4.1.6,Puestas a tierra,15.0,14.85,15.15,2022-07-29 00:00:00,nan,electrician,
15,1.1.4.2.1,Instalación de Postes,20.0,19.8,20.2,2022-08-20 00:00:00,nan,team subcontractor[2.00 #7],
16,1.1.4.2.2,Instalación de Retenidas,15.0,14.85,15.15,2022-08-13 00:00:00,nan,team subcontractor[2.00 #7],
17,1.1.4.2.3,Montaje de Armados,15.0,14.85,15.15,2022-08-13 00:00:00,nan,electrician,
18,1.1.4.2.4,Montaje de Conductores,15.0,14.85,15.15,2022-08-13 00:00:00,nan,team subcontractor[3.00 #7],
19,1.1.4.2.5,Instalación de Transformadores y Tableros,15.0,14.85,15.15,2022-09-09 00:00:00,nan,electrician,
20,1.1.4.2.6,Instalación de Puesta a Tierra,15.0,14.85,15.15,2022-08-13 00:00:00,nan,team subcontractor[3.00 #7],
21,1.1.4.2.7,Pruebas y Puesta en Servicio,12.0,11.88,12.12,2022-09-30 00:00:00,nan,mason,
24,1.1.5.1.1,Postes Concreto Armado Centrifugado,20.0,19.8,20.2,2022-07-29 00:00:00,nan,electrician,
25,1.1.5.1.2,Conductores,15.0,14.85,15.15,2022-07-29 00:00:00,nan,mason,
26,1.1.5.1.3,Ferretería de Estructuras y ASSesorios de Cables Autoportantes,15.0,14.85,15.15,2022-07-29 00:00:00,nan,carpenter,
27,1.1.5.1.4,Conexión de Caja de Derivación,10.0,9.9,10.1,2022-07-29 00:00:00,nan,mason,
28,1.1.5.1.5,Retenidas,15.0,14.85,15.15,2022-07-29 00:00:00,nan,electrician,
29,1.1.5.1.6,Puesta a Tierra,15.0,14.85,15.15,2022-07-29 00:00:00,nan,carpenter,
30,1.1.5.1.7,Equipos de Alumbrado Público,15.0,14.85,15.15,2022-07-29 00:00:00,nan,mason,
31,1.1.5.1.8,Conexiones Domiciliarias,15.0,14.85,15.15,2022-07-29 00:00:00,nan,mason,
33,1.1.5.2.1,Instalación de Postes,20.0,19.8,20.2,2022-08-26 00:00:00,nan,mason,
34,1.1.5.2.2,Instalación de Retenidas,15.0,14.85,15.15,2022-08-19 00:00:00,nan,carpenter,
35,1.1.5.2.3,Montaje de Armados,20.0,19.8,20.2,2022-08-19 00:00:00,nan,painter,
36,1.1.5.2.4,Montaje de Conductores,15.0,14.85,15.15,2022-08-19 00:00:00,nan,plasterer,
37,1.1.5.2.5,Instalación de Puesta a Tierra,15.0,12.0,18.0,2022-08-19 00:00:00,nan,mason,
38,1.1.5.2.6,Instalación de Equipos de Alumbrado Publico y acometidas,15.0,12.0,18.0,2022-08-19 00:00:00,nan,electrician,
39,1.1.5.2.7,Conexiones Domiciliarias,15.0,12.0,18.0,2022-08-19 00:00:00,nan,mason,
40,1.1.5.2.8,Pruebas y Puesta en Servicio,10.0,8.0,12.0,2022-09-23 00:00:00,nan,mason,
42,1.1.6.1,Tramite Conformidad de obra ENSA,15.0,14.85,15.15,2022-10-15 00:00:00,nan,mason,
