node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Biofuel Refinery,501.416666666667,496.4,506.43,2015-03-02 07:00:00,2016-07-15 17:00:00,,14362625
1,1.1,Tanks - Preparation,346.416666666667,342.95,349.88,2015-03-02 07:00:00,2016-02-11 17:00:00,,5856025
26,1.2,Tanks - On Site,0.416666666666667,0.32,2.08,2016-02-12 07:00:00,2016-02-12 17:00:00,,1350
2,1.3,Skids - Preparation,60.4166666666667,53.77,66.46,2015-03-02 07:00:00,2015-05-01 17:00:00,,10125
3,1.4,Skids - Lead Time 1,270.416666666667,267.71,273.12,2015-05-18 07:00:00,2016-02-12 17:00:00,,500000
24,1.5,Skids - Lead Time 2,25.4166666666667,23.13,27.45,2016-02-15 07:00:00,2016-03-11 17:00:00,,50000
5,1.6,Skids - On Site 1,88.4166666666667,84.0,124.67,2016-02-15 07:00:00,2016-05-13 17:00:00,,237000
25,1.7,Skids - On Site 2,27.4166666666667,26.32,34.55,2016-05-17 07:00:00,2016-06-13 17:00:00,,76000
7,1.8,Skids - Commissioning,60.4166666666667,51.35,125.06,2016-05-16 07:00:00,2016-07-15 17:00:00,,121500
8,1.9,Utilities - Preparation,60.4166666666667,58.0,62.23,2015-06-29 07:00:00,2015-08-28 17:00:00,,600000
9,1.1,Utilities - Lead Time,193.416666666667,185.68,199.22,2015-08-31 07:00:00,2016-03-11 17:00:00,,94500
10,1.11,Tie-inns,4.41666666666667,3.8,5.17,2015-11-30 07:00:00,2015-12-04 17:00:00,,87250
11,1.12,Civil - Preparation,116.416666666667,111.76,119.91,2015-05-04 07:00:00,2015-08-28 17:00:00,,1338250
13,1.13,Civil - On Site,109.416666666667,101.76,144.43,2015-10-12 07:00:00,2016-01-29 17:00:00,,360000
14,1.14,Labo Container,137.416666666667,131.92,142.91,2015-10-12 07:00:00,2016-02-26 17:00:00,,240000
15,1.15,Piping - Preparation,242.416666666667,232.72,249.69,2015-05-04 07:00:00,2016-01-01 17:00:00,,800000
16,1.16,Piping - On Site,74.4166666666667,70.7,89.3,2016-02-29 07:00:00,2016-05-13 17:00:00,,99000
17,1.17,Electrical - Preparation,186.416666666667,178.96,192.01,2015-06-29 07:00:00,2016-01-01 17:00:00,,400000
18,1.18,Electrical - On Site,39.4166666666667,35.87,52.82,2016-04-04 07:00:00,2016-05-13 17:00:00,,13500
19,1.19,Automation - Preparation,305.416666666667,293.2,317.63,2015-06-29 07:00:00,2016-04-29 17:00:00,,129500
20,1.2,Automation - On Site,25.4166666666667,24.15,33.3,2016-05-02 07:00:00,2016-05-27 17:00:00,,4500
21,1.21,Analytics - Preparation,361.416666666667,346.96,372.26,2015-06-01 07:00:00,2016-05-27 17:00:00,,138500
22,1.22,Analytics - On Site,32.4166666666667,31.12,43.11,2016-05-30 07:00:00,2016-07-01 17:00:00,,5625
23,1.23,Purchases,151.416666666667,143.85,157.47,2015-09-28 07:00:00,2016-02-26 17:00:00,,3200000
