node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Young Cattle Barn (2),182.375,180.55,184.2,2010-09-08 08:00:00,2011-03-09 17:00:00,,612769.439880371
1,1.1,werfinstallatie,13.375,10.7,16.05,2010-09-08 08:00:00,2010-09-21 17:00:00,,8370.39978027344
2,1.2,Afbraak jongveestal,6.375,5.1,7.65,2010-09-08 08:00:00,2010-09-14 17:00:00,,14601.9995117188
3,1.3,omleggen elektrische kabel,0.375,0.3,0.45,2010-09-08 08:00:00,2010-09-08 17:00:00,,19393.0390625
4,1.4,Bijkomende sloopwerken,0.0416666666666667,0.03,0.05,2010-09-08 08:00:00,2010-09-08 09:00:00,,1.0
5,1.5,Grondwerken,6.375,5.1,7.65,2010-09-15 08:00:00,2010-09-21 17:00:00,,11578.0004882812
6,1.6,Aanvulling afbraak jongveestal,6.375,5.1,7.65,2010-09-15 08:00:00,2010-09-21 17:00:00,,14601.9995117188
7,1.7,plaatfundering-ondergronds,13.375,10.7,16.05,2010-09-22 08:00:00,2010-10-05 17:00:00,,21814.3994140625
8,1.8,funderingswanden,27.375,21.9,32.85,2010-10-06 08:00:00,2010-11-02 17:00:00,,71766.4013671875
9,1.9,Draagvloeren,13.375,10.7,16.05,2010-11-04 08:00:00,2010-11-17 17:00:00,,49276.0009765625
10,1.1,wederaanvulling-binnen,1.375,1.1,1.65,2010-11-22 08:00:00,2010-11-23 17:00:00,,2030.40002441406
11,1.11,Plaatfundering op volle grond,6.375,5.1,7.65,2010-11-24 08:00:00,2010-11-30 17:00:00,,6304.00024414064
12,1.12,wederaanvulling-buiten,2.375,1.9,2.85,2010-12-01 08:00:00,2010-12-03 17:00:00,,3045.6000366211
13,1.13,betonnen binnenwanden,0.0416666666666667,0.03,0.05,2010-09-08 08:00:00,2010-09-08 09:00:00,,1.0
14,1.14,Structuurelementen-staal,4.375,3.5,5.25,2010-12-06 08:00:00,2010-12-10 17:00:00,,62395.2001953124
15,1.15,structuurelementen-gew.beton,4.375,3.5,5.25,2010-12-13 08:00:00,2010-12-17 17:00:00,,67186.8017578124
16,1.16,Dakstructuur,0.0416666666666667,0.03,0.05,2010-12-20 08:00:00,2010-12-20 09:00:00,,1.0
17,1.17,Dakwerken,13.375,10.7,16.05,2010-12-21 08:00:00,2011-01-03 17:00:00,,66583.1982421875
18,1.18,"Buitenramen, -deuren, -poorten",13.375,10.7,16.05,2011-01-11 08:00:00,2011-01-24 17:00:00,,34111.9995117187
19,1.19,Gevelbekledingen,13.375,10.7,16.05,2011-01-19 08:00:00,2011-02-01 17:00:00,,19178.3996582031
20,1.2,Rioleringen,13.375,10.7,16.05,2011-01-27 08:00:00,2011-02-09 17:00:00,,27883.2006835938
21,1.21,Omgevingeswerken,27.375,21.9,32.85,2011-02-10 08:00:00,2011-03-09 17:00:00,,24084.7998046875
22,1.22,Elektrische windzeilen,0.0416666666666667,0.03,0.05,2011-01-04 08:00:00,2011-01-04 09:00:00,,1.0
23,1.23,Binnenplaatafwerking,13.375,10.7,16.05,2011-01-18 08:00:00,2011-01-31 17:00:00,,4623.99993896484
24,1.24,Bedrijfsvloeren,6.375,5.1,7.65,2011-02-01 08:00:00,2011-02-07 17:00:00,,1832.40005493164
25,1.25,Hekkens,20.375,16.3,24.45,2011-02-08 08:00:00,2011-02-28 17:00:00,,45640.7995605469
26,1.26,Sanitair,27.375,21.9,32.85,2011-02-08 08:00:00,2011-03-07 17:00:00,,35160.0
27,1.27,Brandbestrijding,27.375,21.9,32.85,2011-02-08 08:00:00,2011-03-07 17:00:00,,1302.40005493164
