node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Social Housing Kortrijk,385.375,381.52,389.23,2011-01-03 08:00:00,2012-01-23 17:00:00,,366456.5
1,1.1,Goedkope Woning Kortrijk,385.375,381.52,389.23,2011-01-03 08:00:00,2012-01-23 17:00:00,,366456.5
2,1.1.1,Afbraakwerken,32.375,25.9,38.85,2011-01-03 08:00:00,2011-02-04 17:00:00,,0.0
3,1.1.2,Bronbemaling,137.375,109.9,164.85,2011-02-07 08:00:00,2011-06-24 17:00:00,,0.0
5,1.1.3,BlokA,385.375,381.52,389.23,2011-01-03 08:00:00,2012-01-23 17:00:00,,215034.5
6,1.1.3.1,Ruwbouw,385.375,381.52,389.23,2011-01-03 08:00:00,2012-01-23 17:00:00,,215034.5
7,1.1.3.1.1,Grondwerken,11.375,9.1,13.65,2011-01-03 08:00:00,2011-01-14 17:00:00,,0.0
8,1.1.3.1.2,Funderingswerken,158.375,156.79,159.96,2011-01-17 08:00:00,2011-06-24 17:00:00,,5845.0
9,1.1.3.1.2.1,Funderingsbalken,19.375,15.5,23.25,2011-02-18 08:00:00,2011-03-09 17:00:00,KRAAN,2450.0
10,1.1.3.1.2.2,paalkoppen,17.375,13.9,20.85,2011-01-17 08:00:00,2011-02-03 17:00:00,KRAAN[0.10 #2],245.0
11,1.1.3.1.2.3,plaatfundering,10.375,8.3,12.45,2011-06-14 08:00:00,2011-06-24 17:00:00,KRAAN,1575.0
12,1.1.3.1.2.4,liftput,10.375,8.3,12.45,2011-01-17 08:00:00,2011-01-27 17:00:00,KRAAN,1575.0
13,1.1.3.1.3,Niveau gelijkvloers,36.375,36.01,36.74,2011-06-27 08:00:00,2011-08-02 17:00:00,,39638.0
14,1.1.3.1.3.1,Beton en opgaand metselwerk,36.375,36.01,36.74,2011-06-27 08:00:00,2011-08-02 17:00:00,,39638.0
15,1.1.3.1.3.1.1,Landmeter,0.375,0.3,0.45,2011-06-27 08:00:00,2011-06-27 17:00:00,,0.0
16,1.1.3.1.3.1.2,aftekenen muren,0.375,0.3,0.45,2011-06-28 08:00:00,2011-06-28 17:00:00,Arbeiders[2.00 #8],512.0
17,1.1.3.1.3.1.3,Kimmen,9.375,7.5,11.25,2011-06-29 08:00:00,2011-07-08 17:00:00,KRAAN[0.10 #2];Arbeiders[4.00 #8],8332.0
18,1.1.3.1.3.1.4,Lijmen,13.375,10.7,16.05,2011-07-01 08:00:00,2011-07-14 17:00:00,KRAAN[0.10 #2];Arbeiders[4.00 #8],10415.0
19,1.1.3.1.3.1.5,Bekisten betonbalken,6.375,5.1,7.65,2011-07-15 08:00:00,2011-07-21 17:00:00,KRAAN[0.50 #2];Arbeiders[4.00 #8],5557.5
20,1.1.3.1.3.1.6,Schoren en doka's,6.375,5.1,7.65,2011-07-15 08:00:00,2011-07-21 17:00:00,KRAAN[0.10 #2];Arbeiders[4.00 #8],5207.5
21,1.1.3.1.3.1.7,Plaatsen betonwanden,3.375,2.7,4.05,2011-07-22 08:00:00,2011-07-25 17:00:00,KRAAN[0.50 #2];Arbeiders[4.00 #8],2223.0
22,1.1.3.1.3.1.8,Predallen,1.375,1.1,1.65,2011-07-26 08:00:00,2011-07-27 17:00:00,KRAAN;Arbeiders[4.00 #8],2398.0
23,1.1.3.1.3.1.9,Terrassen en luifels,1.375,1.1,1.65,2011-07-28 08:00:00,2011-07-29 17:00:00,KRAAN;Arbeiders[4.00 #8],2398.0
24,1.1.3.1.3.1.10,Vlechten wapening,1.375,1.1,1.65,2011-08-01 08:00:00,2011-08-02 17:00:00,KRAAN[0.10 #2];Arbeiders[5.00 #8],2595.0
25,1.1.3.1.4,Niveau +1,37.375,37.0,37.75,2011-08-03 08:00:00,2011-09-09 17:00:00,,41942.0
26,1.1.3.1.4.1,storten vloerplaat,0.375,0.3,0.45,2011-08-03 08:00:00,2011-08-03 17:00:00,Arbeiders[5.00 #8],1280.0
27,1.1.3.1.4.2,Landmeter,0.375,0.3,0.45,2011-08-04 08:00:00,2011-08-04 17:00:00,Arbeiders[2.00 #8],512.0
28,1.1.3.1.4.3,aftekenen muren,0.375,0.3,0.45,2011-08-05 08:00:00,2011-08-05 17:00:00,Arbeiders[4.00 #8],1024.0
29,1.1.3.1.4.4,Kimmen,9.375,7.5,11.25,2011-08-08 08:00:00,2011-08-17 17:00:00,KRAAN[0.10 #2];Arbeiders[4.00 #8],8332.0
30,1.1.3.1.4.5,Lijmen,13.375,10.7,16.05,2011-08-10 08:00:00,2011-08-23 17:00:00,Arbeiders[4.00 #8];KRAAN[0.10 #2],10415.0
31,1.1.3.1.4.6,Bekisten betonbalken,6.375,5.1,7.65,2011-08-24 08:00:00,2011-08-30 17:00:00,KRAAN[0.50 #2];Arbeiders[4.00 #8],5557.5
32,1.1.3.1.4.7,Schoren en doka's,6.375,5.1,7.65,2011-08-24 08:00:00,2011-08-30 17:00:00,KRAAN[0.10 #2];Arbeiders[4.00 #8],5207.5
33,1.1.3.1.4.8,Plaatsen betonwanden,1.375,1.1,1.65,2011-08-31 08:00:00,2011-09-01 17:00:00,KRAAN[0.50 #2];Arbeiders[4.00 #8],2223.0
34,1.1.3.1.4.9,Predallen,3.375,2.7,4.05,2011-09-02 08:00:00,2011-09-05 17:00:00,KRAAN;Arbeiders[4.00 #8],2398.0
35,1.1.3.1.4.10,Terrassen en luifels,1.375,1.1,1.65,2011-09-06 08:00:00,2011-09-07 17:00:00,KRAAN;Arbeiders[4.00 #8],2398.0
36,1.1.3.1.4.11,Vlechten wapening,1.375,1.1,1.65,2011-09-08 08:00:00,2011-09-09 17:00:00,KRAAN[0.10 #2];Arbeiders[5.00 #8],2595.0
37,1.1.3.1.5,Niveau +2,37.375,37.0,37.75,2011-09-12 08:00:00,2011-10-19 17:00:00,,41942.0
38,1.1.3.1.5.1,storten vloerplaat,0.375,0.3,0.45,2011-09-12 08:00:00,2011-09-12 17:00:00,Arbeiders[5.00 #8],1280.0
39,1.1.3.1.5.2,Landmeter,0.375,0.3,0.45,2011-09-13 08:00:00,2011-09-13 17:00:00,Arbeiders[2.00 #8],512.0
40,1.1.3.1.5.3,aftekenen muren,0.375,0.3,0.45,2011-09-14 08:00:00,2011-09-14 17:00:00,Arbeiders[4.00 #8],1024.0
41,1.1.3.1.5.4,Kimmen,11.375,9.1,13.65,2011-09-15 08:00:00,2011-09-26 17:00:00,KRAAN[0.10 #2];Arbeiders[4.00 #8],8332.0
