node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,nan,Project Data migration ,0.0,0.0,0.0,2013-01-03 08:00:00,nan,,
2,nan,Deployment framework ,15.0,12.0,18.0,2013-04-09 08:00:00,nan,,
4,nan,Speos ,15.0,12.0,18.0,2013-05-20 08:00:00,nan,,
6,nan,Jira upgrade,5.0,4.0,6.0,2013-06-29 08:00:00,nan,,
8,nan,Lettergen server,3.0,2.4,3.6,2013-06-29 08:00:00,nan,,
9,nan,Application servers ,3.0,2.4,3.6,2013-06-29 08:00:00,nan,,
10,nan,MongoDB,4.0,3.2,4.8,2013-06-29 08:00:00,nan,,
12,nan,Reinstall back-up server,2.0,1.6,2.4,2013-01-27 08:00:00,nan,,
13,nan,Automate software updates / packages,2.0,1.6,2.4,2013-01-30 08:00:00,nan,,
14,nan,Configuration back-up management node,2.0,1.6,2.4,2013-02-02 08:00:00,nan,,
15,nan,Configuration back-up scheduling,2.0,1.6,2.4,2013-02-04 08:00:00,nan,,
16,nan,Configuration clients,2.0,1.6,2.4,2013-02-06 08:00:00,nan,,
17,nan,"Network devices (configuration of switches, routers, ...)",2.0,1.6,2.4,2013-02-08 08:00:00,nan,,
18,nan,Testen backup's,2.0,1.6,2.4,2013-02-10 08:00:00,nan,,
19,nan,Testen restore,2.0,1.6,2.4,2013-02-12 08:00:00,nan,,
20,nan,Documentation in wiki,4.0,3.2,4.8,2013-02-14 08:00:00,nan,,
22,nan,Migration Saas Test to DC Gent (includes ip to hostnames),3.0,2.4,3.6,2013-03-23 08:00:00,nan,,
23,nan,Migration Saas Production to DC Gent (redeploy),3.0,2.4,3.6,2013-03-26 08:00:00,nan,,
24,nan,Migration Development environments to DC Gent ,2.0,1.6,2.4,2013-03-29 08:00:00,nan,,
25,nan,"Migration Testing environments to DC Gent (BNPPF, Databases, ...)",2.0,1.6,2.4,2013-03-31 08:00:00,nan,,
27,nan,Network aligned with DC Gent,3.0,2.4,3.6,2013-02-18 08:00:00,nan,,
28,nan,Configuration Switches,3.0,2.4,3.6,2013-02-21 08:00:00,nan,,
29,nan,Deploy OpenNebula,3.0,2.4,3.6,2013-02-24 08:00:00,nan,,
30,nan,Integrate OpenNebula with DC Gent,3.0,2.4,3.6,2013-02-27 08:00:00,nan,,
31,nan,Deploy Storage,3.0,2.4,3.6,2013-03-02 08:00:00,nan,,
32,nan,Firewall configuration,3.0,2.4,3.6,2013-03-05 08:00:00,nan,,
34,nan,Setup Ansible,2.0,1.6,2.4,2013-03-08 08:00:00,nan,,
35,nan,Build UI for Ansible and Ansible Inventory,7.0,5.6,8.4,2013-03-12 08:00:00,nan,,
36,nan,Ansible Playbooks (non development deployments),3.0,2.4,3.6,2013-03-17 08:00:00,nan,,
37,nan,Playbook for Server authentication (via SSH keys),3.0,2.4,3.6,2013-03-20 08:00:00,nan,,
39,nan,Setup Tooling,1.0,0.8,1.2,2013-04-02 08:00:00,nan,,
40,nan,Define  and implement monitoring plan,3.0,2.4,3.6,2013-04-03 08:00:00,nan,,
41,nan,Define and implement dashboards,3.0,2.4,3.6,2013-04-06 08:00:00,nan,,
43,nan,Network status,1.0,0.8,1.2,2013-07-14 08:00:00,nan,,
44,nan,Network Traffic,1.0,0.8,1.2,2013-07-15 08:00:00,nan,,
45,nan,LDAP status,1.0,0.8,1.2,2013-07-16 08:00:00,nan,,
46,nan,Development environments status,1.0,0.8,1.2,2013-07-17 08:00:00,nan,,
47,nan,Back-up status,1.0,0.8,1.2,2013-07-18 08:00:00,nan,,
48,nan,"Hardware (Hypervisors, storage, availability)",1.0,0.8,1.2,2013-07-19 08:00:00,nan,,
50,nan,Proxy Server,1.0,0.8,1.2,2013-07-20 08:00:00,nan,,
51,nan,DNS Server,1.0,0.8,1.2,2013-07-21 08:00:00,nan,,
52,nan,FTP Server,1.0,0.8,1.2,2013-07-22 08:00:00,nan,,
53,nan,Apache Webserver Server,1.0,0.8,1.2,2013-07-23 08:00:00,nan,,
54,nan,IIS Server,1.0,0.8,1.2,2013-07-24 08:00:00,nan,,
55,nan,LDAP Server,1.0,0.8,1.2,2013-07-25 08:00:00,nan,,
56,nan,MongDB cluster,1.0,0.8,1.2,2013-07-26 08:00:00,nan,,
57,nan,Postgressql db cluster,1.0,0.8,1.2,2013-07-27 08:00:00,nan,,
58,nan,NFS Fileshare,1.0,0.8,1.2,2013-07-28 08:00:00,nan,,
59,nan,Generators,1.0,0.8,1.2,2013-07-29 08:00:00,nan,,
60,nan,"Client specific (load, availability) ",1.0,0.8,1.2,2013-07-30 08:00:00,nan,,
61,nan,Setup Logstash for metrics,1.0,0.8,1.2,2013-07-31 08:00:00,nan,,
63,nan,Remove old VM's,3.0,2.4,3.6,2013-01-07 08:00:00,nan,,
64,nan,Remove BTR DNS records,3.0,2.4,3.6,2013-01-10 08:00:00,nan,,
65,nan,DNS redeployment,3.0,2.4,3.6,2013-01-13 08:00:00,nan,,
66,nan,Clean Firewall rules,3.0,2.4,3.6,2013-01-16 08:00:00,nan,,
67,nan,Replace Production Active Directory with LDAP,4.0,3.2,4.8,2013-01-19 08:00:00,nan,,
68,nan,Clean-up Fileshares ( > 100 GIG !),2.0,1.6,2.4,2013-01-23 08:00:00,nan,,
69,nan,"Network configuration (VPN, NAT,...)",2.0,1.6,2.4,2013-01-25 08:00:00,nan,,
71,nan,Mail issue (Google outgoing mail limit),3.0,2.4,3.6,2013-03-08 08:00:00,nan,,
72,nan,Back-up Postgress databases (Modelstore),3.0,2.4,3.6,2013-03-11 08:00:00,nan,,
73,nan,Ansible Playbooks for Service Provider infrasturcture,3.0,2.4,3.6,2013-03-14 08:00:00,nan,,
74,nan,Deploy new Architecture,5.0,4.0,6.0,2013-03-17 08:00:00,nan,,
75,nan,Migrate current clients to new architecture,3.0,2.4,3.6,2013-03-22 08:00:00,nan,,
76,nan,Make High Available (DCO & DCG),3.0,2.4,3.6,2013-03-25 08:00:00,nan,,
