node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Beer Tasting,15.2083333333333,15.06,15.36,2014-04-07 08:00:00,2014-04-22 13:00:00,,1210
21,1.1,briefing,0.0833333333333333,0.08,0.08,2014-04-07 08:00:00,2014-04-07 10:00:00,,110
1,1.1.1,briefing NL,0.0416666666666667,0.03,0.05,2014-04-07 08:00:00,2014-04-07 09:00:00,HR;Project Manager,55
2,1.1.2,briefing FR,0.0416666666666667,0.03,0.05,2014-04-07 09:00:00,2014-04-07 10:00:00,HR;Project Manager,55
28,1.2,voorbereiding,2.41666666666667,2.39,2.44,2014-04-07 10:00:00,2014-04-09 20:00:00,,180
3,1.2.1,telechecks winkelpunt 1,0.125,0.1,0.15,2014-04-07 10:00:00,2014-04-07 13:00:00,Project Manager,90
4,1.2.2,telechecks winkelpunt 2,0.583333333333333,0.47,0.7,2014-04-07 20:00:00,2014-04-08 10:00:00,Project Manager,90
7,1.2.3,levering degustatiemateriaal A,0.0,0.0,0.0,2014-04-08 20:00:00,2014-04-08 20:00:00,,0
8,1.2.4,levering degustatiemateriaal B,0.0,0.0,0.0,2014-04-09 20:00:00,2014-04-09 20:00:00,,0
29,1.3,degustatie vrijdag,0.375,0.37,0.38,2014-04-11 09:00:00,2014-04-11 18:00:00,,185
5,1.3.1,VR aankomst + voorbereiding,0.0416666666666667,0.03,0.05,2014-04-11 09:00:00,2014-04-11 10:00:00,Animator,15
19,1.3.2,VR degustatie,0.291666666666667,0.23,0.35,2014-04-11 10:00:00,2014-04-11 17:00:00,Animator,155
6,1.3.3,VR opkuis + vertrek,0.0416666666666667,0.03,0.05,2014-04-11 17:00:00,2014-04-11 18:00:00,Animator,15
30,1.4,degustatie zaterdag,0.375,0.37,0.38,2014-04-12 08:00:00,2014-04-12 17:00:00,,185
20,1.4.1,ZA aankomst + voorbereiding,0.0416666666666667,0.03,0.05,2014-04-12 08:00:00,2014-04-12 09:00:00,Animator,15
9,1.4.2,ZA degustatie,0.291666666666667,0.23,0.35,2014-04-12 09:00:00,2014-04-12 16:00:00,Animator,155
10,1.4.3,ZA opkuis + vertrek,0.0416666666666667,0.03,0.05,2014-04-12 16:00:00,2014-04-12 17:00:00,Animator,15
34,1.5,afsluiting,1.0,0.99,1.01,2014-04-14 13:00:00,2014-04-15 13:00:00,,0
11,1.5.1,ophaling degustatiemateriaal A,0.0,0.0,0.0,2014-04-14 13:00:00,2014-04-14 13:00:00,,0
12,1.5.2,ophaling degustatiemateriaal B,0.0,0.0,0.0,2014-04-15 13:00:00,2014-04-15 13:00:00,,0
31,1.6,voorbereiding,4.0,3.96,4.04,2014-04-12 20:00:00,2014-04-16 20:00:00,,180
13,1.6.1,telechecks winkelpunt 3,1.58333333333333,1.27,1.9,2014-04-12 20:00:00,2014-04-14 10:00:00,Project Manager,90
14,1.6.2,telechecks winkelpunt 4,0.583333333333333,0.47,0.7,2014-04-14 20:00:00,2014-04-15 10:00:00,Project Manager,90
15,1.6.3,levering degustatiemateriaal C,0.0,0.0,0.0,2014-04-15 20:00:00,2014-04-15 20:00:00,,0
16,1.6.4,levering degustatiemateriaal D,0.0,0.0,0.0,2014-04-16 20:00:00,2014-04-16 20:00:00,,0
32,1.7,degustatie vrijdag,0.375,0.37,0.38,2014-04-18 09:00:00,2014-04-18 18:00:00,,185
17,1.7.1,VR aankomst + voorbereiding,0.0416666666666667,0.03,0.05,2014-04-18 09:00:00,2014-04-18 10:00:00,Animator,15
18,1.7.2,VR degustatie,0.291666666666667,0.23,0.35,2014-04-18 10:00:00,2014-04-18 17:00:00,Animator,155
22,1.7.3,VR opkuis + vertrek,0.0416666666666667,0.03,0.05,2014-04-18 17:00:00,2014-04-18 18:00:00,Animator,15
33,1.8,degustatie zaterdag,0.375,0.37,0.38,2014-04-19 08:00:00,2014-04-19 17:00:00,,185
23,1.8.1,ZA aankomst + voorbereiding,0.0416666666666667,0.03,0.05,2014-04-19 08:00:00,2014-04-19 09:00:00,Animator,15
24,1.8.2,ZA degustatie,0.291666666666667,0.23,0.35,2014-04-19 09:00:00,2014-04-19 16:00:00,Animator,155
25,1.8.3,ZA opkuis + vertrek,0.0416666666666667,0.03,0.05,2014-04-19 16:00:00,2014-04-19 17:00:00,Animator,15
35,1.9,afsluiting,1.0,0.99,1.01,2014-04-21 13:00:00,2014-04-22 13:00:00,,0
26,1.9.1,ophaling degustatiemateriaal C,0.0,0.0,0.0,2014-04-21 13:00:00,2014-04-21 13:00:00,,0
27,1.9.2,ophaling degustatiemateriaal D,0.0,0.0,0.0,2014-04-22 13:00:00,2014-04-22 13:00:00,,0
