node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Retirement Apartments,1187.375,1175.5,1199.25,2008-09-01 08:00:00,2011-12-02 17:00:00,,14956314.25
1,1.1,afbraak,81.375,65.1,97.65,2008-09-01 08:00:00,2008-11-21 17:00:00,,185018.609375
2,1.2,gesloten ruwbouw,674.375,539.5,809.25,2009-03-16 08:00:00,2011-01-19 17:00:00,,6076079.0
3,1.3,voltooiing,480.375,384.3,576.45,2010-08-09 08:00:00,2011-12-02 17:00:00,,4047450.5
11,1.4,technische installaties,480.375,475.57,485.18,2010-04-12 08:00:00,2011-08-05 17:00:00,,3470216.0
4,1.4.1,electrische installaties,480.375,384.3,576.45,2010-04-12 08:00:00,2011-08-05 17:00:00,,919103.0
5,1.4.2,HVAC,345.375,276.3,414.45,2010-08-09 08:00:00,2011-07-20 17:00:00,,1193592.375
6,1.4.3,sanitaire installaties,480.375,384.3,576.45,2010-04-12 08:00:00,2011-08-05 17:00:00,,1141161.625
7,1.4.4,liftinstallatie,345.375,276.3,414.45,2010-08-09 08:00:00,2011-07-20 17:00:00,,216359.0
12,1.5,uitrusting,387.375,383.5,391.25,2010-08-09 08:00:00,2011-08-31 17:00:00,,958011.375
8,1.5.1,keukeninstallaties,345.375,276.3,414.45,2010-08-09 08:00:00,2011-07-20 17:00:00,,433717.0
9,1.5.2,vast meubilair,177.375,141.9,212.85,2011-03-07 08:00:00,2011-08-31 17:00:00,,524294.375
10,1.6,omgevingswerken,55.375,44.3,66.45,2011-06-21 08:00:00,2011-08-15 17:00:00,,219538.765625
