node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Solar Park,994.375,984.43,1004.32,2009-01-30 08:00:00,2011-10-21 17:00:00,,0
1,1.1,Photovoltaische installatie,382.375,378.55,386.2,2010-06-25 08:00:00,2011-07-12 17:00:00,,0
2,1.1.1,Tekenen kaderovereenkomst,0.0,0.0,0.0,2010-06-30 17:00:00,2010-06-30 17:00:00,,0
3,1.1.2,Studie fase,82.375,81.55,83.2,2010-06-25 08:00:00,2010-09-15 17:00:00,,0
4,1.1.2.1,Conceptuele Engineering,20.375,16.3,24.45,2010-07-01 08:00:00,2010-07-21 17:00:00,,0
5,1.1.2.2,Studie netwerkbeheerder,82.375,65.9,98.85,2010-06-25 08:00:00,2010-09-15 17:00:00,,0
6,1.1.2.3,Opvolging netstudie,1.375,1.1,1.65,2010-08-19 08:00:00,2010-08-20 17:00:00,,0
7,1.1.2.4,Milestone: Resultaat Netstudie,0.0,0.0,0.0,2010-09-15 17:00:00,2010-09-15 17:00:00,,0
8,1.1.3,SPV,96.375,95.41,97.34,2011-01-20 08:00:00,2011-04-26 17:00:00,,0
9,1.1.3.1,Predesign Opstellen,8.375,6.7,10.05,2011-01-20 08:00:00,2011-01-28 17:00:00,,0
10,1.1.3.2,rapport TA Predesign,8.375,6.7,10.05,2011-01-31 08:00:00,2011-02-08 17:00:00,,0
11,1.1.3.3,Indienen Investment porposal,0.375,0.3,0.45,2011-02-09 08:00:00,2011-02-09 17:00:00,,0
12,1.1.3.4,Goedkeuring SPV,1.375,1.1,1.65,2011-02-10 08:00:00,2011-02-11 17:00:00,,0
13,1.1.3.5,Design,11.375,9.1,13.65,2011-04-04 08:00:00,2011-04-15 17:00:00,,0
14,1.1.3.6,Rapport TA Design,8.375,6.7,10.05,2011-04-18 08:00:00,2011-04-26 17:00:00,,0
15,1.1.4,Bouwvergunning,172.375,170.65,174.1,2010-07-29 08:00:00,2011-01-17 17:00:00,,0
16,1.1.4.1,Inhoud bekijken,0.375,0.3,0.45,2010-07-30 08:00:00,2010-07-30 17:00:00,,0
17,1.1.4.2,Aftoetsen bij gemeente,0.375,0.3,0.45,2010-07-30 08:00:00,2010-07-30 17:00:00,,0
18,1.1.4.3,Afspraak vastleggen studiebureau,0.375,0.3,0.45,2010-08-09 08:00:00,2010-08-09 17:00:00,,0
19,1.1.4.4,Afspraak studiebureau,0.375,0.3,0.45,2010-08-13 08:00:00,2010-08-13 17:00:00,,0
20,1.1.4.5,Beslissing zelf opstellen of studiebureau,0.166666666666667,0.13,0.2,2010-08-18 08:00:00,2010-08-18 12:00:00,,0
21,1.1.4.6,Kadasterplan opvragen,0.375,0.3,0.45,2010-07-29 08:00:00,2010-07-29 17:00:00,,0
22,1.1.4.7,Bouwaanvraagdossier,152.375,150.85,153.9,2010-08-18 08:00:00,2011-01-17 17:00:00,,0
23,1.1.4.7.1,plan tekenen,13.375,10.7,16.05,2010-08-18 08:00:00,2010-08-31 17:00:00,,0
24,1.1.4.7.2,documentatie verzamelen,13.375,10.7,16.05,2010-08-18 08:00:00,2010-08-31 17:00:00,,0
25,1.1.4.7.3,Definitieve gegevens ingeven,1.375,1.1,1.65,2010-08-31 08:00:00,2010-09-01 17:00:00,,0
26,1.1.4.7.4,Indienen,0.375,0.3,0.45,2010-09-02 08:00:00,2010-09-02 17:00:00,,0
27,1.1.4.7.5,Ontvankelijkheidsverklaring,0.375,0.3,0.45,2010-10-04 08:00:00,2010-10-04 17:00:00,,0
28,1.1.4.7.6,Goedkeuring bouwvergunning,0.375,0.3,0.45,2011-01-17 08:00:00,2011-01-17 17:00:00,,0
29,1.1.4.8,Milestone: Goedkeuring bouwvergunning,0.0,0.0,0.0,2011-01-04 17:00:00,2011-01-04 17:00:00,,0
30,1.1.5,Milieuvergunning,152.375,150.85,153.9,2010-09-01 08:00:00,2011-01-31 17:00:00,,0
31,1.1.5.1,Milieuvergunning opstellen,22.375,17.9,26.85,2010-09-01 08:00:00,2010-09-23 17:00:00,,0
32,1.1.5.2,Milieuvergunning indienen,0.375,0.3,0.45,2010-09-24 08:00:00,2010-09-24 17:00:00,,0
33,1.1.5.3,Ontvankelijkheidsverklaring,0.375,0.3,0.45,2010-10-26 08:00:00,2010-10-26 17:00:00,,0
34,1.1.5.4,Goedkeuring milieuvergunning,0.375,0.3,0.45,2011-01-31 08:00:00,2011-01-31 17:00:00,,0
35,1.1.5.5,Voorbereiden infovergadering milieuvergunning,0.375,0.3,0.45,2010-10-21 08:00:00,2010-10-21 17:00:00,,0
36,1.1.5.6,Infovergadering milieuvergunning,0.375,0.3,0.45,2010-10-27 08:00:00,2010-10-27 17:00:00,,0
37,1.1.6,Detailengineering,233.375,231.04,235.71,2010-08-09 08:00:00,2011-03-30 17:00:00,,0
38,1.1.6.1,Netstudie opvolgen,124.375,123.13,125.62,2010-09-16 08:00:00,2011-01-18 17:00:00,,0
39,1.1.6.1.1,beslissingsvergadering plannen,0.375,0.3,0.45,2010-09-28 08:00:00,2010-09-28 17:00:00,,0
40,1.1.6.1.2,vergadering,0.375,0.3,0.45,2010-09-16 08:00:00,2010-09-16 17:00:00,,0
41,1.1.6.1.3,plan hertekenen,4.375,3.5,5.25,2010-09-17 08:00:00,2010-09-21 17:00:00,,0
42,1.1.6.1.4,E-schema doorsturen,1.375,1.1,1.65,2011-01-17 08:00:00,2011-01-18 17:00:00,,0
43,1.1.6.2,ATEX (veiligheid en explosie),11.375,11.26,11.49,2010-08-16 08:00:00,2010-08-27 17:00:00,,0
44,1.1.6.2.1,zonering opvragen,1.375,1.1,1.65,2010-08-16 08:00:00,2010-08-17 17:00:00,,0
45,1.1.6.2.2,afspraak keuringsbureau,2.375,1.9,2.85,2010-08-18 08:00:00,2010-08-20 17:00:00,,0
46,1.1.6.2.3,zoneringsplan / explosieanalyse opstellen,9.375,7.5,11.25,2010-08-16 08:00:00,2010-08-25 17:00:00,,0
47,1.1.6.2.4,risico zone - plan hertekenen,1.375,1.1,1.65,2010-08-26 08:00:00,2010-08-27 17:00:00,,0
48,1.1.6.3,Stabiliteitsstudie,25.375,25.12,25.63,2010-08-09 08:00:00,2010-09-03 17:00:00,,0
49,1.1.6.3.1,afspraak vastleggen studiebureau,0.375,0.3,0.45,2010-08-09 08:00:00,2010-08-09 17:00:00,,0
50,1.1.6.3.2,voorbereiding afspraak,0.375,0.37,0.38,2010-08-10 08:00:00,2010-08-10 17:00:00,,0
51,1.1.6.3.2.1,grondindrukking,0.375,0.3,0.45,2010-08-10 08:00:00,2010-08-10 17:00:00,,0
52,1.1.6.3.2.2,grondsamenstelling/stevigheid,0.375,0.3,0.45,2010-08-10 08:00:00,2010-08-10 17:00:00,,0
53,1.1.6.3.2.3,fundering,0.375,0.3,0.45,2010-08-10 08:00:00,2010-08-10 17:00:00,,0
54,1.1.6.3.3,afspraak studiebureau,0.375,0.3,0.45,2010-08-13 08:00:00,2010-08-13 17:00:00,,0
55,1.1.6.3.4,stabiliteitsstudie,14.375,11.5,17.25,2010-08-20 08:00:00,2010-09-03 17:00:00,,0
56,1.1.6.3.5,verantwoordelijkheidsbepaling,0.166666666666667,0.13,0.2,2010-08-24 08:00:00,2010-08-24 12:00:00,,0
57,1.1.6.4,Fundering,116.375,115.21,117.54,2010-08-09 08:00:00,2010-12-03 17:00:00,,0
58,1.1.6.4.1,Voorstudie fundering,71.375,57.1,85.65,2010-08-09 08:00:00,2010-10-19 17:00:00,,0
59,1.1.6.4.2,keuze fundering,6.375,5.1,7.65,2010-10-20 08:00:00,2010-10-26 17:00:00,,0
60,1.1.6.4.3,controle gegevens studiebureau,11.375,9.1,13.65,2010-11-22 08:00:00,2010-12-03 17:00:00,,0
61,1.1.6.5,Montagesysteem,92.375,91.45,93.3,2010-08-09 08:00:00,2010-11-09 17:00:00,,0
62,1.1.6.5.1,vooronderzoek montagesysteem,50.375,40.3,60.45,2010-08-09 08:00:00,2010-09-28 17:00:00,,0
63,1.1.6.5.2,selectiecriteria opstellen,0.375,0.3,0.45,2010-10-26 08:00:00,2010-10-26 17:00:00,,0
64,1.1.6.5.3,3 lev contacteren,13.375,10.7,16.05,2010-10-27 08:00:00,2010-11-09 17:00:00,,0
65,1.1.6.6,Niveleren,20.375,20.17,20.58,2010-11-17 08:00:00,2010-12-07 17:00:00,,0
66,1.1.6.6.1,"bepalen zone afh montagesysteem, stabiliteit",13.375,10.7,16.05,2010-11-17 08:00:00,2010-11-30 17:00:00,,0
67,1.1.6.6.2,contacteren aannemers,2.16666666666667,1.73,2.6,2010-12-01 08:00:00,2010-12-03 12:00:00,,0
68,1.1.6.6.3,bepalen uitvoeringsperiode,0.166666666666667,0.13,0.2,2010-12-03 13:00:00,2010-12-03 17:00:00,,0
69,1.1.6.6.4,plaatsbezoek aannemers,4.16666666666667,3.33,5.0,2010-12-03 13:00:00,2010-12-07 17:00:00,,0
70,1.1.6.7,Grondwerken,8.16666666666667,8.09,8.25,2011-01-17 08:00:00,2011-01-25 12:00:00,,0
71,1.1.6.7.1,extra ophoging van de weg,4.375,3.5,5.25,2011-01-17 08:00:00,2011-01-21 17:00:00,,0
72,1.1.6.7.2,diepte,4.375,3.5,5.25,2011-01-17 08:00:00,2011-01-21 17:00:00,,0
73,1.1.6.7.3,behuizing type: schapen,4.375,3.5,5.25,2011-01-17 08:00:00,2011-01-21 17:00:00,,0
74,1.1.6.7.4,intekening bekabeling op plan,1.16666666666667,0.93,1.4,2011-01-24 08:00:00,2011-01-25 12:00:00,,0
75,1.1.6.8,Beton,34.375,34.03,34.72,2010-10-27 08:00:00,2010-11-30 17:00:00,,0
76,1.1.6.8.1,bepalen fundering,6.375,5.1,7.65,2010-11-18 08:00:00,2010-11-24 17:00:00,,0
77,1.1.6.8.2,selectiecriteria opstellen,1.375,1.1,1.65,2010-10-27 08:00:00,2010-10-28 17:00:00,,0
78,1.1.6.8.3,3 lev contacteren,32.375,25.9,38.85,2010-10-29 08:00:00,2010-11-30 17:00:00,,0
79,1.1.6.9,AC,129.375,128.08,130.67,2010-09-13 08:00:00,2011-01-20 17:00:00,,0
80,1.1.6.9.1,omvormers bepalen,84.375,83.53,85.22,2010-10-26 08:00:00,2011-01-18 17:00:00,,0
81,1.1.6.9.1.1,selectiecriteria opstellen,0.375,0.3,0.45,2010-10-26 08:00:00,2010-10-26 17:00:00,,0
82,1.1.6.9.1.2,3 lev contacteren,13.375,10.7,16.05,2010-10-27 08:00:00,2010-11-09 17:00:00,,0
83,1.1.6.9.1.3,omvormer Merk selecteren,0.375,0.3,0.45,2010-11-25 08:00:00,2010-11-25 17:00:00,,0
84,1.1.6.9.1.4,omvormer Type kiezen,13.375,10.7,16.05,2011-01-05 08:00:00,2011-01-18 17:00:00,,0
85,1.1.6.9.2,"HS cabines (topcabine, onderstations)",112.375,111.25,113.5,2010-09-30 08:00:00,2011-01-20 17:00:00,,0
86,1.1.6.9.2.1,"Cabines type, grootte, etc",27.375,21.9,32.85,2010-09-30 08:00:00,2010-10-27 17:00:00,,0
87,1.1.6.9.2.2,"Transfo's: type, grootte, etc",83.375,66.7,100.05,2010-10-29 08:00:00,2011-01-20 17:00:00,,0
88,1.1.6.9.3,Bekabeling bepalen,57.375,56.8,57.95,2010-09-13 08:00:00,2010-11-09 17:00:00,,0
89,1.1.6.9.3.1,berekening kabelsectie,36.375,29.1,43.65,2010-09-13 08:00:00,2010-10-19 17:00:00,,0
90,1.1.6.9.3.2,type kabel,36.375,29.1,43.65,2010-09-13 08:00:00,2010-10-19 17:00:00,,0
91,1.1.6.9.3.3,selectiecriteria opstellen,0.375,0.3,0.45,2010-10-26 08:00:00,2010-10-26 17:00:00,,0
92,1.1.6.9.3.4,3 lev contacteren,13.375,10.7,16.05,2010-10-27 08:00:00,2010-11-09 17:00:00,,0
93,1.1.6.9.4,HS-Kopcabine,32.375,32.05,32.7,2010-11-01 08:00:00,2010-12-03 17:00:00,,0
94,1.1.6.9.4.1,overleg cofely technisch / financieel,32.375,25.9,38.85,2010-11-01 08:00:00,2010-12-03 17:00:00,,0
95,1.1.6.9.4.2,Overkopen cabine,0.375,0.3,0.45,2010-12-02 08:00:00,2010-12-02 17:00:00,,0
96,1.1.6.9.5,Aanpassingen electriciteitsdistributeur,13.375,13.24,13.51,2011-01-05 08:00:00,2011-01-18 17:00:00,,0
97,1.1.6.9.5.1,Telecontrolekast,13.375,10.7,16.05,2011-01-05 08:00:00,2011-01-18 17:00:00,,0
98,1.1.6.9.5.2,Anti retoer WKK,13.375,10.7,16.05,2011-01-05 08:00:00,2011-01-18 17:00:00,,0
99,1.1.6.10,DC,39.375,38.98,39.77,2010-09-16 08:00:00,2010-10-25 17:00:00,,0
100,1.1.6.10.1,type connector afh panelen,0.375,0.3,0.45,2010-10-25 08:00:00,2010-10-25 17:00:00,,0
101,1.1.6.10.2,string controllers,33.375,26.7,40.05,2010-09-16 08:00:00,2010-10-19 17:00:00,,0
102,1.1.6.10.3,kabelsecties,33.375,26.7,40.05,2010-09-16 08:00:00,2010-10-19 17:00:00,,0
103,1.1.6.10.4,kabeltraject,33.375,26.7,40.05,2010-09-16 08:00:00,2010-10-19 17:00:00,,0
104,1.1.6.11,Werfuitrusting,60.375,59.77,60.98,2011-01-10 08:00:00,2011-03-11 17:00:00,,0
105,1.1.6.11.1,controle stabiliteit transport,11.375,9.1,13.65,2011-01-10 08:00:00,2011-01-21 17:00:00,,0
106,1.1.6.11.2,werfinrichting,11.375,9.1,13.65,2011-01-10 08:00:00,2011-01-21 17:00:00,,0
107,1.1.6.11.3,intekening plan,39.375,31.5,47.25,2011-01-24 08:00:00,2011-03-04 17:00:00,,0
108,1.1.6.11.4,controle locatie eigenaar,4.375,3.5,5.25,2011-03-07 08:00:00,2011-03-11 17:00:00,,0
109,1.1.6.12,bewaking,20.375,16.3,24.45,2011-02-24 08:00:00,2011-03-16 17:00:00,,0
110,1.1.6.13,Installateur,62.375,49.9,74.85,2010-08-10 08:00:00,2010-10-11 17:00:00,,0
111,1.1.6.14,Logistiek: transport / hijswerken,34.375,27.5,41.25,2010-12-28 08:00:00,2011-01-31 17:00:00,,0
112,1.1.6.15,"Organisatie (Werfleider, …)",83.375,66.7,100.05,2010-11-24 08:00:00,2011-02-15 17:00:00,,0
