node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Project,1306.0,1306.0,1306.0,2016-03-01 08:00:00,2021-03-02 17:00:00,,6567
1,1.1,DP3-2 Parking Tunnels en Kipdorpsite,1306.0,1306.0,1306.0,2016-03-01 08:00:00,2021-03-02 17:00:00,,6567
2,1.1.1,"DP3 OPON (OPERAPLEIN ONDERGROND - Parking, Autotunnels en Kipdorpsite)",1306.0,1306.0,1306.0,2016-03-01 08:00:00,2021-03-02 17:00:00,,6567
3,1.1.1.1,START OPON,0.0,0.0,0.0,2016-03-01 08:00:00,2016-02-29 17:00:00,,0
4,1.1.1.2,FINISH OPON,0.0,0.0,0.0,2019-07-09 17:00:00,2019-07-09 17:00:00,,0
5,1.1.1.3,Extere relaties,537.0,537.0,537.0,2018-06-29 17:00:00,2020-07-21 17:00:00,,0
6,1.1.1.3.1,Inkomende relaties naar DP3,0.0,0.0,0.0,2019-03-01 17:00:00,2019-03-01 17:00:00,,0
7,1.1.1.3.1.1,RV016-2 uit DP2 naar DP3: Einde aanleg voetgangers en fietserscorridor - Start staal Kipdorpbrug,0.0,0.0,0.0,2019-03-01 17:00:00,2019-03-01 17:00:00,,0
8,1.1.1.3.2,Uitgaande relaties vanuit DP3-2,537.0,537.0,537.0,2018-06-29 17:00:00,2020-07-21 17:00:00,,0
9,1.1.1.3.2.1,RV016-1 uit DP3 naar DP2: Installatie bemaling verwijderd tbv bestrating,0.0,0.0,0.0,2019-02-15 17:00:00,2019-02-15 17:00:00,,0
10,1.1.1.3.2.2,"RV 6 naar DP2, Zone W9 en Lichtput gereed voor start bestrating ",0.0,0.0,0.0,2018-06-29 17:00:00,2018-06-29 17:00:00,,0
11,1.1.1.3.2.3,"RV 10 naar DP2, Zone W8 Keyserlei centraal gereed voor start bestrating",0.0,0.0,0.0,2018-09-21 17:00:00,2018-09-21 17:00:00,,0
12,1.1.1.3.2.4,"RV 11 naar DP2, Zone W5 Teniers zuid, gereed voor start bestrating",0.0,0.0,0.0,2018-10-05 17:00:00,2018-10-05 17:00:00,,0
13,1.1.1.3.2.5,"Contractmijlpaal uit DP3-2 naar BCT5, Tram Operaplen-Leien Noord Zuid",0.0,0.0,0.0,2019-07-18 17:00:00,2019-07-18 17:00:00,,0
14,1.1.1.3.2.6,"ContractMijlpaal uit DP3 naar VO-09b, Archeologische tuin Kipdorpbrug",0.0,0.0,0.0,2019-10-17 17:00:00,2019-10-17 17:00:00,,0
15,1.1.1.3.2.7,"ContracMijlpaal uit DP3 naar VO-11 light, Autotunnels (beperkte functionaliteit)",0.0,0.0,0.0,2019-09-04 17:00:00,2019-09-04 17:00:00,,0
16,1.1.1.3.2.8,"ContractMijlpaal uit DP3 naar VO-11 vol, Operaplein ondergrond tunnel",0.0,0.0,0.0,2020-01-14 10:00:00,2020-01-14 10:00:00,,0
17,1.1.1.3.2.9,ContractMijlpaal uit DP3-2 naar VO-13 Operaplein ondergrond Parking VÓÓR testen,0.0,0.0,0.0,2019-11-21 17:00:00,2019-11-21 17:00:00,,0
18,1.1.1.3.2.10,ContractMijlpaal uit DP3-2 naar VO-13 Operaplein ondergrond Parking NA testen,0.0,0.0,0.0,2020-03-26 17:00:00,2020-03-26 17:00:00,,0
19,1.1.1.3.2.11,"RV012 uit DP3-2 naar DP2, Logistieke opening gedicht (kraan- en strossgat)",0.0,0.0,0.0,2019-03-11 17:00:00,2019-03-11 17:00:00,,0
20,1.1.1.3.2.12,RV027 uit DP3 naar DP2: Einde Hijsactie 700T kraan Kipdorpbrug - Start Dwarskabels tbv Rd01 en Rd02,0.0,0.0,0.0,2019-03-28 17:00:00,2019-03-28 17:00:00,,0
21,1.1.1.3.2.13,"RV013 uit DP2 én DP3 naar DP1: DP1, DP2 én DP3 gereed voor afrol bovenleiding Rd-09 en Rd-10 (Kipdorpvest - Kipdorpbrug - tot nèt vóór Tunnelplaats)",0.0,0.0,0.0,2019-05-08 17:00:00,2019-05-08 17:00:00,,0
22,1.1.1.3.2.14,"RV014 uit DP3 naar DP2, Middenspanningscabine zuidhoek Kipdorpvest en Operaplein verwijderd",0.0,0.0,0.0,2019-06-28 17:00:00,2019-06-28 17:00:00,,0
23,1.1.1.3.2.15,"RV022, MP uit DP3-2 naar DP2: Staalwerk trambrug gereed - start Gemeentestraat fase J Kipdorpbrug-Operaplein en plaatsen sporen op trambrug",0.0,0.0,0.0,2019-05-06 17:00:00,2019-05-06 17:00:00,,0
24,1.1.1.3.2.16,"RV034, uit DP3-2 naar DP2: T28 Trappencomplex gereed- Start aanleg Perron Roosevelt",0.0,0.0,0.0,2020-07-21 17:00:00,2020-07-21 17:00:00,,0
25,1.1.1.3.2.17,RV029 uit DP3-2 naar DP2: Einde metselwerken archeologische brug - start ventweg werfdeel IV,0.0,0.0,0.0,2019-08-13 17:00:00,2019-08-13 17:00:00,,0
26,1.1.1.3.2.18,Inkomende relaties naar DP3-2,1.0,1.0,1.0,2019-09-03 08:00:00,2019-09-03 17:00:00,,0
27,1.1.1.3.2.18.1,RV013 uit DP3-1 naar DP3-2: Leuningen Lichtput af,1.0,0.8,1.2,2019-09-03 08:00:00,2019-09-03 17:00:00,,0
28,1.1.1.3.2.19,"RV023, MP uit DP3-2 naar DP2: Einde Betonstructuren ventweg west - start Ventweg Kipdorpbrug zuidwest",0.0,0.0,0.0,2019-02-01 17:00:00,2019-02-01 17:00:00,,0
29,1.1.1.3.2.20,"RV028, MP uit DP3-2 naar DP2: Einde keerconstructie trambaan O&W - Start fundering trambaan noord van Kipdorpbrug",0.0,0.0,0.0,2019-04-05 17:00:00,2019-04-05 17:00:00,,0
30,1.1.1.4,30 BOUWPLAATS,103.0,103.0,103.0,2019-02-06 08:00:00,2019-06-28 17:00:00,,0
31,1.1.1.4.1,Verwijderen middenspanningscabine Domino's Pizza (hoek Kipdorpvest - Operaplein) na gereed grootste deel werf (datum opgave KME 19.11.18),0.0,0.0,0.0,2019-06-28 17:00:00,2019-06-28 17:00:00,,0
32,1.1.1.4.2,Stapsgewijs afschakelen bemaling bouwput,6.0,4.8,7.2,2019-02-06 08:00:00,2019-02-13 17:00:00,,0
33,1.1.1.4.3,Verwijderen bemaling Domino's Pizza (Hoek Operaplein - Kipdorpvest),2.0,1.6,2.4,2019-02-14 08:00:00,2019-02-15 17:00:00,,0
34,1.1.1.5,32 PARKING & TUNNELS,1281.0,1281.0,1281.0,2016-04-05 08:00:00,2021-03-02 17:00:00,,6567
35,1.1.1.5.1,A) Parking,857.0,857.0,857.0,2017-08-28 08:00:00,2020-12-08 17:00:00,,4842
36,1.1.1.5.1.1,niv 0,503.0,503.0,503.0,2017-08-28 08:00:00,2019-07-31 17:00:00,,60
37,1.1.1.5.1.1.1,ruwbouw,503.0,503.0,503.0,2017-08-28 08:00:00,2019-07-31 17:00:00,,60
