node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Family Residence,160.375,158.77,161.98,2006-04-06 08:00:00,2006-09-13 17:00:00,,207023.640647888
1,1.1,Previous Activities,0.375,0.3,0.45,2006-04-06 08:00:00,2006-04-06 17:00:00,,1359.31005859375
2,1.2,Site Layout,0.375,0.3,0.45,2006-04-07 08:00:00,2006-04-07 17:00:00,,214.619995117188
8,1.3,Rough Construction,60.375,59.77,60.98,2006-04-10 08:00:00,2006-06-09 17:00:00,,74521.6801757812
3,1.3.1,Foundation (with green concrete),10.375,8.3,12.45,2006-04-10 08:00:00,2006-04-20 17:00:00,,10372.2802734375
5,1.3.2,Masonry works (with pressed straw),48.375,38.7,58.05,2006-04-21 08:00:00,2006-06-08 17:00:00,,56227.41015625
6,1.3.3,Sills,0.375,0.3,0.45,2006-06-09 08:00:00,2006-06-09 17:00:00,,1582.97998046875
7,1.3.4,Parement delivery,0.375,0.3,0.45,2006-04-21 08:00:00,2006-04-21 17:00:00,,5839.009765625
66,1.3.5,Green Inspection (1),0.375,0.3,0.45,2006-04-24 08:00:00,2006-04-24 17:00:00,,500.0
11,1.4,Jointing,26.375,26.11,26.64,2006-06-09 08:00:00,2006-07-05 17:00:00,,1676.56994628906
9,1.4.1,Joints Chimney-Not present + harrows joinery,0.375,0.3,0.45,2006-06-09 08:00:00,2006-06-09 17:00:00,,558.859985351563
10,1.4.2,Complete carcass,1.375,1.1,1.65,2006-07-04 08:00:00,2006-07-05 17:00:00,,1117.7099609375
14,1.5,Hood construction,56.375,55.81,56.94,2006-04-21 08:00:00,2006-06-16 17:00:00,,6791.65991210938
12,1.5.1,Torques,0.375,0.3,0.45,2006-04-21 08:00:00,2006-04-21 17:00:00,,970.239990234375
13,1.5.2,Complete roof construction,7.375,5.9,8.85,2006-06-09 08:00:00,2006-06-16 17:00:00,,5821.419921875
18,1.6,Roofing,14.375,14.23,14.52,2006-06-19 08:00:00,2006-07-03 17:00:00,,9350.400390625
15,1.6.1,Green Roof construction,14.375,11.5,17.25,2006-06-19 08:00:00,2006-07-03 17:00:00,,9350.400390625
27,1.7,Exterior Joinery,4.375,4.33,4.42,2006-06-19 08:00:00,2006-06-23 17:00:00,,21670.7497558594
21,1.7.1,Joinery,4.375,4.33,4.42,2006-06-19 08:00:00,2006-06-23 17:00:00,,19072.8896484375
19,1.7.1.1,Measurement of joinery,0.375,0.3,0.45,2006-06-19 08:00:00,2006-06-19 17:00:00,,5524.2998046875
20,1.7.1.2,Placement of joinery,1.375,1.1,1.65,2006-06-20 08:00:00,2006-06-21 17:00:00,,11048.58984375
67,1.7.1.3,Additional installation smart windows,1.375,1.1,1.65,2006-06-22 08:00:00,2006-06-23 17:00:00,,2500.0
26,1.7.2,Gate,1.375,1.36,1.39,2006-06-19 08:00:00,2006-06-20 17:00:00,,2597.86010742188
24,1.7.2.1,Measurement port,0.375,0.3,0.45,2006-06-19 08:00:00,2006-06-19 17:00:00,,1298.93005371094
25,1.7.2.2,Placement of the gate,0.375,0.3,0.45,2006-06-20 08:00:00,2006-06-20 17:00:00,,1298.93005371094
