node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
3,1.1.1,CARTEL DE IDENTIFICACION DE OBRA DE 3.60 X 4.80M,1.0,0.01,0.01,2022-04-04 00:00:00,nan,"carpenter [1,00 #8]",
4,1.1.2,CASETA PARA  ALMACEN Y OFICINA,2.0,0.02,0.06,2022-04-06 00:00:00,nan,"carpenter [1,00 #8]",
5,1.1.3,ENERGIA ELECTRICA,38.0,11.4,17.48,2022-04-09 00:00:00,nan,"plumber [1,00 #8]",
7,1.2.1,EQUIPOS DE PROTESSION INDIVIDUAL,40.0,8.0,24.0,2022-04-09 00:00:00,nan,"plumber [1,00 #8]",
8,1.2.2,EQUIPOS DE PROTESSION COLECTIVA,40.0,12.0,20.0,2022-04-09 00:00:00,nan,painter,
9,1.2.3,"SEÑALIZACIONES, DESVIO DE TRANSITO Y PROTESSION DE OBRA",40.0,4.0,28.0,2022-04-09 00:00:00,nan,"carpenter [1,00 #8]",
10,1.2.4,CAPACITACION EN SEGURIDAD Y SALUD,1.0,0.01,0.01,2022-04-09 00:00:00,nan,"plumber [1,00 #8]",
11,1.2.5,RECURSOS PARA RESPUESTAS ANTE EMERGENCIAS EN SEGURIDAD Y SALUD DURANTE EL TRABAJO,1.0,0.0,0.02,2022-04-09 00:00:00,nan,"team subcontractor[2,00 #8]",
13,1.3.1,LIMPIEZA DE OBRA,1.0,0.01,0.01,2022-04-12 00:00:00,nan,painter,
14,1.3.2,TRAZO NIVELACIÓN Y REPLANTEO,1.0,0.01,0.01,2022-04-14 00:00:00,nan,painter,
15,1.3.3,DEMOLICION DE VEREDAS,2.0,0.02,0.06,2022-04-16 00:00:00,nan,"carpenter [1,00 #8]",
16,1.3.4,ELIMINACIÓN DEMATERIAL EXCEDENTE DE  DEMOLICIONES Dp=2.5Km,1.0,0.01,0.01,2022-04-19 00:00:00,nan,"plumber [1,00 #8]",
17,1.3.5,MOVILIZACIÓN Y DESMOVILIZACIÓN DE EQUIPO,2.0,0.02,0.06,2022-04-11 00:00:00,nan,"plumber [1,00 #8]",
19,1.4.1,EXCAVACION DE MATERIAL SUELTO CON MAQUINARIA,4.0,0.08,0.24,2022-04-20 00:00:00,nan,painter,
20,1.4.2,PERFILADO Y COMPACTACIÓN DE SUBRAZANTE C/EQUIPO,2.0,0.02,0.06,2022-04-27 00:00:00,nan,"carpenter [1,00 #8]",
21,1.4.3,ELIMINACIÓN DEMATERIAL EXCEDENTE DEL CORTE Dp=2.5Km,3.0,0.03,0.15,2022-04-30 00:00:00,nan,mason,
23,1.5.1,"MEJORAMIENTO DE LA SUB-RASANTE CON OVER TAM. MAX. 8"" e=30",2.0,0.02,0.06,2022-04-30 00:00:00,nan,"plumber [1,00 #8]",
24,1.5.2,CAPA ANTICONTAMINANTE (Arenilla) E=0.10 m,1.0,0.01,0.01,2022-05-03 00:00:00,nan,"carpenter [1,00 #8]",
25,1.5.3,SUB-BASE GRANULAR (afirmado 3'') e=0.20 m,3.0,0.03,0.15,2022-05-13 00:00:00,nan,"carpenter [1,00 #8]",
26,1.5.4,Base Granular e= 20 cm,4.0,0.04,0.28,2022-05-17 00:00:00,nan,"steel worker [1,00 #8]",
27,1.5.5,Imprimación Asfáltica,1.0,0.01,0.01,2022-05-24 00:00:00,nan,"carpenter [1,00 #8]",
28,1.5.6,"CARPETA ASFALTICA EN CALIENTE DE 2""",1.0,0.01,0.01,2022-05-25 00:00:00,nan,"carpenter [1,00 #8]",
31,1.6.1.1,TRAZO NIVELACIÓN Y REPLANTEO,2.0,0.02,0.06,2022-04-30 00:00:00,nan,"team subcontractor[1,00 #8]",
33,1.6.2.1,CORTE MANUAL EN TERRENO HASTA SUBRASANTE EN VEREDA,15.0,1.5,3.0,2022-05-06 00:00:00,nan,"team subcontractor[1,00 #8]",
34,1.6.2.2,NIVELACION Y COMPACTACION DE SUBRASANTE CON EQUIPO LIVIANO,5.0,0.05,0.45,2022-05-11 00:00:00,nan,"team subcontractor[1,00 #8]",
35,1.6.2.3,RELLENO   CON AFIRMADO,4.0,0.04,0.28,2022-05-19 00:00:00,nan,"carpenter [1,00 #8]",
36,1.6.2.4,ELIMINACIÓN DEMATERIAL EXCEDENTE DEL CORTE Dp=2.5Km,1.0,0.01,0.01,2022-05-26 00:00:00,nan,"mason [2,00 #8]",
38,1.6.3.1,CONCRETO DE FS=175 kg/cm2,2.0,0.02,0.06,2022-05-27 00:00:00,nan,painter,
39,1.6.3.2,ENCOFRADO Y DESENCOFRADO,4.0,0.08,0.24,2022-05-30 00:00:00,nan,"steel worker [2,00 #8]",
40,1.6.3.3,JUNTAS,1.0,0.01,0.01,2022-06-06 00:00:00,nan,"mason [2,00 #8]",
41,1.6.3.4,"RAMPA DE CONRETO 140 kg/cm² e=4"" BRUÑADO S/DISEÑO",1.0,0.01,0.04,2022-06-07 00:00:00,nan,mason,
42,1.6.3.5,CURADO DE CONCRETO CON ADITIVO EN VEREDAS Y RAMPAS,1.0,0.01,0.03,2022-06-07 00:00:00,nan,"carpenter [1,00 #8]",
43,1.6.3.6,PINTADO DE VEREDAS,20.0,0.4,1.0,2022-06-09 00:00:00,nan,painter,
46,1.7.1.1,TRAZO NIVELACION  Y REPLANTEO,10.0,0.2,1.5,2022-05-03 00:00:00,nan,"steel worker [1,00 #8]",
48,1.7.2.1,EXCAVACIÓN DE ZANJA PARA SARDINEL,4.0,0.08,0.32,2022-05-18 00:00:00,nan,"steel worker [1,00 #8]",
49,1.7.2.2,ELIMINACION DE MATERIAL EXCEDENTE,2.0,0.01,0.12,2022-05-25 00:00:00,nan,"steel worker [2,00 #8]",
50,1.7.2.3,ENCOFRADO Y DESENCOFRADO,3.0,0.04,0.15,2022-05-28 00:00:00,nan,"carpenter [1,00 #8]",
51,1.7.2.4,CONCRETO EN SARDINELES PERALTADO F'C=175 KG/CM2,2.0,0.02,0.1,2022-06-01 00:00:00,nan,painter,
52,1.7.2.5,CURADO DE CONCRETO CON ADITIVO EN SARDINELES,1.0,0.01,0.06,2022-06-05 00:00:00,nan,"carpenter [1,00 #8]",
53,1.7.2.6,JUNTAS,1.0,0.01,0.08,2022-06-06 00:00:00,nan,"carpenter [1,00 #8]",
54,1.7.2.7,PINTADO DE SARDINELES,3.0,0.03,0.3,2022-06-08 00:00:00,nan,"carpenter [1,00 #8]",
56,1.8.1,SEÑALIZACION HORIZONTAL,1.0,0.0,0.01,2022-06-06 00:00:00,nan,"carpenter [1,00 #8]",
57,1.8.2,SEÑALIZACION VERTICAL,12.0,0.06,0.3,2022-06-06 00:00:00,nan,"steel worker [1,00 #8]",
59,1.9.1,TRAZO NIVELACIÓN Y REPLANTEO,2.0,0.02,0.06,2022-05-24 00:00:00,nan,"team subcontractor[2,00 #8]",
60,1.9.2,EXCAVACION MANUAL EN AREAS VERDES,5.0,0.01,0.47,2022-05-27 00:00:00,nan,painter,
61,1.9.3,ELIMINACIÓN DEMATERIAL EXCEDENTE DEL CORTE Dp=2.5Km,1.0,0.01,0.01,2022-06-04 00:00:00,nan,"carpenter [1,00 #8]",
62,1.9.4,"SEMBRADO DE GRASS, INCLUYE PREPARACION DEL TERRENO",4.0,0.01,0.24,2022-06-06 00:00:00,nan,painter,
65,1.10.1.1,"PLAN DE VIGILANCIA, PREVENCION Y CONTROL COVID-19",1.0,0.0,0.01,2022-04-09 00:00:00,nan,"steel worker [1,00 #8]",
68,1.10.2.1.1,"PROTESSION DEL PERSONAL DE OBRA, CONTROLES DE MEDICION DE TEMPERATURA, ETC",39.0,11.7,18.72,2022-04-11 00:00:00,nan,painter,
69,1.10.2.1.2,"DESINFESSION DEL PERSONAL, MATERIALES, HERRAMIENTAS Y AMBIENTES DE LA OBRA",39.0,7.8,22.62,2022-04-11 00:00:00,nan,"steel worker [1,00 #8]",
