node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Railway Station (2),493.375,488.44,498.31,2012-11-05 08:00:00,2014-03-13 17:00:00,,1457423.99897803
13,1.1,voorbereidende werken,39.375,38.98,39.77,2012-11-05 08:00:00,2012-12-14 17:00:00,,155859.599374995
1,1.1.1,beschoeide sleuf,14.375,11.5,17.25,2012-11-05 08:00:00,2012-11-19 17:00:00,,23171.2797851563
2,1.1.2,funderingen voor tijdelijke structuur bovenleidingen,11.375,9.1,13.65,2012-11-08 08:00:00,2012-11-19 17:00:00,,16851.83984375
3,1.1.3,tijdelijke structuur overname bovenleiding,10.375,8.3,12.45,2012-11-09 08:00:00,2012-11-19 17:00:00,,14745.3598632813
4,1.1.4,aanpassing doorgang mindervaliden perron A,8.375,6.7,10.05,2012-11-12 08:00:00,2012-11-20 17:00:00,,14745.3598632813
5,1.1.5,overdracht spoor D,0.375,0.3,0.45,2012-11-09 08:00:00,2012-11-09 17:00:00,,2106.47998046875
6,1.1.6,plaatsing oranje veiligheidsnet,7.375,5.9,8.85,2012-11-12 08:00:00,2012-11-19 17:00:00,,12638.8798828125
7,1.1.7,aanpassing signalisatie perron A,11.375,9.1,13.65,2012-11-26 08:00:00,2012-12-07 17:00:00,,21064.7998046875
8,1.1.8,opritten toegang spoorniveau,15.375,12.3,18.45,2012-11-26 08:00:00,2012-12-11 17:00:00,,25257.6005859375
9,1.1.9,Afsluiting zone werf (perron A),15.375,12.3,18.45,2012-11-29 08:00:00,2012-12-14 17:00:00,,25277.759765625
10,1.1.10,nieuwe verlichting perron A,0.375,0.3,0.45,2012-11-05 08:00:00,2012-11-05 17:00:00,,0.0799999982118606
11,1.1.11,Fundering voor torenkraan,0.375,0.3,0.45,2012-11-05 08:00:00,2012-11-05 17:00:00,,0.0799999982118606
12,1.1.12,Installatie torenkraan,0.375,0.3,0.45,2012-11-05 08:00:00,2012-11-05 17:00:00,,0.0799999982118606
65,1.2,Grondwerken,214.375,212.23,216.52,2012-11-05 08:00:00,2013-06-07 17:00:00,,69219.9191955477
24,1.2.1,Zone 1,113.375,112.24,114.51,2012-11-05 08:00:00,2013-02-26 17:00:00,,12281.5998516828
14,1.2.1.1,opbraakwerken perron,15.375,12.3,18.45,2012-12-03 08:00:00,2012-12-18 17:00:00,,587.519989013672
15,1.2.1.2,beschoeiing,38.375,30.7,46.05,2012-12-10 08:00:00,2013-01-17 17:00:00,,3343.11996459961
16,1.2.1.3,afbraakwerken luifel,31.375,25.1,37.65,2012-12-14 08:00:00,2013-01-14 17:00:00,,1077.1199798584
17,1.2.1.4,beschoeiing,24.375,19.5,29.25,2013-01-07 08:00:00,2013-01-31 17:00:00,,2190.31997680664
18,1.2.1.5,grondwerken,13.375,10.7,16.05,2013-01-18 08:00:00,2013-01-31 17:00:00,,1152.79998779297
19,1.2.1.6,verankering beschoeiing,5.375,4.3,6.45,2013-01-24 08:00:00,2013-01-29 17:00:00,,461.119995117187
20,1.2.1.7,grondwerken,15.375,12.3,18.45,2013-01-28 08:00:00,2013-02-12 17:00:00,,1383.35998535156
21,1.2.1.8,aanpassing oprit toegang naar spoor,16.375,13.1,19.65,2013-02-05 08:00:00,2013-02-21 17:00:00,,1498.63998413086
22,1.2.1.9,afbraak wegtunnel,15.375,12.3,18.45,2013-02-11 08:00:00,2013-02-26 17:00:00,,587.519989013672
23,1.2.1.10,afbraak wegtunnel,0.375,0.3,0.45,2012-11-05 08:00:00,2012-11-05 17:00:00,,0.0799999982118606
41,1.2.2,Zone 2,214.375,212.23,216.52,2012-11-05 08:00:00,2013-06-07 17:00:00,,39355.0395642072
25,1.2.2.1,beschoeide sleuf,23.375,18.7,28.05,2012-11-13 08:00:00,2012-12-06 17:00:00,,2075.03997802734
26,1.2.2.2,opbraakwerken perron,38.375,30.7,46.05,2012-12-11 08:00:00,2013-01-18 17:00:00,,1419.83997344971
27,1.2.2.3,afbraakwerken luifel,24.375,19.5,29.25,2013-01-07 08:00:00,2013-01-31 17:00:00,,930.23998260498
28,1.2.2.4,beschoeide sleuf,38.375,30.7,46.05,2012-12-03 08:00:00,2013-01-10 17:00:00,,3343.11996459961
29,1.2.2.5,grondwerken perron op volle grond,48.375,38.7,58.05,2012-12-11 08:00:00,2013-01-28 17:00:00,,4034.79995727539
30,1.2.2.6,eerste wand koker in perron op volle grond,56.375,45.1,67.65,2012-12-20 08:00:00,2013-02-14 17:00:00,,4726.47994995117
31,1.2.2.7,beschoeiiing funderingen palen bovenleiding,17.375,13.9,20.85,2013-01-11 08:00:00,2013-01-28 17:00:00,,1383.35998535156
32,1.2.2.8,funderingsmassieven in perron,34.375,27.5,41.25,2013-01-29 08:00:00,2013-03-04 17:00:00,,2881.99996948242
33,1.2.2.9,perron volle grond,59.375,47.5,71.25,2013-02-15 08:00:00,2013-04-15 17:00:00,,4841.75994873047
34,1.2.2.10,eerste wand koker in perron volle grond,38.375,30.7,46.05,2013-03-22 08:00:00,2013-04-29 17:00:00,,3112.55996704101
35,1.2.2.11,perron volle grond,50.375,40.3,60.45,2013-04-18 08:00:00,2013-06-07 17:00:00,,4265.35995483398
36,1.2.2.12,beschoeiing,25.375,20.3,30.45,2013-01-18 08:00:00,2013-02-12 17:00:00,,2075.03997802734
37,1.2.2.13,grondwerken,16.375,13.1,19.65,2013-02-05 08:00:00,2013-02-21 17:00:00,,1498.63998413086
38,1.2.2.14,verankering beschoeiing,7.375,5.9,8.85,2013-02-11 08:00:00,2013-02-18 17:00:00,,691.679992675781
39,1.2.2.15,grondwerken,25.375,20.3,30.45,2013-02-14 08:00:00,2013-03-11 17:00:00,,2075.03997802734
40,1.2.2.16,Afbraakwerken wegtunnel,0.375,0.3,0.45,2012-11-05 08:00:00,2012-11-05 17:00:00,,0.0799999982118606
50,1.2.3,Zone 3,95.375,94.42,96.33,2012-12-21 08:00:00,2013-03-26 17:00:00,,6402.23991394043
42,1.2.3.1,Opbraakwerken perron,31.375,25.1,37.65,2012-12-21 08:00:00,2013-01-21 17:00:00,,1077.1199798584
43,1.2.3.2,afbraakwerken luifel,15.375,12.3,18.45,2013-01-17 08:00:00,2013-02-01 17:00:00,,587.519989013672
44,1.2.3.3,Afbraakwerken reizigerstunnel,3.375,2.7,4.05,2013-02-18 08:00:00,2013-02-21 17:00:00,,195.839996337891
45,1.2.3.4,Voorlopige trap toegang perron A,15.375,12.3,18.45,2013-02-18 08:00:00,2013-03-05 17:00:00,,1383.35998535156
46,1.2.3.5,Afbraakwerken reizigerstunnel,3.375,2.7,4.05,2013-03-04 08:00:00,2013-03-07 17:00:00,,195.839996337891
47,1.2.3.6,Voorlopige toegang perron A,15.375,12.3,18.45,2013-03-04 08:00:00,2013-03-19 17:00:00,,1383.35998535156
48,1.2.3.7,Afbraakwerken reizigerstunnel,3.375,2.7,4.05,2013-03-11 08:00:00,2013-03-14 17:00:00,,195.839996337891
49,1.2.3.8,grondwerken onder reizigerstunnel,15.375,12.3,18.45,2013-03-11 08:00:00,2013-03-26 17:00:00,,1383.35998535156
64,1.2.4,Zone 4,149.375,147.88,150.87,2012-11-05 08:00:00,2013-04-03 17:00:00,,11181.0398657173
51,1.2.4.1,opbraakwerken perron,25.375,20.3,30.45,2013-01-11 08:00:00,2013-02-05 17:00:00,,881.279983520508
52,1.2.4.2,afbraakwerken luifel,15.375,12.3,18.45,2013-01-24 08:00:00,2013-02-08 17:00:00,,587.519989013672
53,1.2.4.3,beschoeiing luifel,34.375,27.5,41.25,2013-02-01 08:00:00,2013-03-07 17:00:00,,2881.99996948242
54,1.2.4.4,grondwerken,16.375,13.1,19.65,2013-02-19 08:00:00,2013-03-07 17:00:00,,1498.63998413086
55,1.2.4.5,verankering beschoeiing,4.375,3.5,5.25,2013-02-25 08:00:00,2013-03-01 17:00:00,,576.399993896484
56,1.2.4.6,grondwerken tussen reizigers/dienst tunnel,15.375,12.3,18.45,2013-02-28 08:00:00,2013-03-15 17:00:00,,1383.35998535156
57,1.2.4.7,grondwerken tussen dienst/tram tunnel,15.375,12.3,18.45,2013-03-07 08:00:00,2013-03-22 17:00:00,,1383.35998535156
58,1.2.4.8,afbraakwerken diensttunnel,6.375,5.1,7.65,2013-03-15 08:00:00,2013-03-21 17:00:00,,244.799995422363
59,1.2.4.9,afbraakwerken tramtunnel,4.375,3.5,5.25,2013-03-18 08:00:00,2013-03-22 17:00:00,,244.799995422363
60,1.2.4.10,voorlopige toegang perron A,16.375,13.1,19.65,2013-03-18 08:00:00,2013-04-03 17:00:00,,1498.63998413086
61,1.2.4.11,beschoeiing aansluitend diensttunnel,0.375,0.3,0.45,2012-11-05 08:00:00,2012-11-05 17:00:00,,0.0799999982118606
62,1.2.4.12,Afbraakwerken wand en vloerplaat tramtunnel,0.375,0.3,0.45,2012-11-05 08:00:00,2012-11-05 17:00:00,,0.0799999982118606
63,1.2.4.13,Afbraakwerken wand en vloerplaat tramtunnel,0.375,0.3,0.45,2012-11-05 08:00:00,2012-11-05 17:00:00,,0.0799999982118606
89,1.3,Funderingen,151.083333333333,149.57,152.59,2013-01-28 08:00:00,2013-06-28 10:00:00,,29034.7197418213
70,1.3.1,Zone 1,70.375,69.67,71.08,2013-02-07 08:00:00,2013-04-18 17:00:00,,5971.67994689941
66,1.3.1.1,Diepe funderingen,25.375,20.3,30.45,2013-02-07 08:00:00,2013-03-04 17:00:00,,1235.51998901367
67,1.3.1.2,Funderingsmassieven,36.375,29.1,43.65,2013-02-14 08:00:00,2013-03-22 17:00:00,,1853.27998352051
68,1.3.1.3,Diepe funderingen,22.375,17.9,26.85,2013-03-07 08:00:00,2013-03-29 17:00:00,,1166.87998962402
69,1.3.1.4,Funderingsmassieven,34.375,27.5,41.25,2013-03-15 08:00:00,2013-04-18 17:00:00,,1715.99998474121
81,1.3.2,Zone 2,151.083333333333,149.57,152.59,2013-01-28 08:00:00,2013-06-28 10:00:00,,13522.0798797607
71,1.3.2.1,VP GV onder lichtstraat,24.375,19.5,29.25,2013-01-28 08:00:00,2013-02-21 17:00:00,,1304.15998840332
72,1.3.2.2,VP GV onder lichtstraat (deel 2),25.375,20.3,30.45,2013-02-15 08:00:00,2013-03-12 17:00:00,,1235.51998901367
73,1.3.2.3,VP GV onder lichtstraat (deel 3),25.375,20.3,30.45,2013-03-01 08:00:00,2013-03-26 17:00:00,,1235.51998901367
74,1.3.2.4,VP GV onder lichtstraat (deel 4),34.375,27.5,41.25,2013-03-05 08:00:00,2013-04-08 17:00:00,,1715.99998474121
75,1.3.2.5,Installaties voor baretten,7.375,5.9,8.85,2013-02-19 08:00:00,2013-02-26 17:00:00,,411.83999633789
76,1.3.2.6,Baretten,35.375,28.3,42.45,2013-02-28 08:00:00,2013-04-04 17:00:00,,1784.63998413086
77,1.3.2.7,VP op stross 1,39.375,31.5,47.25,2013-04-04 08:00:00,2013-05-13 17:00:00,,1921.91998291016
78,1.3.2.8,VP op stross 2,24.0,19.2,28.8,2013-04-30 10:00:00,2013-05-24 10:00:00,,1235.51998901367
79,1.3.2.9,VP op stross 3,28.0,22.4,33.6,2013-05-15 10:00:00,2013-06-12 10:00:00,,1372.79998779297
80,1.3.2.10,VP op stross 4,25.0,20.0,30.0,2013-06-03 10:00:00,2013-06-28 10:00:00,,1304.15998840332
88,1.3.3,Zone 3,82.375,81.55,83.2,2013-03-21 08:00:00,2013-06-11 17:00:00,,9540.95991516113
82,1.3.3.1,VP GV onder lichtstraat (deel 5),22.375,17.9,26.85,2013-03-26 08:00:00,2013-04-17 17:00:00,,1166.87998962402
83,1.3.3.2,VP GV onder lichtstraat (deel 6),34.375,27.5,41.25,2013-03-29 08:00:00,2013-05-02 17:00:00,,1715.99998474121
84,1.3.3.3,Baretten,29.375,23.5,35.25,2013-03-21 08:00:00,2013-04-19 17:00:00,,1510.07998657226
85,1.3.3.4,VP op stross 5,40.375,32.3,48.45,2013-04-24 08:00:00,2013-06-03 17:00:00,,1990.5599822998
86,1.3.3.5,VP op stross 6,23.375,18.7,28.05,2013-04-24 08:00:00,2013-05-17 17:00:00,,1235.51998901367
87,1.3.3.6,VP op stross 7,39.375,31.5,47.25,2013-05-03 08:00:00,2013-06-11 17:00:00,,1921.91998291016
