node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Project,897.0,897.0,897.0,2016-03-01 08:00:00,2019-08-07 17:00:00,,0
1,1.1,DP4 TRAMLIJN EILANDJE,897.0,897.0,897.0,2016-03-01 08:00:00,2019-08-07 17:00:00,,0
2,1.1.1,4 TRAMLIJN EILANDJE,897.0,897.0,897.0,2016-03-01 08:00:00,2019-08-07 17:00:00,,0
3,1.1.1.1,START MS TRAMLIJN EILANDJE,0.0,0.0,0.0,2016-03-01 08:00:00,2016-02-29 17:00:00,,0
4,1.1.1.2,FINISH MS TRAMLIJN EILANDJE,0.0,0.0,0.0,2019-08-07 17:00:00,2019-08-07 17:00:00,,0
5,1.1.1.3,Uitgaande relaties vanuit DP4,0.0,0.0,0.0,2019-02-21 17:00:00,2019-02-21 17:00:00,,0
6,1.1.1.3.1,Contractmijlpaal uit DP4 naar DMP t.b.v. BCT5b  (Tram Kattendokdijk Oostkaai-Mexicostraat),0.0,0.0,0.0,2019-02-21 17:00:00,2019-02-21 17:00:00,,0
7,1.1.1.3.2,Afronden opleverpunten t.b.v. BCT5b (Tram Kattendokdijk Oostkaai-Mexicostraat),0.0,0.0,0.0,2019-02-21 17:00:00,2019-02-21 17:00:00,,0
8,1.1.1.4,Voorbereiding,408.0,408.0,408.0,2016-03-01 08:00:00,2017-09-21 17:00:00,,0
9,1.1.1.4.1,Voorafgaande verplaatsingswerken nutsleidingen,47.0,37.6,56.4,2016-03-01 08:00:00,2016-05-04 17:00:00,,0
10,1.1.1.4.2,Aanvangsdatum DP4 Eilandje,0.0,0.0,0.0,2016-04-29 17:00:00,2016-04-29 17:00:00,,0
11,1.1.1.4.3,"Peilen, (ver)plaatsen en aanpassen nutsleidingen",30.0,24.0,36.0,2016-05-03 08:00:00,2016-06-13 17:00:00,,0
12,1.1.1.4.4,Werken door derden op perrons ifv trambaan (leuningen),120.0,96.0,144.0,2017-01-24 08:00:00,2017-07-10 17:00:00,,0
13,1.1.1.4.5,"Werken door derden (straatobjecten, aansluitingen ervan, infoborden, camera’s, …)",113.0,90.4,135.6,2017-02-01 08:00:00,2017-07-07 17:00:00,,0
14,1.1.1.4.6,Groenaanleg en beplantingen (alle zones),15.0,12.0,18.0,2017-09-01 08:00:00,2017-09-21 17:00:00,,0
15,1.1.1.5,Deelfase 1A,17.0,17.0,17.0,2016-04-29 17:00:00,2016-05-24 17:00:00,,0
16,1.1.1.5.1,start,0.0,0.0,0.0,2016-04-29 17:00:00,2016-04-29 17:00:00,,0
17,1.1.1.5.2,einde,0.0,0.0,0.0,2016-05-24 17:00:00,2016-05-24 17:00:00,,0
18,1.1.1.6,start,49.0,49.0,49.0,2016-05-24 17:00:00,2016-08-01 17:00:00,,0
19,1.1.1.6.1,????????,0.0,0.0,0.0,2016-05-24 17:00:00,2016-05-24 17:00:00,,0
20,1.1.1.6.2,einde,0.0,0.0,0.0,2016-08-01 17:00:00,2016-08-01 17:00:00,,0
21,1.1.1.7,Deelfase 1C,53.0,53.0,53.0,2016-08-01 17:00:00,2016-10-13 17:00:00,,0
22,1.1.1.7.1,start,0.0,0.0,0.0,2016-08-01 17:00:00,2016-08-01 17:00:00,,0
23,1.1.1.7.2,einde,0.0,0.0,0.0,2016-10-13 17:00:00,2016-10-13 17:00:00,,0
24,1.1.1.8,Deelfase 2A,16.0,16.0,16.0,2016-10-13 17:00:00,2016-11-04 17:00:00,,0
25,1.1.1.8.1,start,0.0,0.0,0.0,2016-10-13 17:00:00,2016-10-13 17:00:00,,0
26,1.1.1.8.2,einde,0.0,0.0,0.0,2016-11-04 17:00:00,2016-11-04 17:00:00,,0
27,1.1.1.9,Deelfase 2B,146.0,146.0,146.0,2016-11-04 17:00:00,2017-05-29 17:00:00,,0
28,1.1.1.9.1,start,0.0,0.0,0.0,2016-11-04 17:00:00,2016-11-04 17:00:00,,0
29,1.1.1.9.2,einde,0.0,0.0,0.0,2017-05-29 17:00:00,2017-05-29 17:00:00,,0
30,1.1.1.10,Voorbereidende werken deelfase 1A,13.0,13.0,13.0,2016-05-03 08:00:00,2016-05-19 17:00:00,,0
31,1.1.1.10.1,Aanpassingen kruispunt Amsterdamstraat en Bataviastraat,2.0,1.6,2.4,2016-05-03 08:00:00,2016-05-04 17:00:00,,0
32,1.1.1.10.2,Aanpassen VRI kruispunt Amsterdamstraat,1.0,0.8,1.2,2016-05-09 08:00:00,2016-05-09 17:00:00,,0
33,1.1.1.10.3,Fasewissel deel 1: Amsterdamstraat -> Bonapartedok (verkeer westelijke weghelft),1.0,0.8,1.2,2016-05-09 08:00:00,2016-05-09 17:00:00,,0
34,1.1.1.10.4,Aanpassingswerken zone Brouwersvliet,5.0,4.0,6.0,2016-05-09 08:00:00,2016-05-13 17:00:00,,0
35,1.1.1.10.5,Aanpassen VRI kruispunt Brouwersvliet,3.0,2.4,3.6,2016-05-17 08:00:00,2016-05-19 17:00:00,,0
36,1.1.1.10.6,Fasewissel deel 2: Bonapartedok -> Sint-Pietersvliet (verkeer westelijke weghelft),1.0,0.8,1.2,2016-05-17 08:00:00,2016-05-17 17:00:00,,0
37,1.1.1.11,41 Aansluiting Katelijnevest : zie 423 St-Pietersvliet,4.0,4.0,4.0,2017-05-19 17:00:00,2017-05-25 17:00:00,,0
38,1.1.1.11.1,start,0.0,0.0,0.0,2017-05-19 17:00:00,2017-05-19 17:00:00,,0
39,1.1.1.11.2,einde,0.0,0.0,0.0,2017-05-25 17:00:00,2017-05-25 17:00:00,,0
40,1.1.1.12,42 Rijnkaai Zuid,358.0,358.0,358.0,2016-05-03 08:00:00,2017-09-14 17:00:00,,0
41,1.1.1.12.1,Afwerking sporen volledige zone Rijnkaai Zuid,4.0,3.2,4.8,2017-03-28 08:00:00,2017-03-31 17:00:00,,0
42,1.1.1.12.2,421St-Pietersvliet (Zone 9),171.0,171.0,171.0,2016-09-28 17:00:00,2017-05-25 17:00:00,,0
43,1.1.1.12.2.1,"Voorbereidingen, signalisatie en opbraakwerken",5.0,4.0,6.0,2016-10-17 08:00:00,2016-10-21 17:00:00,,0
44,1.1.1.12.2.2,Wachtbuizen en Spoorbedding,18.0,14.4,21.6,2017-01-23 08:00:00,2017-02-15 17:00:00,,0
45,1.1.1.12.2.3,wissels St-Pietersvliet,119.0,119.0,119.0,2016-09-28 17:00:00,2017-03-14 17:00:00,,0
46,1.1.1.12.2.3.1,Leveren kruis 160K001,0.0,0.0,0.0,2016-09-28 17:00:00,2016-09-28 17:00:00,,0
47,1.1.1.12.2.3.2,Plaatsen wissels kruis,12.0,9.6,14.4,2017-02-27 08:00:00,2017-03-14 17:00:00,,0
48,1.1.1.12.2.4,OV kabel,1.0,0.8,1.2,2017-01-27 08:00:00,2017-01-27 17:00:00,,0
49,1.1.1.12.2.5,Boren bvl palen,10.0,8.0,12.0,2017-01-30 08:00:00,2017-02-10 17:00:00,,0
50,1.1.1.12.2.6,Plaatsen armen,4.0,3.2,4.8,2017-03-28 08:00:00,2017-03-31 17:00:00,,0
51,1.1.1.12.2.7,Bestratingen (exclusief voetpad),34.0,27.2,40.8,2017-02-14 08:00:00,2017-03-31 17:00:00,,0
52,1.1.1.12.2.8,Asfalt fietsstrook,1.0,0.8,1.2,2017-04-13 08:00:00,2017-04-13 17:00:00,,0
53,1.1.1.12.2.9,Asfalt fietstrook gedeelte bijzetten,1.0,0.8,1.2,2017-04-20 08:00:00,2017-04-20 17:00:00,,0
54,1.1.1.12.2.10,"BVL draad afrollen, afstellen en primaire kabels trekken",10.0,8.0,12.0,2017-04-03 08:00:00,2017-04-14 17:00:00,,0
55,1.1.1.12.2.11,BVL afstellen,4.0,3.2,4.8,2017-04-24 08:00:00,2017-04-27 17:00:00,,0
56,1.1.1.12.2.12,Wissels aansluiten en testen,5.0,4.0,6.0,2017-04-20 08:00:00,2017-04-26 17:00:00,,0
57,1.1.1.12.2.13,Plaatsen smeerinstallaties (wachtbuizen),4.0,3.2,4.8,2017-04-18 08:00:00,2017-04-21 17:00:00,,0
58,1.1.1.12.2.14,Aansluiten smeerinstallaties,4.0,3.2,4.8,2017-05-22 08:00:00,2017-05-25 17:00:00,,0
59,1.1.1.12.2.15,Werken nutsleidingen,25.0,20.0,30.0,2017-01-09 08:00:00,2017-02-10 17:00:00,,0
60,1.1.1.12.3,"423 Openbaar domein Rijnkaai Zuid, Tavernierkaai, Van Meterenkaai (Zone 1 tot 6)",358.0,358.0,358.0,2016-05-03 08:00:00,2017-09-14 17:00:00,,0
61,1.1.1.12.3.1,"Peilen, (ver)plaatsen en aanpassen nutsleidingen (in werkzone)",49.0,39.2,58.8,2016-05-03 08:00:00,2016-07-08 17:00:00,,0
