node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
5,1.2.1.1,OFICINAS,2.0,1.0,3.0,2023-04-04 00:00:00,nan,mason,
6,1.2.1.2,ALMACEN,3.0,1.0,5.0,2023-04-01 00:00:00,nan,"painter [1,00 #8]",
7,1.2.1.3,CASETA GUARDIANIA,2.0,1.0,3.0,2023-04-01 00:00:00,nan,mason,
8,1.2.1.4,COMEDOR,3.0,1.0,5.0,2023-04-06 00:00:00,nan,"painter [1,00 #8]",
9,1.2.1.5,VESTUARIO,3.0,1.0,5.0,2023-04-06 00:00:00,nan,"carpenter [1,00 #8]",
10,1.2.1.6,SERVICIOS HIGIENICOS,1.0,0.5,1.5,2023-04-09 00:00:00,nan,"painter [1,00 #8]",
11,1.2.1.7,CERCO PERIMETRICO,2.0,1.0,3.0,2023-04-10 00:00:00,nan,mason,
12,1.2.1.8,CARTEL DE OBRA,1.0,0.5,1.5,2023-04-04 00:00:00,nan,"carpenter [1,00 #8]",
13,1.2.1.9,AGUA PARA LA CONSTRUSSION,80.0,60.0,100.0,2023-04-01 00:00:00,nan,mason,
14,1.2.1.10,"TRAZO,NIVELES Y REPLANTEO",4.0,2.0,6.0,2023-04-11 00:00:00,nan,"carpenter [1,00 #8]",
16,1.2.2.1,"ELABORACION, IMPLEMENTACION Y ADMINISTRACION DEL PLAN DE SEGURIDAD Y SALUD EN EL TRABAJO",115.0,110.0,120.0,2023-04-01 00:00:00,nan,"carpenter [1,00 #8]",
17,1.2.2.2,EQUIPOS DE PROTESSION INDIVIDUAL,90.0,60.0,120.0,2023-04-01 00:00:00,nan,"carpenter [1,00 #8]",
18,1.2.2.3,EQUIPOS DE PROTESSION COLECTIVA,60.0,30.0,90.0,2023-04-01 00:00:00,nan,mason,
19,1.2.2.4,SEÑALIZACION TEMPORAL DE SEGURIDAD,1.0,0.5,1.5,2023-04-01 00:00:00,nan,"carpenter [1,00 #8]",
20,1.2.2.5,CAPACITACION EN SEGURIDAD Y SALUD,115.0,110.0,120.0,2023-04-01 00:00:00,nan,mason,
21,1.2.2.6,RECURSOS PARA RESPUESTA ANTE EMERGENCIAS EN SEGURIDAD Y SALUD DURANTE EL TRABAJO,119.0,110.0,128.0,2023-04-01 00:00:00,nan,"steel worker [1,00 #8]",
23,1.2.3.1,FLETE TERRESTRE,110.0,105.0,115.0,2023-04-01 00:00:00,nan,painter,
25,1.2.4.1,"PLAN PARA LA VIGILANCIA, PREVENCIÓN Y CONTROL DE COVID-19 EN EL TRABAJO",119.0,100.0,138.0,2023-04-01 00:00:00,nan,welder,
27,1.2.5.1,IMPACTO AMBIENTAL,119.0,110.0,128.0,2023-04-01 00:00:00,nan,painter,
29,1.2.6.1,GESTION DE RIESGOS,119.0,115.0,123.0,2023-04-01 00:00:00,nan,mason,
32,1.3.1.1,EXCAVACION MANUAL,10.0,5.0,15.0,2023-04-14 00:00:00,nan,"team subcontractor[1,00 #8]",
34,1.3.1.2.1,RELLENO CON MATERIAL PROPIO SELESSIONADO,3.0,1.0,5.0,2023-07-10 00:00:00,nan,"carpenter [1,00 #8]",
35,1.3.1.2.2,RELLENO CON MATERIAL GRANULAR,12.0,10.0,14.0,2023-05-18 00:00:00,nan,"painter [1,00 #8]",
36,1.3.1.2.3,ELIMINACION DE MATERIAL EXCEDENTE CON MAQUINARIA,10.0,5.0,15.0,2023-04-16 00:00:00,nan,welder,
39,1.3.2.1.1,SOLADO C:H 1:10; E=10 CM,7.0,4.0,10.0,2023-04-24 00:00:00,nan,painter,
41,1.3.2.2.1,CONCRETO F'C=175 KG/CM2,3.0,0.5,5.0,2023-06-10 00:00:00,nan,mason,
42,1.3.2.2.2,ENCOFRADO Y DESENCOFRADO,4.0,2.0,6.0,2023-06-06 00:00:00,nan,painter,
44,1.3.2.3.1,CONCRETO F'C=175 KG/CM2,1.0,0.5,1.5,2023-06-22 00:00:00,nan,painter,
45,1.3.2.3.2,ENCOFRADO Y DESENCOFRADO,1.0,0.5,2.0,2023-06-23 00:00:00,nan,"carpenter [1,00 #8]",
47,1.3.2.4.1,CONCRETO F'C=175 KG/CM2,7.0,4.0,9.0,2023-05-30 00:00:00,nan,mason,
50,1.3.3.1.1,CONCRETO F'C=210 KG/CM2,1.0,0.5,2.0,2023-05-02 00:00:00,nan,painter,
51,1.3.3.1.2,ACERO CORRUGADO FY= 4200 kg/cm2 GRADO 60,1.0,0.5,1.5,2023-05-01 00:00:00,nan,"carpenter [1,00 #8]",
53,1.3.3.2.1,CONCRETO F'C=210 KG/CM2,2.0,1.0,3.0,2023-05-06 00:00:00,nan,mason,
54,1.3.3.2.2,ENCOFRADO Y DESENCOFRADO,3.0,1.0,5.0,2023-05-03 00:00:00,nan,"carpenter [1,00 #8]",
55,1.3.3.2.3,ACERO CORRUGADO FY= 4200 kg/cm2 GRADO 60,3.0,2.0,4.0,2023-05-02 00:00:00,nan,painter,
57,1.3.3.3.1,CONCRETO F'C=210 KG/CM2,1.0,0.25,1.5,2023-05-09 00:00:00,nan,"carpenter [1,00 #8]",
58,1.3.3.3.2,ENCOFRADO Y DESENCOFRADO,2.0,1.0,4.0,2023-05-07 00:00:00,nan,painter,
59,1.3.3.3.3,ACERO CORRUGADO FY= 4200 kg/cm2 GRADO 60,2.0,0.5,3.0,2023-05-05 00:00:00,nan,"carpenter [1,00 #8]",
