node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
10,nan,Stellingen,270.0,270.0,270.0,2022-01-17 08:00:00,nan,"worker[3,00 #8]",
50,nan,Werfinrichting,270.0,216.0,324.0,2022-01-17 08:00:00,nan,"worker[2,00 #8]",
28,nan,Asbestverwijdering,5.0,4.0,6.0,2022-01-17 08:00:00,nan,"worker[5,00 #8]",
101,nan,Afbraakwerken,20.0,16.0,24.0,2022-01-24 08:00:00,nan,"worker[8,00 #8]",
1,nan,Vochtinjecties,5.0,4.0,6.0,2022-02-14 08:00:00,nan,"worker[4,00 #8]",
7,nan,Houtbehandeling,10.0,8.0,12.0,2022-02-14 08:00:00,nan,"worker[4,00 #8]",
2,nan,Grondwerken,20.0,16.0,24.0,2022-02-21 08:00:00,nan,"worker[6,00 #8]",
3,nan,Ruwbouwwerken,20.0,16.0,24.0,2022-03-14 08:00:00,nan,"worker[8,00 #8]",
4,nan,Brandwerend schilderwerk,5.0,4.0,6.0,2022-04-04 08:00:00,nan,"worker[2,00 #8]",
5,nan,Timmer- & binnenschrijnwerk (dakconstructie + roostering): platte balken onder dak + vakantie??,14.0,11.2,16.8,2022-04-19 08:00:00,nan,"worker[8,00 #8]",
15,nan,Buitenschrijnwerk-ALU,10.0,8.0,12.0,2022-05-02 08:00:00,nan,"worker[6,00 #8]",
8,nan,Platte & hellende daken (incl. isolatiewerken),10.0,8.0,12.0,2022-05-02 08:00:00,nan,"worker[5,00 #8]",
34,nan,Elektriciteit - leidingwerk,30.0,24.0,36.0,2022-05-16 08:00:00,nan,"worker[6,00 #8]",
39,nan,Sanitair - leidingwerk,30.0,24.0,36.0,2022-05-16 08:00:00,nan,"worker[6,00 #8]",
9,nan,Dekvloeren,5.0,4.0,6.0,2022-06-27 08:00:00,nan,"worker[4,00 #8]",
11,nan,Isolatiewerken,5.0,4.0,6.0,2022-06-27 08:00:00,nan,"worker[2,00 #8]",
20,nan,Metaalconstructies (leuning + ladder),5.0,4.0,6.0,2022-06-27 08:00:00,nan,"worker[2,00 #8]",
14,nan,Buitenbepleistering,15.0,12.0,18.0,2022-06-27 08:00:00,nan,"worker[4,00 #8]",
26,nan,Pleisterwerken,15.0,12.0,18.0,2022-06-27 08:00:00,nan,"worker[5,00 #8]",
42,nan,Lift,15.0,12.0,18.0,2022-08-08 08:00:00,nan,"worker[3,00 #8]",
49,nan,Sanitair & Elektriciteit in lichte wanden,15.0,12.0,18.0,2022-08-08 08:00:00,nan,"worker[2,00 #8]",
6,nan,Timmer- & binnenschrijnwerk (lichte wanden),15.0,12.0,18.0,2022-08-29 08:00:00,nan,"worker[4,00 #8]",
16,nan,Tegelvloeren,10.0,8.0,12.0,2022-09-12 08:00:00,nan,"worker[4,00 #8]",
17,nan,Soepele Vloerbekledingen,10.0,8.0,12.0,2022-09-12 08:00:00,nan,"worker[2,00 #8]",
18,nan,Timmer- & binnenschrijnwerk (deuren + trap),7.0,5.6,8.4,2022-09-26 08:00:00,nan,"worker[3,00 #8]",
19,nan,Sanitaire wanden,7.0,5.6,8.4,2022-09-26 08:00:00,nan,"worker[3,00 #8]",
50,nan,Afwerking lift,10.0,8.0,12.0,2022-10-04 08:00:00,nan,"worker[8,00 #8]",
40,nan,Afwerking elektriciteit,10.0,8.0,12.0,2022-10-04 08:00:00,nan,"worker[6,00 #8]",
45,nan,Afwerking sanitair,10.0,8.0,12.0,2022-10-04 08:00:00,nan,"worker[6,00 #8]",
100,nan,oplevering,1.0,0.8,1.2,2022-10-17 08:00:00,nan,,
