node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Government Office Building,553.375,547.84,558.91,2008-12-01 08:00:00,2010-06-07 17:00:00,,19429810.5131836
456,1.1,werfinrichting,11.375,9.1,13.65,2008-12-01 08:00:00,2008-12-12 17:00:00,,867102.0
468,1.2,grondwerken en fundering ondergrondse werken,260.375,257.77,262.98,2008-12-08 08:00:00,2009-08-25 17:00:00,,533489.442810059
458,1.2.1,installatie bronbemaling,4.375,3.5,5.25,2008-12-08 08:00:00,2008-12-12 17:00:00,,907.580017089844
459,1.2.2,bronbemaling,253.375,202.7,304.05,2008-12-15 08:00:00,2009-08-25 17:00:00,,27227.419921875
460,1.2.3,grondwerken toren,25.375,20.3,30.45,2008-12-15 08:00:00,2009-01-09 17:00:00,,104828.328125
461,1.2.4,voorbereiding secanspalen parking,25.375,20.3,30.45,2008-12-15 08:00:00,2009-01-09 17:00:00,,9333.330078125
462,1.2.5,secanspalen parking,11.375,9.1,13.65,2009-01-12 08:00:00,2009-01-23 17:00:00,,9333.330078125
463,1.2.6,grondwerken parking,30.375,24.3,36.45,2009-01-26 08:00:00,2009-02-25 17:00:00,,241105.15625
464,1.2.7,ankers secanspalen eerste rij,6.375,5.1,7.65,2009-02-03 08:00:00,2009-02-09 17:00:00,,4666.669921875
457,1.2.8,ankers secanspalen tweede rij,6.375,5.1,7.65,2009-02-12 08:00:00,2009-02-18 17:00:00,,4666.56982421875
465,1.2.9,funderingsplaat gebouw,18.375,14.7,22.05,2009-01-12 08:00:00,2009-01-30 17:00:00,,20710.529296875
466,1.2.10,trekankers funderingsplaat parking,11.375,9.1,13.65,2009-02-26 08:00:00,2009-03-09 17:00:00,,90000.0
467,1.2.11,funderingsplaat parking,20.375,16.3,24.45,2009-03-10 08:00:00,2009-03-30 17:00:00,,20710.529296875
436,1.3,100 ruwbouw,346.375,342.91,349.84,2008-12-15 08:00:00,2009-11-26 17:00:00,,5887941.97119141
416,1.3.1,18 radier,107.375,106.3,108.45,2008-12-15 08:00:00,2009-04-01 17:00:00,,329571.486816406
1,1.3.1.1,radier torengebouw,42.375,33.9,50.85,2008-12-15 08:00:00,2009-01-26 17:00:00,,9394.740234375
2,1.3.1.2,opstellen torenkraan TK2,1.375,1.1,1.65,2009-01-21 08:00:00,2009-01-22 17:00:00,,26178.669921875
3,1.3.1.3,berlinerwand parking + einde grondwerken,18.375,14.7,22.05,2009-02-02 08:00:00,2009-02-20 17:00:00,,152015.21875
4,1.3.1.4,trekankers parking,11.375,9.1,13.65,2009-02-26 08:00:00,2009-03-09 17:00:00,,90000.0
5,1.3.1.5,radier parking,20.375,16.3,24.45,2009-03-10 08:00:00,2009-03-30 17:00:00,,6710.52978515625
6,1.3.1.6,opstellen torenkraan TK1 in parking,6.375,5.1,7.65,2009-03-26 08:00:00,2009-04-01 17:00:00,,45272.328125
475,1.3.2,40 ruwbouw boven -2 toren,18.375,14.7,22.05,2009-02-02 08:00:00,2009-02-20 17:00:00,,378979.8125
476,1.3.3,45 ruwbouw boven -2 parking,29.375,23.5,35.25,2009-03-31 08:00:00,2009-04-29 17:00:00,,505306.40625
477,1.3.4,50 ruwbouw boven -1 toren,18.375,14.7,22.05,2009-03-09 08:00:00,2009-03-27 17:00:00,,378979.8125
478,1.3.5,55 ruwbouw boven -1 parking,33.375,26.7,40.05,2009-04-30 08:00:00,2009-06-02 17:00:00,,505306.40625
479,1.3.6,60 ruwbouw boven gelijkvloers,11.375,9.1,13.65,2009-03-30 08:00:00,2009-04-10 17:00:00,,252653.203125
480,1.3.7,70 ruwbouw boven +1,13.375,10.7,16.05,2009-04-15 08:00:00,2009-04-28 17:00:00,,252653.203125
481,1.3.8,80 ruwbouw boven +2,14.375,11.5,17.25,2009-04-29 08:00:00,2009-05-13 17:00:00,,252653.203125
482,1.3.9,90 ruwbouw boven +3,15.375,12.3,18.45,2009-05-14 08:00:00,2009-05-29 17:00:00,,252653.203125
483,1.3.10,100 ruwbouw boven +4,13.375,10.7,16.05,2009-06-02 08:00:00,2009-06-15 17:00:00,,252653.203125
484,1.3.11,110 ruwbouw boven +5,13.375,10.7,16.05,2009-06-16 08:00:00,2009-06-29 17:00:00,,252653.203125
485,1.3.12,120 ruwbouw boven +6,34.375,27.5,41.25,2009-06-30 08:00:00,2009-08-03 17:00:00,,252653.203125
486,1.3.13,130 ruwbouw boven +7,14.375,11.5,17.25,2009-08-04 08:00:00,2009-08-18 17:00:00,,252653.203125
487,1.3.14,140 ruwbouw boven +8,13.375,10.7,16.05,2009-08-19 08:00:00,2009-09-01 17:00:00,,252653.203125
488,1.3.15,150 ruwbouw boven +9,13.375,10.7,16.05,2009-09-02 08:00:00,2009-09-15 17:00:00,,252653.203125
489,1.3.16,160 ruwbouw boven +10,13.375,10.7,16.05,2009-09-16 08:00:00,2009-09-29 17:00:00,,252653.203125
490,1.3.17,170 ruwbouw boven +11,13.375,10.7,16.05,2009-09-30 08:00:00,2009-10-13 17:00:00,,252653.203125
491,1.3.18,180 ruwbouw boven +12,13.375,10.7,16.05,2009-10-14 08:00:00,2009-10-27 17:00:00,,252653.203125
492,1.3.19,190 ruwbouw boven +13,15.375,12.3,18.45,2009-10-28 08:00:00,2009-11-12 17:00:00,,252653.203125
493,1.3.20,200 ruwbouw boven +14,13.375,10.7,16.05,2009-11-13 08:00:00,2009-11-26 17:00:00,,252653.203125
438,1.4,150 dak,225.375,223.12,227.63,2009-06-03 08:00:00,2010-01-14 17:00:00,,597815.12109375
437,1.4.1,301 dakwerken,225.375,223.12,227.63,2009-06-03 08:00:00,2010-01-14 17:00:00,,597815.12109375
182,1.4.1.1,hellingsbeton,6.375,5.1,7.65,2009-11-27 08:00:00,2009-12-03 17:00:00,,66991.65625
183,1.4.1.2,dakwerken niveau +2,6.375,5.1,7.65,2009-10-14 08:00:00,2009-10-20 17:00:00,,46575.51953125
184,1.4.1.3,dakwerken gebouw,34.375,27.5,41.25,2009-12-11 08:00:00,2010-01-14 17:00:00,,139726.546875
185,1.4.1.4,installatie gevelreiniging,6.375,5.1,7.65,2009-12-04 08:00:00,2009-12-10 17:00:00,,91163.390625
186,1.4.1.5,dakwerken parkingdak,34.375,27.5,41.25,2009-06-03 08:00:00,2009-07-07 17:00:00,,232877.578125
187,1.4.1.6,beschermbeton dak,34.375,27.5,41.25,2009-07-08 08:00:00,2009-08-11 17:00:00,,20480.4296875
440,1.5,180 gevel,282.375,279.55,285.2,2009-06-30 08:00:00,2010-04-08 17:00:00,,3310363.42993164
439,1.5.1,311 gordijngevel,282.375,279.55,285.2,2009-06-30 08:00:00,2010-04-08 17:00:00,,3310363.42993164
188,1.5.1.1,montage hefsteigers,13.375,10.7,16.05,2009-08-26 08:00:00,2009-09-08 17:00:00,,2053.96997070313
189,1.5.1.2,gevel 0 - 2,105.375,84.3,126.45,2009-06-30 08:00:00,2009-10-13 17:00:00,,1071966.0
190,1.5.1.3,gevel 3-5,37.1666666666667,29.73,44.6,2009-09-09 08:00:00,2009-10-16 12:00:00,,491317.75
191,1.5.1.4,gevel 6-9,41.1666666666667,32.93,49.4,2009-10-16 13:00:00,2009-11-26 17:00:00,,491317.75
192,1.5.1.5,gevel 9-boven,111.375,89.1,133.65,2009-11-27 08:00:00,2010-03-18 17:00:00,,1250627.0
193,1.5.1.6,afbouw steigers,20.375,16.3,24.45,2010-03-19 08:00:00,2010-04-08 17:00:00,,3080.9599609375
