node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Industrial Complex (1),358.375,354.79,361.96,2012-10-29 08:00:00,2013-10-22 17:00:00,,2244090.73960693
67,1.1,Ruwbouw,214.375,212.23,216.52,2012-10-29 08:00:00,2013-05-31 17:00:00,,1401806.72727783
6,1.1.1,Funderingswerken,92.0416666666667,91.12,92.96,2012-10-29 08:00:00,2013-01-29 09:00:00,,102786.489553222
1,1.1.1.1,Paalfundering,11.375,9.1,13.65,2012-10-29 08:00:00,2012-11-09 17:00:00,,33118.4008789062
2,1.1.1.2,Knippen van de palen,0.375,0.3,0.45,2012-11-15 08:00:00,2012-11-15 17:00:00,,1586.07995605469
3,1.1.1.3,Grondwerken,28.375,22.7,34.05,2012-11-13 08:00:00,2012-12-11 17:00:00,,20087.7599487304
4,1.1.1.4,Funderingsbalken,37.375,29.9,44.85,2012-12-03 08:00:00,2013-01-09 17:00:00,,47994.2387695313
5,1.1.1.5,Funderingsbalken en aanpassingen,0.0416666666666667,0.03,0.05,2013-01-29 08:00:00,2013-01-29 09:00:00,,0.00999999977648258
17,1.1.2,Bovenbouw A,31.375,31.06,31.69,2013-01-08 08:00:00,2013-02-08 17:00:00,,399881.04296875
12,1.1.2.1,Montage prefab,27.375,27.1,27.65,2013-01-08 08:00:00,2013-02-04 17:00:00,,361653.762207031
7,1.1.2.1.1,Kolommen,3.375,2.7,4.05,2013-01-08 08:00:00,2013-01-11 17:00:00,,13493.1201171875
8,1.1.2.1.2,balken,1.375,1.1,1.65,2013-01-17 08:00:00,2013-01-18 17:00:00,,3980.47998046875
9,1.1.2.1.3,Structurele wand,2.375,1.9,2.85,2013-01-14 08:00:00,2013-01-16 17:00:00,,292999.921875
10,1.1.2.1.4,Welfsles,1.375,1.1,1.65,2013-01-21 08:00:00,2013-01-22 17:00:00,,37872.0
11,1.1.2.1.5,SW-panelen,4.375,3.5,5.25,2013-01-31 08:00:00,2013-02-04 17:00:00,,13308.240234375
16,1.1.2.2,Ruwbouwwerken,16.375,16.21,16.54,2013-01-23 08:00:00,2013-02-08 17:00:00,,38227.2807617188
13,1.1.2.2.1,Voorbereiding opstortbeton,1.375,1.1,1.65,2013-01-23 08:00:00,2013-01-24 17:00:00,,5881.1201171875
14,1.1.2.2.2,opstort niv 1 en 2,0.375,0.3,0.45,2013-01-25 08:00:00,2013-01-25 17:00:00,,2940.56005859375
15,1.1.2.2.3,Metselwerken,11.375,9.1,13.65,2013-01-28 08:00:00,2013-02-08 17:00:00,,29405.6005859375
27,1.1.3,Bovenbouw B,19.375,19.18,19.57,2013-01-23 08:00:00,2013-02-11 17:00:00,,80995.6806640625
22,1.1.3.1,Montage prefab,14.375,14.23,14.52,2013-01-23 08:00:00,2013-02-06 17:00:00,,57471.2001953125
18,1.1.3.1.1,Kolommen,1.375,1.1,1.65,2013-01-23 08:00:00,2013-01-24 17:00:00,,6746.56005859374
19,1.1.3.1.2,Balken,3.375,2.7,4.05,2013-01-25 08:00:00,2013-01-28 17:00:00,,3980.47998046875
20,1.1.3.1.3,Welfsels,1.375,1.1,1.65,2013-01-29 08:00:00,2013-01-30 17:00:00,,37872.0
21,1.1.3.1.4,SW-panelen,1.375,1.1,1.65,2013-02-05 08:00:00,2013-02-06 17:00:00,,8872.16015625
26,1.1.3.2,Ruwbouwwerken,11.375,11.26,11.49,2013-01-31 08:00:00,2013-02-11 17:00:00,,23524.48046875
23,1.1.3.2.1,voorbereiding opstortbeton,1.375,1.1,1.65,2013-01-31 08:00:00,2013-02-01 17:00:00,,5881.1201171875
