node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,PET Packaging,728.375,721.09,735.66,2011-01-03 08:00:00,2012-12-31 17:00:00,,874554.283691406
6,1.1,WP1,304.375,301.33,307.42,2011-03-01 08:00:00,2011-12-30 17:00:00,,28353.9331054688
1,1.1.1,1.1,59.375,47.5,71.25,2011-03-01 08:00:00,2011-04-29 17:00:00,,5670.78662109375
2,1.1.2,1.2,59.375,47.5,71.25,2011-05-02 08:00:00,2011-06-30 17:00:00,,5670.78662109375
3,1.1.3,1.3,61.375,49.1,73.65,2011-07-01 08:00:00,2011-08-31 17:00:00,,5670.78662109375
4,1.1.4,1.4,60.375,48.3,72.45,2011-09-01 08:00:00,2011-10-31 17:00:00,,5670.78662109375
5,1.1.5,1.5,59.375,47.5,71.25,2011-11-01 08:00:00,2011-12-30 17:00:00,,5670.78662109375
11,1.2,WP2,576.333333333333,570.57,582.1,2011-01-03 08:00:00,2012-08-01 16:00:00,,161094.153320312
7,1.2.1,2.1,301.375,241.1,361.65,2011-01-03 08:00:00,2011-10-31 17:00:00,,76711.5
8,1.2.2,2.2,182.375,145.9,218.85,2011-05-02 08:00:00,2011-10-31 17:00:00,,46026.90234375
9,1.2.3,2.3,62.0,49.6,74.4,2011-11-01 09:00:00,2012-01-02 09:00:00,,15342.2998046875
10,1.2.4,2.4,92.0,73.6,110.4,2012-05-01 16:00:00,2012-08-01 16:00:00,,23013.451171875
16,1.3,WP3,178.375,176.59,180.16,2011-01-03 08:00:00,2011-06-30 17:00:00,,127886.681640625
12,1.3.1,3.1,56.375,45.1,67.65,2011-01-03 08:00:00,2011-02-28 17:00:00,,21314.447265625
13,1.3.2,3.2,121.375,97.1,145.65,2011-03-01 08:00:00,2011-06-30 17:00:00,,42628.89453125
14,1.3.3,3.3,90.375,72.3,108.45,2011-04-01 08:00:00,2011-06-30 17:00:00,,31971.669921875
15,1.3.4,3.4,90.375,72.3,108.45,2011-04-01 08:00:00,2011-06-30 17:00:00,,31971.669921875
20,1.4,WP4,395.375,391.42,399.33,2011-04-01 08:00:00,2012-04-30 17:00:00,,129698.03515625
17,1.4.1,4.1,119.375,95.5,143.25,2011-04-01 08:00:00,2011-07-29 17:00:00,,51879.21484375
18,1.4.2,4.2,89.375,71.5,107.25,2012-02-01 08:00:00,2012-04-30 17:00:00,,38909.41015625
19,1.4.3,4.3,89.375,71.5,107.25,2012-02-01 08:00:00,2012-04-30 17:00:00,,38909.41015625
24,1.5,WP5,518.375,513.19,523.56,2011-07-01 08:00:00,2012-11-30 17:00:00,,217995.2734375
21,1.5.1,5.1,243.375,194.7,292.05,2011-07-01 08:00:00,2012-02-29 17:00:00,,124568.7265625
22,1.5.2,5.2,88.375,70.7,106.05,2012-09-03 08:00:00,2012-11-30 17:00:00,,46713.2734375
23,1.5.3,5.3,88.375,70.7,106.05,2012-09-03 08:00:00,2012-11-30 17:00:00,,46713.2734375
31,1.6,WP6,305.375,302.32,308.43,2012-03-01 08:00:00,2012-12-31 17:00:00,,165125.8984375
25,1.6.1,6.1,305.375,244.3,366.45,2012-03-01 08:00:00,2012-12-31 17:00:00,,40274.609375
26,1.6.2,6.2,213.375,170.7,256.05,2012-06-01 08:00:00,2012-12-31 17:00:00,,28192.2265625
27,1.6.3,6.3,244.375,195.5,293.25,2012-05-01 08:00:00,2012-12-31 17:00:00,,32219.6875
28,1.6.4,6.4,244.375,195.5,293.25,2012-05-01 08:00:00,2012-12-31 17:00:00,,32219.6875
29,1.6.5,6.5A,91.375,73.1,109.65,2012-05-01 08:00:00,2012-07-31 17:00:00,,12082.3828125
35,1.6.6,6.5B,28.375,22.7,34.05,2012-12-03 08:00:00,2012-12-31 17:00:00,,4027.4609375
30,1.6.7,6.6,122.375,97.9,146.85,2012-05-01 08:00:00,2012-08-31 17:00:00,,16109.84375
34,1.7,WP7,671.375,664.66,678.09,2011-03-01 08:00:00,2012-12-31 17:00:00,,44400.30859375
32,1.7.1,7.1,671.375,537.1,805.65,2011-03-01 08:00:00,2012-12-31 17:00:00,,22200.154296875
33,1.7.2,7.2,671.375,537.1,805.65,2011-03-01 08:00:00,2012-12-31 17:00:00,,22200.154296875
