node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Sea Electricity,468.041666666667,463.36,472.72,2013-02-04 06:00:00,2014-05-18 07:00:00,,139062138.004578
20,1.1,Pin-piles,202.666666666667,200.64,204.69,2013-02-04 06:00:00,2013-08-25 22:00:00,,21715090.0
1,1.1.1,Fabrication of pre-piling template,14.6666666666667,11.73,17.6,2013-04-20 06:00:00,2013-05-04 22:00:00,,1044000.0
2,1.1.2,Transportation of template and mounting on Jack Up Platform Buzzard,9.66666666666667,7.73,11.6,2013-05-05 06:00:00,2013-05-14 22:00:00,,58000.0
3,1.1.3,Mobilisation of Jack Up Platform Buzzard,0.666666666666667,0.53,0.8,2013-05-15 06:00:00,2013-05-15 22:00:00,Laborer[5.00 #60];Skipper;Engineer[3.00 #18];Vessel Buzzard,63040.0
551,1.1.4,Purchasing of pin-piles,49.6666666666667,39.73,59.6,2013-02-04 06:00:00,2013-03-25 22:00:00,,6264000.0
11,1.1.5,Continious delivery of pin-piles,24.6666666666667,19.73,29.6,2013-03-01 06:00:00,2013-03-25 22:00:00,,19200.0
10,1.1.6,Seabed preparations,39.6666666666667,39.27,40.06,2013-04-06 06:00:00,2013-05-15 22:00:00,,2947200.0
6,1.1.6.1,Mobilisation of vessels,14.6666666666667,11.73,17.6,2013-04-06 06:00:00,2013-04-20 22:00:00,Laborer[5.00 #60];Skipper;Vessel Pompei,859200.0
7,1.1.6.2,Seabed preparations,24.6666666666667,19.73,29.6,2013-04-21 06:00:00,2013-05-15 22:00:00,Laborer[22.00 #60];Skipper;Engineer[6.00 #18];Vessel Pompei,2088000.0
15,1.1.7,Pile driving works,99.6666666666667,98.67,100.66,2013-05-16 06:00:00,2013-08-23 22:00:00,,4513250.0
526,1.1.7.1,Delivery of pin-piles OTS,0.666666666666667,0.53,0.8,2013-05-16 06:00:00,2013-05-16 22:00:00,Laborer[5.00 #60];Skipper[0.50 #4];Vessel Maersk[0.50 #1];Crane,17330.0
527,1.1.7.2,Delivery of pin-piles 1,0.666666666666667,0.53,0.8,2013-05-20 06:00:00,2013-05-20 22:00:00,Laborer[5.00 #60];Skipper[0.50 #4];Vessel Maersk[0.50 #1];Crane,17330.0
528,1.1.7.3,Delivery of pin-piles 2,0.666666666666667,0.53,0.8,2013-05-24 06:00:00,2013-05-24 22:00:00,Laborer[5.00 #60];Skipper[0.50 #4];Vessel Maersk[0.50 #1];Crane,17330.0
529,1.1.7.4,Delivery of pin-piles 3,0.666666666666667,0.53,0.8,2013-05-28 06:00:00,2013-05-28 22:00:00,Laborer[5.00 #60];Skipper[0.50 #4];Vessel Maersk[0.50 #1];Crane,17330.0
530,1.1.7.5,Delivery of pin-piles 4,0.666666666666667,0.53,0.8,2013-06-01 06:00:00,2013-06-01 22:00:00,Laborer[5.00 #60];Skipper[0.50 #4];Vessel Maersk[0.50 #1];Crane,17330.0
531,1.1.7.6,Delivery of pin-piles 5,0.666666666666667,0.53,0.8,2013-06-05 06:00:00,2013-06-05 22:00:00,Laborer[5.00 #60];Skipper[0.50 #4];Vessel Maersk[0.50 #1];Crane,17330.0
532,1.1.7.7,Delivery of pin-piles 6,0.666666666666667,0.53,0.8,2013-06-10 06:00:00,2013-06-10 22:00:00,Laborer[5.00 #60];Skipper[0.50 #4];Vessel Maersk[0.50 #1];Crane,17330.0
533,1.1.7.8,Delivery of pin-piles 7,0.666666666666667,0.53,0.8,2013-06-14 06:00:00,2013-06-14 22:00:00,Laborer[5.00 #60];Skipper[0.50 #4];Vessel Maersk[0.50 #1];Crane,17330.0
534,1.1.7.9,Delivery of pin-piles 8,0.666666666666667,0.53,0.8,2013-06-18 06:00:00,2013-06-18 22:00:00,Laborer[5.00 #60];Skipper[0.50 #4];Vessel Maersk[0.50 #1];Crane,17330.0
535,1.1.7.10,Delivery of pin-piles 9,0.666666666666667,0.53,0.8,2013-06-22 06:00:00,2013-06-22 22:00:00,Laborer[5.00 #60];Skipper[0.50 #4];Vessel Maersk[0.50 #1];Crane,17330.0
536,1.1.7.11,Delivery of pin-piles 10,0.666666666666667,0.53,0.8,2013-06-26 06:00:00,2013-06-26 22:00:00,Laborer[5.00 #60];Skipper[0.50 #4];Vessel Maersk[0.50 #1];Crane,17330.0
537,1.1.7.12,Delivery of pin-piles 11,0.666666666666667,0.53,0.8,2013-06-30 06:00:00,2013-06-30 22:00:00,Laborer[5.00 #60];Skipper[0.50 #4];Vessel Maersk[0.50 #1];Crane,17330.0
538,1.1.7.13,Delivery of pin-piles 12,0.666666666666667,0.53,0.8,2013-07-04 06:00:00,2013-07-04 22:00:00,Laborer[5.00 #60];Skipper[0.50 #4];Vessel Maersk[0.50 #1];Crane,17330.0
539,1.1.7.14,Delivery of pin-piles 13,0.666666666666667,0.53,0.8,2013-07-08 06:00:00,2013-07-08 22:00:00,Laborer[5.00 #60];Skipper[0.50 #4];Vessel Maersk[0.50 #1];Crane,17330.0
540,1.1.7.15,Delivery of pin-piles 14,0.666666666666667,0.53,0.8,2013-07-12 06:00:00,2013-07-12 22:00:00,Laborer[5.00 #60];Skipper[0.50 #4];Vessel Maersk[0.50 #1];Crane,17330.0
541,1.1.7.16,Delivery of pin-piles 15,0.666666666666667,0.53,0.8,2013-07-16 06:00:00,2013-07-16 22:00:00,Laborer[5.00 #60];Skipper[0.50 #4];Vessel Maersk[0.50 #1];Crane,17330.0
542,1.1.7.17,Delivery of pin-piles 16,0.666666666666667,0.53,0.8,2013-07-20 06:00:00,2013-07-20 22:00:00,Laborer[5.00 #60];Skipper[0.50 #4];Vessel Maersk[0.50 #1];Crane,17330.0
543,1.1.7.18,Delivery of pin-piles 17,0.666666666666667,0.53,0.8,2013-07-24 06:00:00,2013-07-24 22:00:00,Laborer[5.00 #60];Skipper[0.50 #4];Vessel Maersk[0.50 #1];Crane,17330.0
544,1.1.7.19,Delivery of pin-piles 18,0.666666666666667,0.53,0.8,2013-07-28 06:00:00,2013-07-28 22:00:00,Laborer[5.00 #60];Skipper[0.50 #4];Vessel Maersk[0.50 #1];Crane,17330.0
545,1.1.7.20,Delivery of pin-piles 19,0.666666666666667,0.53,0.8,2013-08-01 06:00:00,2013-08-01 22:00:00,Laborer[5.00 #60];Skipper[0.50 #4];Vessel Maersk[0.50 #1];Crane,17330.0
546,1.1.7.21,Delivery of pin-piles 20,0.666666666666667,0.53,0.8,2013-08-05 06:00:00,2013-08-05 22:00:00,Laborer[5.00 #60];Skipper[0.50 #4];Vessel Maersk[0.50 #1];Crane,17330.0
547,1.1.7.22,Delivery of pin-piles 21,0.666666666666667,0.53,0.8,2013-08-13 06:00:00,2013-08-13 22:00:00,Laborer[5.00 #60];Skipper[0.50 #4];Vessel Maersk[0.50 #1];Crane,17330.0
548,1.1.7.23,Delivery of pin-piles 22,0.666666666666667,0.53,0.8,2013-08-09 06:00:00,2013-08-09 22:00:00,Laborer[5.00 #60];Skipper[0.50 #4];Vessel Maersk[0.50 #1];Crane,17330.0
549,1.1.7.24,Delivery of pin-piles 23,0.666666666666667,0.53,0.8,2013-08-17 06:00:00,2013-08-17 22:00:00,Laborer[5.00 #60];Skipper[0.50 #4];Vessel Maersk[0.50 #1];Crane,17330.0
550,1.1.7.25,Delivery of pin-piles 24,0.666666666666667,0.53,0.8,2013-08-21 06:00:00,2013-08-21 22:00:00,Laborer[5.00 #60];Skipper[0.50 #4];Vessel Maersk[0.50 #1];Crane,17330.0
