node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
6,1.2.1.1.1,"OFICINA, ALMACEN Y GUARDIANIA",1.0,0.5,1.5,2021-03-15 00:00:00,nan,carpenter,
7,1.2.1.1.2,SERVICIOS HIGIENICOS (10 A 24 TRABAJADORES),1.0,0.5,1.5,2021-03-15 00:00:00,nan,plumber,
8,1.2.1.1.3,CERCO PERIMETRICO PROVISIONAL CON MALLA ARPILLERA,1.0,0.2,1.75,2021-03-15 00:00:00,nan,team subcontractor[2.00 #8],
9,1.2.1.1.4,CARTEL DE IDENTIFICACION DE LA OBRA DE 3.60 x 2.40M,1.0,0.25,1.75,2021-03-15 00:00:00,nan,team subcontractor[2.00 #8],
11,1.2.1.2.1,AGUA PARA LA CONSTRUCCION,60.0,40.2,79.8,2021-03-15 00:00:00,nan,carpenter,
12,1.2.1.2.2,ENERGIA ELECTRICA PROVISIONAL PARA LA CONSTRUCCION,60.0,30.0,90.0,2021-03-15 00:00:00,nan,carpenter,
14,1.2.1.3.1,LIMPIEZA DE TERRENO MANUAL,1.0,0.5,1.5,2021-03-15 00:00:00,nan,team subcontractor[2.00 #8],
16,1.2.1.4.1,MOVILIZACION Y DESMOVILIZACION DE MATERIALES Y EQUIPO,60.0,49.8,70.2,2021-03-15 00:00:00,nan,team subcontractor[2.00 #8],
18,1.2.1.5.1,"TRAZO, NIVELES Y REPLANTEO PRELIMINAR",2.0,1.0,3.0,2021-03-15 00:00:00,nan,team subcontractor[2.00 #8],
20,1.2.1.6.1,IMPLEMENTACION Y ADMINISTRACION DEL PLAN DE SEGURIDAD Y SALUD EN EL TRABAJO,60.0,40.2,79.8,2021-03-15 00:00:00,nan,carpenter,
21,1.2.1.6.2,EQUIPOS DE PROTECCION INDIVIDUAL,1.0,0.5,1.5,2021-03-15 00:00:00,nan,steel worker,
22,1.2.1.6.3,EQUIPOS DE PROTECCION COLECTIVA,1.0,0.5,1.5,2021-03-15 00:00:00,nan,mason,
23,1.2.1.6.4,SEÑALIZACION TEMPORAL DE SEGURIDAD,1.0,0.5,1.5,2021-03-15 00:00:00,nan,electrician ,
24,1.2.1.6.5,CAPACITACION EN SEGURIDAD Y SALUD,60.0,40.2,79.8,2021-03-15 00:00:00,nan,mason,
25,1.2.1.6.6,RECURSOS PARA RESPUESTA ANTE EMERGENCIAS EN SEGURIDAD Y SALUD EN EL TRABAJO,60.0,49.8,70.2,2021-03-15 00:00:00,nan,plasterer,
29,1.2.1.6.7.1.1.1,"OFICINA DE SEGUIMIENTO Y CONTROL 3.00 x 3.00, TOPICO",1.0,0.5,1.5,2021-03-15 00:00:00,nan,mason,
31,1.2.1.6.7.1.2.1,ESTACIONES DE LAVADO,1.0,0.5,1.5,2021-03-15 00:00:00,nan,carpenter,
33,1.2.1.6.7.1.3.1,IMPLEMENTACION DE OFICINA DE CONTROL,1.0,0.5,1.5,2021-03-15 00:00:00,nan,welder,
34,1.2.1.6.7.1.3.2,SEÑALIZACION TEMPORAL DE SEGURIDAD Y SALUD CON PANELES INFORMATIVOS,1.0,0.5,1.5,2021-03-15 00:00:00,nan,carpenter,
37,1.2.1.6.7.2.1.1,"LIMPIEZA Y DESINFECCION DE OFICINAS, ALMACEN, VESTUARIOS Y SS.HH.",60.0,40.2,79.8,2021-03-15 00:00:00,nan,carpenter,
38,1.2.1.6.7.2.1.2,"LIMPIEZA Y DESINFECCION DE EQUIPOS, MAQUINARIA Y HERRAMIENTAS",60.0,40.2,79.8,2021-03-15 00:00:00,nan,mason,
40,1.2.1.6.7.2.2.1,EQUIPOS DE PROTECCION INDIVIDUAL,1.0,0.5,1.5,2021-03-15 00:00:00,nan,carpenter,
41,1.2.1.6.7.2.2.2,PRODUCTOS DE HIGIENE Y EQUIPOS DE PROTECCION COLECTIVA,1.0,0.5,1.5,2021-03-15 00:00:00,nan,plasterer,
44,1.2.2.1.1,NIVELACION INTERIOR Y APISONADO C/MAQUINA,4.0,2.0,8.0,2021-03-22 00:00:00,nan,welder,
45,1.2.2.1.2,"AFIRMADO DE 4"" EN PISOS Y VEREDAS",5.0,2.0,8.0,2021-03-26 00:00:00,nan,carpenter,
46,1.2.2.1.3,ACARREO DE MATERIAL EXCEDENTE,35.0,24.85,39.9,2021-03-31 00:00:00,nan,painter,
47,1.2.2.1.4,ELIMINACION DE MATERIAL EXCEDENTE D=10 KM,1.0,0.5,1.5,2021-05-05 00:00:00,nan,carpenter,
50,1.2.2.2.1.1,"CAMINERIA, CONCRETO, f'c=175 kg/cm2",2.0,1.0,3.0,2021-04-01 00:00:00,nan,carpenter,
51,1.2.2.2.1.2,"CAMINERIAS, ENCOFRADO Y DESENCOFRADO NORMAL",3.0,2.01,3.99,2021-03-31 00:00:00,nan,team subcontractor[4.00 #8],
52,1.2.2.2.1.3,"JUNTAS DE DILATACION E=1"" EN CAMINERIAS",1.0,0.5,1.5,2021-04-03 00:00:00,nan,team subcontractor[4.00 #8],
54,1.2.2.2.2.1,"SARDINEL, CONCRETO, f'c=175 kg/cm2",1.0,0.5,1.5,2021-04-08 00:00:00,nan,painter,
55,1.2.2.2.2.2,"SARDINEL, ENCOFRADO Y DESENCOFRADO NORMAL",6.0,4.02,7.98,2021-04-03 00:00:00,nan,electrician,
57,1.2.2.2.3.1,"FALSO PISO, CONCRETO MEZCLA 1:8 e=4""",1.0,0.5,1.5,2021-04-14 00:00:00,nan,carpenter,
58,1.2.2.2.3.2,"CONTRAPISO, ENCOFRADO Y DESENCOFRADO NORMAL",5.0,1.0,9.0,2021-04-09 00:00:00,nan,carpenter,
59,1.2.2.2.3.3,"PISO DE CEMENTO PULIDO Y BRUÑADO E=2"" S/COLOREAR",3.0,0.51,5.01,2021-04-15 00:00:00,nan,mason,
62,1.2.3.1.1,MURO DE LADRILLO KK TIPO IV CABEZA M 1:4 E=1.5 CM,1.0,0.5,1.5,2021-04-19 00:00:00,nan,painter,
64,1.2.3.2.1,"TARRAJEO RAYADO PRIMARIO, MORTERO C:A 1:5",1.0,0.5,1.5,2021-04-20 00:00:00,nan,team subcontractor[2.00 #8],
65,1.2.3.2.2,VESTIDURA DE DERRAMES 0.15 M C:A 1:5 E=1.5 CM,2.0,1.0,3.0,2021-04-21 00:00:00,nan,carpenter,
66,1.2.3.2.3,BRUÑAS SEGUN DETALLE,1.0,0.5,1.5,2021-04-23 00:00:00,nan,mason,
68,1.2.3.3.1,ENCHAPE CON PIEDRA TIPO LAJA,2.0,1.0,3.0,2021-04-21 00:00:00,nan,electrician ,
70,1.2.4.1,GLORIETA DE MADERA 3.50 x 3.50 M. INC. INSTALACION,20.0,10.0,30.0,2021-04-19 00:00:00,nan,mason,
73,1.2.5.1.1,SEMBRADO DE GRASS,7.0,3.99,10.01,2021-04-23 00:00:00,nan,welder,
74,1.2.5.1.2,SEMBRADO DE ARBOL FICUS BENJAMINA O SIMILAR,1.0,0.5,1.5,2021-04-30 00:00:00,nan,electrician,
75,1.2.5.1.3,SEMBRADO DE FLORES,1.0,0.5,1.5,2021-04-30 00:00:00,nan,team subcontractor[2.00 #8],
77,1.2.5.2.1,"SUMINISTRO, CONFECCION E INSTALACION DE TACHO DE BASURA",5.0,2.0,8.0,2021-04-30 00:00:00,nan,carpenter,
78,1.2.5.2.2,BANCAS DE MADERA Y TUBOS DE METAL,7.0,4.97,9.03,2021-05-05 00:00:00,nan,mason,
79,1.2.5.3,"SUMINISTRO, CONFECCION E INSTALACION DE JUEGOS INFANTILES",1.0,0.5,1.5,2021-05-12 00:00:00,nan,plasterer,
80,1.2.5.4,LIMPIEZA FINAL DE OBRA,1.0,0.5,1.5,2021-05-13 00:00:00,nan,team subcontractor[2.00 #8],
83,1.2.6.1.1,CONEXION ELECTRICA A RED EXISTENTE,1.0,0.5,1.5,2021-05-03 00:00:00,nan,carpenter,
86,1.2.6.2.1.1,SALIDA PARA ALUMBRADO,1.0,0.5,1.5,2021-05-01 00:00:00,nan,welder,
88,1.2.6.2.2.1,"EXCAVACION DE ZANJAS PARA REDES EXTERIORES Z A=0.50 m, H=0.65 m",1.0,0.5,1.5,2021-03-17 00:00:00,nan,electrician,
89,1.2.6.2.2.2,RELLENO MANUAL Y COMPACTADO A MANO CON MATERIAL PROPIO EN REDES EXTERIORES,1.0,0.5,1.5,2021-03-20 00:00:00,nan,carpenter,
90,1.2.6.2.2.3,TUBERIA PVC-P (ELECTRICAS) D=50 mm,1.0,0.5,1.5,2021-03-18 00:00:00,nan,carpenter,
92,1.2.6.2.3.1,CABLE NYY 1-6 mm2,1.0,0.5,1.5,2021-03-19 00:00:00,nan,electrician,
