node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Garden Center,266.375,263.71,269.04,2014-06-04 08:00:00,2015-02-25 17:00:00,,467297.205230713
22,1.1,Montagewerken,77.375,76.6,78.15,2014-06-04 08:00:00,2014-08-20 17:00:00,,60882.2407226562
1,1.1.1,Voorlopige plint,1.375,1.1,1.65,2014-06-04 08:00:00,2014-06-05 17:00:00,,2659.0400390625
2,1.1.2,prefabplint inkom sluiten,1.375,1.1,1.65,2014-08-12 08:00:00,2014-08-13 17:00:00,,2659.0400390625
3,1.1.3,sandwich laagbouw,6.375,5.1,7.65,2014-06-04 08:00:00,2014-06-10 17:00:00,,6647.60009765624
4,1.1.4,dakdekking voorbereiding,2.375,1.9,2.85,2014-07-07 08:00:00,2014-07-09 17:00:00,,3988.56005859374
5,1.1.5,start dakdekking,15.375,12.3,18.45,2014-08-05 08:00:00,2014-08-20 17:00:00,,15954.240234375
6,1.1.6,maken resterende doorvoerer,2.375,1.9,2.85,2014-07-09 08:00:00,2014-07-11 17:00:00,,3988.56005859374
7,1.1.7,diverse dakdoorvoeren,0.375,0.3,0.45,2014-08-11 08:00:00,2014-08-11 17:00:00,,1329.52001953125
8,1.1.8,welfsels tellerlokaal,0.375,0.3,0.45,2014-08-11 08:00:00,2014-08-11 17:00:00,,1329.52001953125
9,1.1.9,andere welfsels,0.375,0.3,0.45,2014-07-03 08:00:00,2014-07-03 17:00:00,,1329.52001953125
10,1.1.10,afmontage staal hoogbouw,0.375,0.3,0.45,2014-07-04 08:00:00,2014-07-04 17:00:00,,1329.52001953125
11,1.1.11,randbeveiliging tussenvloeren,0.375,0.3,0.45,2014-07-04 08:00:00,2014-07-04 17:00:00,,1329.52001953125
19,1.1.12,Buitenwanden kantoor,76.375,75.61,77.14,2014-06-04 08:00:00,2014-08-19 17:00:00,,15586.9600830079
12,1.1.12.1,Aanvullen en grondwerken,0.375,0.3,0.45,2014-06-04 08:00:00,2014-06-04 17:00:00,,916.880004882816
13,1.1.12.2,sandwichpanelen inkom,6.375,5.1,7.65,2014-06-04 08:00:00,2014-06-10 17:00:00,,4584.40002441408
14,1.1.12.3,netten demonteren lage zone,0.375,0.3,0.45,2014-07-07 08:00:00,2014-07-07 17:00:00,,916.880004882816
15,1.1.12.4,beveiliging hoge dak,0.375,0.3,0.45,2014-07-07 08:00:00,2014-07-07 17:00:00,,916.880004882816
16,1.1.12.5,welfsels traphal,0.375,0.3,0.45,2014-08-07 08:00:00,2014-08-07 17:00:00,,916.880004882816
17,1.1.12.6,steeldeck hoogbouw-inkom,1.375,1.1,1.65,2014-07-08 08:00:00,2014-07-09 17:00:00,,1833.76000976563
18,1.1.12.7,dakbedekking hoogbouw,7.375,5.9,8.85,2014-08-12 08:00:00,2014-08-19 17:00:00,,5501.2800292969
20,1.1.13,regenwaterafvoer laagbouw,0.375,0.3,0.45,2014-07-04 08:00:00,2014-07-04 17:00:00,,916.880004882816
21,1.1.14,regenwaterafvoer hoogbouw,1.375,1.1,1.65,2014-07-09 08:00:00,2014-07-10 17:00:00,,1833.76000976563
52,1.2,Ruwbouwwerken,60.375,59.77,60.98,2014-06-23 08:00:00,2014-08-22 17:00:00,,126492.320678711
23,1.2.1,Wachtbuizen,0.375,0.3,0.45,2014-07-04 08:00:00,2014-07-04 17:00:00,,1278.88000488282
24,1.2.2,grondwerken,0.375,0.3,0.45,2014-07-07 08:00:00,2014-07-07 17:00:00,,1278.88000488282
25,1.2.3,metselwerken tellerlokaal,14.375,11.5,17.25,2014-06-27 08:00:00,2014-07-11 17:00:00,,14067.680053711
26,1.2.4,metselwerken kantoren,8.375,6.7,10.05,2014-06-23 08:00:00,2014-07-01 17:00:00,,8952.16003417971
27,1.2.5,metselwerken traphal,44.375,35.5,53.25,2014-06-23 08:00:00,2014-08-06 17:00:00,,42203.0401611329
28,1.2.6,prefab bordessen,11.375,9.1,13.65,2014-06-30 08:00:00,2014-07-11 17:00:00,,12788.8000488282
29,1.2.7,trapsledes,0.375,0.3,0.45,2014-08-07 08:00:00,2014-08-07 17:00:00,,1278.88000488282
30,1.2.8,welfsels traphal,3.375,2.7,4.05,2014-08-08 08:00:00,2014-08-11 17:00:00,,2557.76000976563
31,1.2.9,voegwerken metselwerken,2.375,1.9,2.85,2014-08-12 08:00:00,2014-08-14 17:00:00,,3836.64001464845
32,1.2.10,schilderwerken metselwerken,2.375,1.9,2.85,2014-08-18 08:00:00,2014-08-20 17:00:00,,3836.64001464845
33,1.2.11,koepsels traphal,0.375,0.3,0.45,2014-08-12 08:00:00,2014-08-12 17:00:00,,1278.88000488282
34,1.2.12,koepsels laag dak,0.375,0.3,0.45,2014-08-13 08:00:00,2014-08-13 17:00:00,,1278.88000488282
35,1.2.13,riolering overloop,0.375,0.3,0.45,2014-07-08 08:00:00,2014-07-08 17:00:00,,1241.68005371094
36,1.2.14,riolering overloop recup,0.375,0.3,0.45,2014-07-08 08:00:00,2014-07-08 17:00:00,,1241.68005371094
37,1.2.15,riolering inkom,0.375,0.3,0.45,2014-07-02 08:00:00,2014-07-02 17:00:00,,1241.68005371094
38,1.2.16,arduinen dorpels,0.375,0.3,0.45,2014-08-14 08:00:00,2014-08-14 17:00:00,,1273.68005371094
