node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Playing Cards,173.375,171.64,175.11,2012-05-04 08:00:00,2012-10-24 17:00:00,,191492.698974609
2,1.1,Engineering,6.375,5.1,7.65,2012-05-04 08:00:00,2012-05-10 17:00:00,,3000.0
3,1.2,Bestellen aandrijfsysteem,4.375,3.5,5.25,2012-05-11 08:00:00,2012-05-15 17:00:00,,520.0
4,1.3,Levering aandrijfsysteem,55.375,44.3,66.45,2012-05-16 08:00:00,2012-07-10 17:00:00,,6926.7998046875
5,1.4,Bestellen machinebesturing,4.375,3.5,5.25,2012-05-11 08:00:00,2012-05-15 17:00:00,,520.0
6,1.5,Levering kast machinebesturing,69.375,55.5,83.25,2012-05-16 08:00:00,2012-07-24 17:00:00,,8658.5
7,1.6,Werkvoorbereiding,13.375,10.7,16.05,2012-05-11 08:00:00,2012-05-24 17:00:00,,1731.69995117188
8,1.7,Productie onderdelen,41.375,33.1,49.65,2012-05-25 08:00:00,2012-07-05 17:00:00,,51629.0
9,1.8,Toelevering spellenverzamelaar 1,0.375,0.3,0.45,2012-07-06 08:00:00,2012-07-06 17:00:00,,1721.0
10,1.9,Montage M machine 1+2,11.375,9.1,13.65,2012-07-09 08:00:00,2012-07-20 17:00:00,,12238.0
11,1.1,Montage spindel,4.375,3.5,5.25,2012-07-23 08:00:00,2012-07-27 17:00:00,,6119.0
12,1.11,Montage E machine 1,11.375,9.1,13.65,2012-07-30 08:00:00,2012-08-10 17:00:00,,13851.099609375
13,1.12,Inbedrijfname machine 1 mevi,4.375,3.5,5.25,2012-08-13 08:00:00,2012-08-17 17:00:00,,18357.0
14,1.13,Transport naar cm,0.375,0.3,0.45,2012-08-20 08:00:00,2012-08-20 17:00:00,,1529.75
15,1.14,Inbedrijfname machine 1 cm,6.375,5.1,7.65,2012-08-21 08:00:00,2012-08-27 17:00:00,,7648.75
16,1.15,Machine 1 gereed,0.0,0.0,0.0,2012-08-27 17:00:00,2012-08-27 17:00:00,,0.0
17,1.16,Toelevering spellenverzamelaar 2,0.375,0.3,0.45,2012-08-28 08:00:00,2012-08-28 17:00:00,,1721.0
18,1.17,Aanpassen onderdelen spv 2,13.375,10.7,16.05,2012-08-29 08:00:00,2012-09-11 17:00:00,,1696.5
19,1.18,Montage M machine 2,13.375,10.7,16.05,2012-09-12 08:00:00,2012-09-25 17:00:00,,12238.0
20,1.19,Montage E machine 2,13.375,10.7,16.05,2012-09-26 08:00:00,2012-10-09 17:00:00,,13851.099609375
21,1.2,Inbedrijfname machine 2 mevi,6.375,5.1,7.65,2012-10-10 08:00:00,2012-10-16 17:00:00,,18357.0
22,1.21,Transport naar cm,0.375,0.3,0.45,2012-10-17 08:00:00,2012-10-17 17:00:00,,1529.75
23,1.22,Inbedrijfname machine 2 cm,6.375,5.1,7.65,2012-10-18 08:00:00,2012-10-24 17:00:00,,7648.75
24,1.23,Machine 2 gereed,0.0,0.0,0.0,2012-10-24 17:00:00,2012-10-24 17:00:00,,0.0
