node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1,Sluiskil Tunnel,1818.33333333333,1800.15,1836.52,2010-07-01 08:00:00,2015-06-23 16:00:00,,528569220
50,1.1,Preparation - relocation of cables,55.375,54.82,55.93,2010-07-01 08:00:00,2010-08-25 17:00:00,,8519200
1,1.1.1,Drawing a relocation plan,19.375,15.5,23.25,2010-07-01 08:00:00,2010-07-20 17:00:00,,800000
2,1.1.2,switching off all electricity and adapting the cables to other temporary networks,15.375,12.3,18.45,2010-07-21 08:00:00,2010-08-05 17:00:00,Electrician[6.00 #10],2440320
3,1.1.3,allocating cables type A,27.375,21.9,32.85,2010-07-21 08:00:00,2010-08-17 17:00:00,Manpower[10.00 #100],3464000
4,1.1.4,allocating cables type B,2.08333333333333,1.67,2.5,2010-07-21 08:00:00,2010-07-23 10:00:00,Manpower[10.00 #100],1807200
5,1.1.5,Checking if all cables are properly located,7.375,5.9,8.85,2010-08-18 08:00:00,2010-08-25 17:00:00,Electric engineer designer[2.00 #2],7680
51,1.2,Design Tunnel,125.375,124.12,126.63,2010-08-26 08:00:00,2010-12-29 17:00:00,,16115200
6,1.2.1,Drawing two concepts,48.375,38.7,58.05,2010-08-26 08:00:00,2010-10-13 17:00:00,,8000000
7,1.2.2,approval of either one of the concepts,20.375,16.3,24.45,2010-10-14 08:00:00,2010-11-03 17:00:00,,500000
8,1.2.3,drawing the final design,55.375,44.3,66.45,2010-11-04 08:00:00,2010-12-29 17:00:00,Construction Engineer[2.00 #4];Electric engineer designer[2.00 #2],7615200
52,1.3,Design Tunnel related electric installations,209.375,207.28,211.47,2010-10-14 08:00:00,2011-05-11 17:00:00,,32048000
9,1.3.1,testing different materials due to the clay type of the Westerschelde,41.375,33.1,49.65,2010-10-14 08:00:00,2010-11-24 17:00:00,Construction Engineer[2.00 #4],12048000
10,1.3.2,Drawing a test design,111.375,89.1,133.65,2010-10-14 08:00:00,2011-02-02 17:00:00,,8000000
11,1.3.3,approve the design,20.375,16.3,24.45,2011-02-03 08:00:00,2011-02-23 17:00:00,,500000
12,1.3.4,Drawing and finishing the final design,76.375,61.1,91.65,2011-02-24 08:00:00,2011-05-11 17:00:00,,11500000
53,1.4,Construction Tunnel Entrance Driveways,306.333333333333,303.27,309.4,2011-05-12 08:00:00,2012-03-13 16:00:00,,70506340
13,1.4.1,Setting up all equipment,29.375,23.5,35.25,2011-05-12 08:00:00,2011-06-10 17:00:00,Manpower[20.00 #100];Truck driver[4.00 #4],1183040
