node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,nan,Contractor Nevele,481.0,481.0,481.0,2018-01-08 08:00:00,nan,,
1,nan,Inrichting van de werf,10.0,8.0,12.0,2018-01-08 08:00:00,nan,,
2,nan,Inplanting van de werf,5.0,4.0,6.0,2018-01-15 08:00:00,nan,,
3,nan,Grondwerken ,10.0,8.0,12.0,2018-01-22 08:00:00,nan,,
4,nan,Aanvullingen,10.0,8.0,12.0,2018-01-29 08:00:00,nan,,
5,nan,Rioleringswerken - binnen,10.0,8.0,12.0,2018-02-05 08:00:00,nan,,
6,nan,Rioleringswerken - buiten,25.0,20.0,30.0,2018-02-12 08:00:00,nan,,
7,nan,Vloerplaat,10.0,8.0,12.0,2018-02-19 08:00:00,nan,,
8,nan,Opgaand metselwerk glvs,20.0,16.0,24.0,2018-03-05 08:00:00,nan,,
9,nan,Stortklaar beton  glvs,20.0,16.0,24.0,2018-03-05 08:00:00,nan,,
10,nan,Structuurelementen staal glvs,20.0,16.0,24.0,2018-03-05 08:00:00,nan,,
11,nan,Opgaand metselwerk 1ste verdieping,20.0,16.0,24.0,2018-04-09 08:00:00,nan,,
12,nan,Stortklaar beton    1ste verdieping,20.0,16.0,24.0,2018-04-09 08:00:00,nan,,
13,nan,Structuurelementen staal 1 ste verdieping,20.0,16.0,24.0,2018-04-09 08:00:00,nan,,
14,nan,Opgaand metselwerk 2de verdieping,20.0,16.0,24.0,2018-05-07 08:00:00,nan,,
15,nan,Stortklaar beton    2de verdieping,20.0,16.0,24.0,2018-05-07 08:00:00,nan,,
16,nan,Structuurelementen staal 2de verdieping,20.0,16.0,24.0,2018-05-07 08:00:00,nan,,
17,nan,Opgaand metselwerk dak,20.0,16.0,24.0,2018-06-04 08:00:00,nan,,
18,nan,Stortklaar beton    dak,20.0,16.0,24.0,2018-06-04 08:00:00,nan,,
19,nan,Structuurelementen staal dak,20.0,16.0,24.0,2018-06-04 08:00:00,nan,,
21,nan,Dakconstruktie  timmerwerken+dakwerken pannen,30.0,24.0,36.0,2018-06-04 08:00:00,nan,,
23,nan,Plat dak garages+isolatie,15.0,12.0,18.0,2018-08-27 08:00:00,nan,,
25,nan,Gevelbekleding in vezelcementplaten,10.0,8.0,12.0,2018-10-22 08:00:00,nan,,
26,nan,Gevelbepleisteringen,20.0,16.0,24.0,2019-01-07 08:00:00,nan,,
27,nan,Blauwe hardsteen  dorpels  ,15.0,12.0,18.0,2018-08-06 08:00:00,nan,,
28,nan,Buitenschrijnwerk - - opmeting ,10.0,8.0,12.0,2018-08-27 08:00:00,nan,,
29,nan,Buitenschrijnwerk - -   productie,25.0,20.0,30.0,2018-10-08 08:00:00,nan,,
30,nan,Buitenschrijnwerk - - plaatsing,15.0,12.0,18.0,2018-11-05 08:00:00,nan,,
31,nan,Pleisterwerken,20.0,16.0,24.0,2018-11-26 08:00:00,nan,,
33,nan,Vloerisolatie PUR,10.0,8.0,12.0,2018-12-17 08:00:00,nan,,
34,nan,Chapewerken,10.0,8.0,12.0,2018-01-21 08:00:00,nan,,
35,nan,Gyproc-tussenwanden,20.0,16.0,24.0,2018-11-12 08:00:00,nan,,
36,nan,Vloerbekelding,15.0,12.0,18.0,2019-02-04 08:00:00,nan,,
37,nan,Wandbekleding faience,10.0,8.0,12.0,2019-02-25 08:00:00,nan,,
38,nan,Trap en leuningen,10.0,8.0,12.0,2019-03-11 08:00:00,nan,,
39,nan,Plafonds,20.0,16.0,24.0,2019-03-11 08:00:00,nan,,
40,nan,Binnenschrijnwerk deuren - opmeting,10.0,8.0,12.0,2019-01-28 08:00:00,nan,,
41,nan,Binnenschrijnwerk deuren - plaatsing,20.0,16.0,24.0,2019-03-11 08:00:00,nan,,
42,nan,Meubilair,10.0,8.0,12.0,2019-03-25 08:00:00,nan,,
43,nan,Schilderwerken,25.0,20.0,30.0,2019-03-25 08:00:00,nan,,
44,nan,Buitenaanleg,20.0,16.0,24.0,2019-03-11 08:00:00,nan,,
45,nan,Opkuis,10.0,8.0,12.0,2019-04-29 08:00:00,nan,,
