node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Day Care,177.375,175.6,179.15,2011-11-28 08:00:00,2012-05-23 17:00:00,,0
1,1.1,Werfinrichting,4.375,4.33,4.42,2011-11-28 08:00:00,2011-12-02 17:00:00,,0
2,1.2,Eerste fase dak + ontmanteling,11.375,9.1,13.65,2011-11-28 08:00:00,2011-12-09 17:00:00,,0
3,1.3,Tweede fase metselwerk en vloer,11.375,9.1,13.65,2011-12-19 08:00:00,2011-12-30 17:00:00,,0
4,1.4,Plaatsen stalen ligger,4.375,3.5,5.25,2011-12-12 08:00:00,2011-12-16 17:00:00,,0
5,1.5,Ruwbouw + rioleringswerken,25.375,20.3,30.45,2012-01-02 08:00:00,2012-01-27 17:00:00,,0
6,1.6,Dakwerken,25.375,20.3,30.45,2012-02-13 08:00:00,2012-03-09 17:00:00,,0
7,1.7,Gevelrenovatie,18.375,14.7,22.05,2012-01-30 08:00:00,2012-02-17 17:00:00,,0
8,1.8,Buitenschrijnwerk,1.375,1.1,1.65,2012-02-20 08:00:00,2012-02-21 17:00:00,,0
9,1.9,Elektriciteit,2.375,1.9,2.85,2012-03-12 08:00:00,2012-03-14 17:00:00,,0
10,1.1,Sanitair,1.375,1.1,1.65,2012-03-12 08:00:00,2012-03-13 17:00:00,,0
11,1.11,Verluchting,4.375,3.5,5.25,2012-03-12 08:00:00,2012-03-16 17:00:00,,0
12,1.12,Vloerverwarming,1.375,1.1,1.65,2012-04-09 08:00:00,2012-04-10 17:00:00,,0
13,1.13,Toestellen en aansluitingen,13.375,10.7,16.05,2012-04-25 08:00:00,2012-05-08 17:00:00,,0
14,1.14,Pleisterwerken,4.375,3.5,5.25,2012-03-19 08:00:00,2012-03-23 17:00:00,,0
15,1.15,Uitvulchape,2.375,1.9,2.85,2012-03-26 08:00:00,2012-03-28 17:00:00,,0
16,1.16,Vloerisolatie,1.375,1.1,1.65,2012-04-05 08:00:00,2012-04-06 17:00:00,,0
17,1.17,Chape,1.375,1.1,1.65,2012-04-11 08:00:00,2012-04-12 17:00:00,,0
18,1.18,Gyprowerken,20.375,16.3,24.45,2012-04-18 08:00:00,2012-05-08 17:00:00,,0
19,1.19,Vals plafond,6.375,5.1,7.65,2012-04-13 08:00:00,2012-04-19 17:00:00,,0
20,1.2,Binnenschrijnwerk,5.375,4.3,6.45,2012-04-20 08:00:00,2012-04-25 17:00:00,,0
21,1.21,Linoleum,4.375,3.5,5.25,2012-05-14 08:00:00,2012-05-18 17:00:00,,0
22,1.22,Schilderwerken,15.375,12.3,18.45,2012-04-26 08:00:00,2012-05-11 17:00:00,,0
23,1.23,Meubilair,1.375,1.1,1.65,2012-05-21 08:00:00,2012-05-22 17:00:00,,0
24,1.24,Opkuis,0.375,0.37,0.38,2012-05-23 08:00:00,2012-05-23 17:00:00,,0
