node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
3,1.1.1,MOVILIZACIÓN Y DESMOVILIZACIÓN DE MAQUINARIA PESADA,1.0,0.5,1.5,2021-03-01 08:00:00,nan,mason,
4,1.1.2,FLETE TERRESTRE - INSUMOS Y EQUIPOS MENORES,1.0,0.5,1.5,2021-03-02 08:00:00,nan,mason,
7,1.2.1.1,"LIMPIEZA Y DESINFECCIÓN EN EL TRABAJO (insumos, frecuencia de realización)",43.0,39.99,46.01,2021-03-03 08:00:00,nan,mason,
9,1.2.2.1,EVALUACIÓN MÉDICA DE DESCARTE COVID-19,1.0,0.25,1.5,2021-03-03 08:00:00,nan,mason,
11,1.2.3.1,IMPLEMENTACIÓN DE PUNTOS DE LAVADO DE MANOS,1.0,0.5,1.5,2021-03-03 08:00:00,nan,carpenter,
13,1.2.4.1,CAPACITACIÓN EN PREVENCIÓN DE CONTAGIO COVID-19,1.0,0.5,1.5,2021-03-04 08:00:00,nan,team subcontractor[2.00 #8],
14,1.2.4.2,SEÑALIZACIÓN,1.0,0.5,1.5,2021-03-03 08:00:00,nan,electrician,
16,1.2.5.1,EQUIPOS DE PROTECCIÓN COLECTIVA,1.0,0.5,1.5,2021-03-03 08:00:00,nan,team subcontractor[2.00 #8],
17,1.2.5.2,MOBILIARIO PARA ÁREA DE DESINFECCIÓN,1.0,0.5,1.5,2021-03-03 08:00:00,nan,team subcontractor[2.00 #8],
19,1.2.6.1,EQUIPOS DE PROTECCION PERSONAL (EPP),1.0,0.5,1.5,2021-03-03 08:00:00,nan,team subcontractor[3.00 #8],
21,1.2.7.1,INSTRUMENTOS MÉDICOS,1.0,0.5,1.5,2021-03-03 08:00:00,nan,team subcontractor[3.00 #8],
22,1.2.7.2,ÚTILES DE OFICINA,2.0,0.5,3.5,2021-03-03 08:00:00,nan,mason,
25,1.3.1.1,TRAZO Y REPLANTEO EN TERRENO NORMAL CON EQUIPO,2.0,1.0,3.0,2021-03-04 08:00:00,nan,painter,
26,1.3.1.2,ENCAUZAMIENTO DE CURSO DE AGUA,3.0,2.01,3.99,2021-03-06 08:00:00,nan,plasterer,
28,1.3.2.1,EXCAVACIÓN PARA ESTRUCTURAS EN MATERIAL COMÚN CON EQUIPO,3.0,0.99,5.01,2021-03-09 08:00:00,nan,mason,
29,1.3.2.2,"REFINE, NIVELACIÓN Y COMPACTACIÓN",2.0,1.0,3.0,2021-03-11 08:00:00,nan,electrician,
30,1.3.2.3,RELLENO PARA ESTRUCTURAS,6.0,4.02,7.98,2021-04-07 08:00:00,nan,carpenter,
32,1.3.3.1,"MEJORAMIENTO CON MATERIAL GRANULAR CON PIEDRA DE 2"" A 6""",2.0,1.0,3.0,2021-03-11 08:00:00,nan,mason,
33,1.3.3.2,CAMA DE MATERIAL GRANULAR,2.0,1.0,3.0,2021-03-13 08:00:00,nan,plasterer,
34,1.3.3.3,"ALCANTARILLA TMC D=36""",2.0,1.0,3.0,2021-03-14 08:00:00,nan,mason,
35,1.3.3.4,"ALCANTARILLA TMC D=60""",7.0,4.97,9.03,2021-03-14 08:00:00,nan,carpenter,
37,1.3.4.1,"MEJORAMIENTO CON MATERIAL GRANULAR CON PIEDRA DE 2"" A 6""",2.0,1.0,3.0,2021-03-14 08:00:00,nan,plasterer,
38,1.3.4.2,CAMA DE MATERIAL GRANULAR,2.0,1.0,4.0,2021-03-16 08:00:00,nan,plasterer,
39,1.3.4.3,CONCRETO PARA SOLADO (F´C=100KG/CM2),1.0,0.5,2.0,2021-03-18 08:00:00,nan,electrician,
40,1.3.4.4,ACERO DE REFUERZO FY=4200 KG/CM2,4.0,0.52,6.0,2021-03-19 08:00:00,nan,painter,
41,1.3.4.5,CONCRETO f'c=175 kg/cm2,2.0,0.5,3.0,2021-03-26 08:00:00,nan,mason,
42,1.3.4.6,ENCOFRADO Y DESENCOFRADO,14.0,5.04,18.06,2021-03-23 08:00:00,nan,plasterer,
43,1.3.4.7,CURADO DE CONCRETO CON ADITIVO TIPO MEMBRANA,1.0,0.5,1.5,2021-04-06 08:00:00,nan,painter,
45,1.3.5.1,"MEJORAMIENTO CON MATERIAL GRANULAR CON PIEDRA DE 2"" A 6""",3.0,0.99,5.01,2021-04-01 08:00:00,nan,painter,
46,1.3.5.2,CAMA DE MATERIAL GRANULAR,2.0,1.0,3.0,2021-04-04 08:00:00,nan,plasterer,
47,1.3.5.3,CONCRETO PARA SOLADO (F´C=100KG/CM2),1.0,0.5,1.5,2021-04-06 08:00:00,nan,mason,
48,1.3.5.4,"MAMPOSTERÍA E=0.20 m, CONCRETO f ´c = 140 kg/cm2 + 50% PM",3.0,0.99,5.01,2021-04-09 08:00:00,nan,mason,
49,1.3.5.5,ENCOFRADO Y DESENCOFRADO,4.0,2.0,6.0,2021-04-06 08:00:00,nan,plasterer,
50,1.3.5.6,"JUNTA CON ASFALTO E=1/2""",1.0,0.5,1.5,2021-04-12 08:00:00,nan,painter,
51,1.3.5.7,FIN,0.0,0.0,0.0,2021-04-10 08:00:00,nan,,
