node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
2,1.1.1,CARTEL DE IDENTIFICACION DE LA OBRA (2.50mx1.80m),1.0,0.5,1.5,2023-11-01 08:00:00,nan,"carpenter [1,00 #8]",
3,1.1.2,ALQUILER DEL LOCAL PARA LA OBRA,2.0,1.0,3.0,2023-11-01 08:00:00,nan,"mason [2,00 #8]",
6,1.2.1.1,TRAZO NIVEL Y REPLANTEO ,1.0,0.5,1.5,2023-11-03 08:00:00,nan,"team subcontractor[2,00 #8]",
8,1.2.2.1,EXCAVACION MANUAL PARA ESTRUCTURA EN TERRENO NORMAL,2.0,1.0,3.0,2023-11-03 08:00:00,nan,"mason [2,00 #8]",
9,1.2.2.2,EXCAVACION EN ROCA FIJA,4.0,2.0,6.0,2023-11-03 08:00:00,nan,"mason [3,00 #8]",
10,1.2.2.3,NIVELACION INTERIOR Y APISONADO MANUAL,2.0,1.0,3.0,2023-11-05 08:00:00,nan,"mason [1,00 #8]",
11,1.2.2.4,ELIMINACION DE MATERIAL EXCEDENTE,2.0,1.0,3.0,2023-11-07 08:00:00,nan,"team subcontractor[3,00 #8]",
13,1.2.3.1,ENCOFRADO Y DESENCOFRADO,7.0,3.5,10.5,2023-11-05 08:00:00,nan,"carpenter [1,00 #8]",
14,1.2.3.2,CONCRETO EN COLCHON DISIPADOR f'c=210 kg/cm2,7.0,3.5,10.5,2023-11-07 08:00:00,nan,"team subcontractor[2,00 #8]",
15,1.2.3.3,CONCRETO EN MUROS f'c=175 kg/cm2,2.0,1.0,3.0,2023-11-12 08:00:00,nan,"mason [4,00 #8]",
16,1.2.3.4,CONCRETO CIPLOPEO EN BARRAJE FIJO f'c=175 kg/cm2 + 30 DE P. M,3.0,1.5,4.5,2023-11-11 08:00:00,nan,"mason [2,00 #8]",
17,1.2.3.5,ACERO FY= 4200 KG/CM2,3.0,1.5,4.5,2023-11-04 08:00:00,nan,"steel worker [2,00 #8]",
19,1.2.4.1,"JUNTAS DE WATERSTOP 6""",1.0,0.5,1.5,2023-11-14 08:00:00,nan,mason,
21,1.2.5.1,CURADO DE CONCRETO,7.0,3.5,10.5,2023-11-07 08:00:00,nan,mason,
23,1.2.6.1,TARRAJEO CON IMPERMEABILIZANTES,2.0,1.0,3.0,2023-11-14 08:00:00,nan,mason,
25,1.2.7.1,REJILLA METALICA 0.30m x 0.25m,2.0,1.0,3.0,2023-11-14 08:00:00,nan,"steel worker [1,00 #8]",
26,1.2.7.2,COMPUERTA METALICA 1.45 m x 0.60 m,2.0,1.0,3.0,2023-11-14 08:00:00,nan,"steel worker [2,00 #8]",
29,1.3.1.1,"TRAZO, NIVELACION Y REPLANTEO",2.0,1.0,3.0,2023-11-14 08:00:00,nan,"team subcontractor[1,00 #8]",
31,1.3.2.1,EXCAVACION MANUAL PARA ESTRUCTURA EN TERRENO NORMAL,4.0,2.0,6.0,2023-11-16 08:00:00,nan,"team subcontractor[1,00 #8]",
32,1.3.2.2,NIVELACION INTERIOR Y APISONADO MANUAL,4.0,2.0,6.0,2023-11-16 08:00:00,nan,"team subcontractor[1,00 #8]",
33,1.3.2.3,ELIMINACION DE MATERIAL EXCEDENTE,4.0,2.0,6.0,2023-11-17 08:00:00,nan,"team subcontractor[1,00 #8]",
35,1.3.3.1,ENCOFRADO Y DESENCOFRADO,4.0,2.0,6.0,2023-11-19 08:00:00,nan,"carpenter [2,00 #8]",
36,1.3.3.2,CONCRETO CICLOPEO FS=175KG/CM2   + 30 % PM.,4.0,2.0,6.0,2023-11-21 08:00:00,nan,"mason [2,00 #8]",
37,1.3.3.3,CONCRETO EN MUROS f'c=175 kg/cm2,4.0,2.0,6.0,2023-11-23 08:00:00,nan,"mason [3,00 #8]",
38,1.3.3.4,ACERO FY= 4200 KG/CM2,2.0,1.0,3.0,2023-11-19 08:00:00,nan,"steel worker [2,00 #8]",
40,1.3.4.1,"JUNTAS DE WATERSTOP 6""",2.0,1.6,3.6,2023-11-25 08:00:00,nan,mason,
42,1.3.5.1,CURADO DE CONCRETO,7.0,5.6,12.6,2023-11-27 08:00:00,nan,painter,
44,1.3.6.1,TARRAJEO CON IMPERMEABILIZANTES,6.0,4.8,10.8,2023-11-27 08:00:00,nan,painter,
46,1.3.7.1,"COMPUERTA METALICA 0.50m x 0.50m,h=0.95 m",2.0,0.4,2.4,2023-12-01 08:00:00,nan,"steel worker [2,00 #8]",
49,1.4.1.1,LIMPIEZA Y DESBROCE DEL TERRENO,10.0,5.0,15.0,2023-11-16 08:00:00,nan,"mason [1,00 #8]",
50,1.4.1.2,"TRAZO, NIVELACION Y REPLANTEO",5.0,2.5,7.5,2023-11-20 08:00:00,nan,"mason [1,00 #8]",
52,1.4.2.1,EXCAVACION DE ZANJA EN MATERIAL SUELTO,30.0,15.0,45.0,2023-11-25 08:00:00,nan,"team subcontractor[1,00 #8]",
53,1.4.2.2,REFINE Y COMPACTACION EN ZANJAS,22.0,11.0,33.0,2023-12-04 08:00:00,nan,"team subcontractor[1,00 #8]",
54,1.4.2.3,ELIMINACION DE MATERIAL EXCEDENTE,22.0,11.0,33.0,2023-12-04 08:00:00,nan,mason,
56,1.4.3.1,ENCOFRADO Y DESENCOFRADO,20.0,4.0,24.0,2023-12-08 08:00:00,nan,"carpenter [1,00 #8]",
57,1.4.3.2,CONCRETO EN MUROS f'c=175 kg/cm2,20.0,10.0,30.0,2023-12-08 08:00:00,nan,"mason [2,00 #8]",
59,1.4.4.1,TARRAJEO CON IMPERMEABILIZANTES,20.0,10.0,30.0,2023-12-08 08:00:00,nan,"mason [2,00 #8]",
61,1.4.5.1,JUNTA ASFALTICA,5.0,2.5,7.5,2023-12-22 08:00:00,nan,painter,
63,1.4.6.1,CURADO DE CONCRETO ,20.0,10.0,30.0,2023-12-07 08:00:00,nan,"steel worker [2,00 #8]",
65,1.4.7.1,EQUIPO DE SEGURIDAD INDIVIDUAL,5.0,2.5,7.5,2023-11-04 08:00:00,nan,"team subcontractor[1,00 #8]",
66,1.4.7.2,CAPACITACION EN SEGURIDAD Y SALUD,5.0,2.5,7.5,2023-11-04 08:00:00,nan,"team subcontractor[1,00 #8]",
