node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,nan,planning wijnloods,80.0,80.0,80.0,2022-02-14 08:00:00,2022-06-13 17:00:00,,
2,nan,funderingswerken,16.0,12.8,19.2,2022-02-14 08:44:00,NaT,,
3,nan,opmeten ankers,1.0,0.99,1.01,2022-03-08 08:00:00,NaT,,
5,nan,afroep materialen en OA,1.0,0.99,1.01,2022-02-28 08:00:00,NaT,,
7,nan,levering staal,1.0,0.99,1.01,2022-03-14 08:00:00,NaT,,
8,nan,montage staal,4.0,3.2,4.8,2022-03-15 08:00:00,NaT,,
9,nan,levering Z-gordingen,1.0,0.99,1.01,2022-03-15 08:00:00,NaT,,
10,nan,montage buitenwanden,2.0,1.6,2.4,2022-03-21 08:00:00,NaT,,
11,nan,montage binnenwanden,1.0,0.8,1.2,2022-03-23 08:00:00,NaT,,
12,nan,montage dakligger en Z-gording,2.0,1.6,2.4,2022-03-24 08:00:00,NaT,,
14,nan,montage dakoversteken/-goten,5.0,4.0,6.0,2022-03-28 08:00:00,NaT,,
15,nan,montage veiligheidsnetten,2.0,1.6,2.4,2022-04-04 08:00:00,NaT,,
16,nan,levering sandwich,0.0,0.0,0.0,2022-04-05 17:00:00,NaT,,
17,nan,montage sandwich,5.0,4.0,6.0,2022-04-06 08:00:00,NaT,,
19,nan,afhalen veiligheidsnetten,2.0,1.98,2.02,2022-04-13 08:00:00,NaT,,
20,nan,betonvloer,15.0,12.0,18.0,2022-04-20 08:00:00,NaT,,
21,nan,betonwanden bijwerken,5.0,4.0,6.0,2022-04-13 08:00:00,NaT,,
22,nan,opmeten sect poorten,3.0,2.4,3.6,2022-03-24 08:00:00,NaT,,
23,nan,sect poorten en staaldeuren,3.0,2.4,3.6,2022-05-31 08:00:00,NaT,,
24,nan,kitwerk,3.0,2.4,3.6,2022-05-31 08:00:00,NaT,,
26,nan,voorlopige oplevering,1.0,0.8,1.2,2022-04-13 08:00:00,NaT,,
27,nan,opleverpunten,5.0,4.0,6.0,2022-06-03 08:00:00,NaT,,
28,nan,definitieve oplevering,1.0,0.8,1.2,2022-06-13 08:00:00,NaT,,
