node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
0,1.0,Family Residence (2),361.375,357.76,364.99,2013-01-28 08:00:00,2014-01-24 17:00:00,,143673.200283051
1,1.1,Spanten,11.375,9.1,13.65,2013-01-28 08:00:00,2013-02-08 17:00:00,,947.200012207032
2,1.2,Isolatie chap/pure,4.375,3.5,5.25,2013-01-28 08:00:00,2013-02-01 17:00:00,,65.9999990463256
3,1.3,Plakwerken,4.375,3.5,5.25,2013-01-28 08:00:00,2013-02-01 17:00:00,,1111.20002746582
4,1.4,Schrijnwerk,11.375,9.1,13.65,2013-01-28 08:00:00,2013-02-08 17:00:00,,780.0
5,1.5,Schrijnwerk deel 2,4.375,3.5,5.25,2013-01-28 08:00:00,2013-02-01 17:00:00,,390.0
6,1.6,Chape,4.375,3.5,5.25,2013-02-04 08:00:00,2013-02-08 17:00:00,,65.9999990463256
7,1.7,Sanitair,11.375,9.1,13.65,2013-02-04 08:00:00,2013-02-15 17:00:00,,584.799995422363
8,1.8,Elektriciteit,4.375,3.5,5.25,2013-02-04 08:00:00,2013-02-08 17:00:00,,345.999984741211
9,1.9,Spanten,11.375,9.1,13.65,2013-02-11 08:00:00,2013-02-22 17:00:00,,1420.80001831054
10,1.1,Dakconstructie,11.375,9.1,13.65,2013-02-11 08:00:00,2013-02-22 17:00:00,,947.200012207032
11,1.11,Isolatie chap/pure,11.375,9.1,13.65,2013-02-18 08:00:00,2013-03-01 17:00:00,,131.999998092651
12,1.12,Chape,11.375,9.1,13.65,2013-02-18 08:00:00,2013-03-01 17:00:00,,131.999998092651
13,1.13,Elektriciteit,4.375,3.5,5.25,2013-02-18 08:00:00,2013-02-22 17:00:00,,345.999984741211
14,1.14,Ruwbouw,60.375,48.3,72.45,2013-02-18 08:00:00,2013-04-19 17:00:00,,24933.600769043
15,1.15,Sanitair,11.375,9.1,13.65,2013-02-18 08:00:00,2013-03-01 17:00:00,,566.399993896484
16,1.16,Ruwbouw deel 2,67.375,53.9,80.85,2013-02-18 08:00:00,2013-04-26 17:00:00,,11083.9996337891
17,1.17,Dakconstructie,11.375,9.1,13.65,2013-02-25 08:00:00,2013-03-08 17:00:00,,473.600006103516
18,1.18,Schrijnwerk,11.375,9.1,13.65,2013-02-25 08:00:00,2013-03-08 17:00:00,,780.0
19,1.19,Elektriciteit,4.375,3.5,5.25,2013-02-25 08:00:00,2013-03-01 17:00:00,,173.199996948242
20,1.2,Vloer,11.375,9.1,13.65,2013-02-25 08:00:00,2013-03-08 17:00:00,,394.39998626709
21,1.21,Isolatie zolder,4.375,3.5,5.25,2013-02-25 08:00:00,2013-03-01 17:00:00,,65.9999990463256
22,1.22,Sanitair,4.375,3.5,5.25,2013-02-25 08:00:00,2013-03-01 17:00:00,,283.199996948242
23,1.23,Elektriciteit deel 2,11.375,9.1,13.65,2013-02-25 08:00:00,2013-03-08 17:00:00,,346.399993896484
24,1.24,Elektriciteit,4.375,3.5,5.25,2013-03-04 08:00:00,2013-03-08 17:00:00,,532.400016784668
25,1.25,Vloer,11.375,9.1,13.65,2013-03-04 08:00:00,2013-03-15 17:00:00,,394.39998626709
26,1.26,Plakwerken,4.375,3.5,5.25,2013-03-04 08:00:00,2013-03-08 17:00:00,,555.600013732912
27,1.27,Isolatie zolder,11.375,9.1,13.65,2013-03-04 08:00:00,2013-03-15 17:00:00,,131.999998092651
28,1.28,Schrijnwerk,39.375,31.5,47.25,2013-03-11 08:00:00,2013-04-19 17:00:00,,1171.20002746582
29,1.29,Sanitair,11.375,9.1,13.65,2013-03-11 08:00:00,2013-03-22 17:00:00,,848.799972534176
30,1.3,Elektriciteit,11.375,9.1,13.65,2013-03-11 08:00:00,2013-03-22 17:00:00,,346.399993896484
31,1.31,Isolatie zolder,4.375,3.5,5.25,2013-03-11 08:00:00,2013-03-15 17:00:00,,65.9999990463256
32,1.32,Schrijnwerk,18.375,14.7,22.05,2013-03-11 08:00:00,2013-03-29 17:00:00,,1170.0
33,1.33,Elektriciteit,11.375,9.1,13.65,2013-03-18 08:00:00,2013-03-29 17:00:00,,346.399993896484
34,1.34,Keuken,4.375,3.5,5.25,2013-03-18 08:00:00,2013-03-22 17:00:00,,263.199996948242
35,1.35,Schrijnwerk,11.375,9.1,13.65,2013-03-18 08:00:00,2013-03-29 17:00:00,,390.400009155274
36,1.36,Sanitair,4.375,3.5,5.25,2013-03-18 08:00:00,2013-03-22 17:00:00,,283.199996948242
37,1.37,Plakwerk,4.375,3.5,5.25,2013-03-18 08:00:00,2013-03-22 17:00:00,,1111.20002746582
38,1.38,Isolatie zolder,4.375,3.5,5.25,2013-03-25 08:00:00,2013-03-29 17:00:00,,65.9999990463256
39,1.39,Sanitair,11.375,9.1,13.65,2013-03-25 08:00:00,2013-04-05 17:00:00,,566.399993896484
40,1.4,Isolatie chap/pure,4.375,3.5,5.25,2013-03-25 08:00:00,2013-03-29 17:00:00,,65.9999990463256
41,1.41,Sanitair,4.375,3.5,5.25,2013-03-25 08:00:00,2013-03-29 17:00:00,,283.199996948242
42,1.42,Keuken,11.375,9.1,13.65,2013-04-01 08:00:00,2013-04-12 17:00:00,,526.399993896484
43,1.43,Schrijnwerk,4.375,3.5,5.25,2013-04-08 08:00:00,2013-04-12 17:00:00,,195.200004577637
44,1.44,Plakwerken,11.375,9.1,13.65,2013-04-08 08:00:00,2013-04-19 17:00:00,,1120.80001831054
45,1.45,Sanitair,4.375,3.5,5.25,2013-04-08 08:00:00,2013-04-12 17:00:00,,566.399993896484
46,1.46,Isolatie chap/pure,4.375,3.5,5.25,2013-04-08 08:00:00,2013-04-12 17:00:00,,65.9999990463256
47,1.47,Elektriciteit,4.375,3.5,5.25,2013-04-15 08:00:00,2013-04-19 17:00:00,,173.199996948242
48,1.48,Vloer,11.375,9.1,13.65,2013-04-15 08:00:00,2013-04-26 17:00:00,,394.39998626709
