node_id,wbs,task_name,duration,optimistic_time,pessimistic_time,baseline_start,baseline_end,resource_demand,total_cost
4,1.1.1.1,LIMPIEZA GENERAL DE TERRENO,1.0,0.5,1.5,2023-05-01 08:00:00,nan,"carpenter [1,00 #8]",
5,1.1.1.2,CERCO PERIMETRICO PROVISIONAL,1.0,0.5,1.5,2023-05-01 08:00:00,nan,"carpenter [1,00 #8]",
6,1.1.1.3,CARTEL DE IDENTIFICACION DE LA OBRA DE 3.60X2.40M,1.0,0.5,1.5,2023-05-01 08:00:00,nan,"carpenter [1,00 #8]",
8,1.1.2.1,FLETE TERRESTRE Y TRASLADO DE HERRAMIENTAS,1.0,0.5,1.5,2023-05-01 08:00:00,nan,"carpenter [1,00 #8]",
10,1.1.3.1,"TRAZO, NIVELES Y REPLANTEO PRELIMINAR",1.0,0.5,1.5,2023-05-01 08:00:00,nan,"carpenter [1,00 #8]",
14,1.2.1.1.1,EXCAVACIÓN MANUAL PARA ZAPATAS TERRENO NORMAL,4.0,2.0,6.0,2023-05-03 08:00:00,nan,"carpenter [1,00 #8]",
15,1.2.1.1.2,EXCAVACIÓN PARA VIGAS DE CIMENTACIÓN TERRENO NORMAL,4.0,2.0,6.0,2023-05-05 08:00:00,nan,"steel worker [2,00 #8]",
16,1.2.1.1.3,EXCAVACIÓN PARA CUNETAS DE DRENAJE,4.0,1.0,7.0,2023-05-09 08:00:00,nan,"carpenter [1,00 #8]",
18,1.2.1.2.1,RELLENO COMPACTADO CON MATERIAL PROPIO,4.0,2.0,6.0,2023-05-19 08:00:00,nan,mason,
20,1.2.1.3.1,"ACARREO DE MATERIAL EXCEDENTE PARA ELIMINACIÓN, Dmax=50 m.",4.0,1.0,7.0,2023-05-23 08:00:00,nan,mason,
21,1.2.1.3.2,ELIMINACION DE EXCAVACIÓN CON EQUIPO PESADO,1.0,0.5,1.5,2023-05-27 08:00:00,nan,"steel worker [1,00 #8]",
23,1.2.2.1,CONCRETO F´C=100 KG/CM2 PARA SOLADOS EN CIMENTACIONES E=0.10M,4.0,3.0,5.0,2023-05-03 08:00:00,nan,painter,
24,1.2.2.2,CONCRETO F´C=175 KG/CM2 PARA CUNETAS DE SISTEMA DE DRENAJE,2.0,1.0,3.0,2023-05-13 08:00:00,nan,mason,
25,1.2.2.3,ENCOFRADO Y DESENCOFRADO NORMAL EN CUNETAS,4.0,2.0,6.0,2023-05-10 08:00:00,nan,"steel worker [1,00 #8]",
28,1.2.3.1.1,CONCRETO PARA ZAPATAS F'C=210 KG/CM2,2.0,0.5,3.5,2023-05-14 08:00:00,nan,"steel worker [1,00 #8]",
29,1.2.3.1.2,ACERO ESTRUCTURAL F'Y= 4200KG/CM2 TRABAJADO PARA ZAPATAS,1.0,0.5,1.5,2023-05-07 08:00:00,nan,mason,
31,1.2.3.2.1,CONCRETO F'c=210 KG/CM2 EN VIGAS DE CIMENTACIÓN,2.0,1.0,3.0,2023-05-14 08:00:00,nan,"mason [2,00 #8]",
32,1.2.3.2.2,ENCOFRADO Y DESENCOFRADO EN VIGAS DE CIMENTACIÓN,2.0,0.5,3.5,2023-05-12 00:00:00,nan,"team subcontractor[1,00 #8]",
33,1.2.3.2.3,ACERO ESTRUCTURAL F'Y= 4200KG/CM2 TRABAJADO PARA VIGAS DE CIMENTACIÓN,2.0,1.0,3.0,2023-05-10 08:00:00,nan,"mason [2,00 #8]",
35,1.2.3.3.1,CONCRETO F'c=210 KG/CM2 EN COLUMNAS Y PLACAS,1.0,0.5,1.5,2023-05-17 08:00:00,nan,"steel worker [2,00 #8]",
36,1.2.3.3.2,ENCOFRADO Y DESENCOFRADO EN COLUMNAS Y PLACAS,2.0,0.5,3.5,2023-05-16 08:00:00,nan,"steel worker [2,00 #8]",
37,1.2.3.3.3,ACERO ESTRUCTURAL F'Y= 4200KG/CM2 TRABAJADO PARA COLUMNAS Y PLACAS,2.0,1.0,3.0,2023-05-08 08:00:00,nan,"mason [2,00 #8]",
39,1.2.3.4.1,CONCRETO F'c=175 KG/CM2 PARA DADOS DE PROTESSIÓN DE MONTANTE,1.0,0.5,1.5,2023-05-20 08:00:00,nan,"steel worker [2,00 #8]",
40,1.2.3.4.2,ENCOFRADO Y DESENCOFRADO NORMAL EN DADOS DE CONCRETO PARA MONTANTES,1.0,0.5,1.5,2023-05-19 08:00:00,nan,"steel worker [2,00 #8]",
41,1.2.3.4.3,ACERO ESTRUCTURAL F'Y= 4200KG/CM2 TRABAJADO PARA DADOS DE PROTESSIÓN DE MONTANTES,1.0,0.5,3.0,2023-05-18 08:00:00,nan,mason,
42,1.2.3.4.4,CONCRETO F'C = 175 KG/CM2 PARA MURETE,1.0,0.5,4.0,2023-05-20 08:00:00,nan,mason,
43,1.2.3.4.5,ENCOFRADO Y DESENCOFRADO NORMAL PARA MURETE,1.0,0.5,5.0,2023-05-19 08:00:00,nan,painter,
44,1.2.3.4.6,ACERO ESTRUCTURAL  F'Y=4200 KG/CM2 TRABAJADO PARA MURETE,1.0,0.5,6.0,2023-05-18 08:00:00,nan,"steel worker [2,00 #8]",
47,1.2.4.1.1,COLUMNAS  METALICA CM (.30X.30) INCLUYEN BASES,2.0,0.25,3.5,2023-05-18 08:00:00,nan,"steel worker [1,00 #8]",
48,1.2.4.1.2,"PLANCHA BASE DE 0.5MX0.5M E=1/4""INCLUYE PERNOS DE ANCLAJE Ø 3/4""",1.0,0.5,2.5,2023-05-18 08:00:00,nan,"steel worker [1,00 #8]",
50,1.2.4.2.1,VIGA METALICA VM (.25X.50),6.0,4.0,10.0,2023-05-20 08:00:00,nan,"carpenter [1,00 #8]",
51,1.2.4.2.2,VIGA COLLARIN (.15X.30),1.0,0.5,1.5,2023-05-26 08:00:00,nan,"carpenter [1,00 #8]",
52,1.2.4.2.3,CORREA METALICA VT-1,5.0,2.0,10.0,2023-05-27 08:00:00,nan,"team subcontractor[1,00 #8]",
53,1.2.4.2.4,CORREA METALICA VT-2,1.0,0.5,1.5,2023-06-01 08:00:00,nan,"team subcontractor[1,00 #8]",
54,1.2.4.2.5,"TEMPLADORES PARA VIENTOS EN CRUZ DE 5/8""",1.0,0.5,1.5,2023-06-01 08:00:00,nan,"carpenter [1,00 #8]",
55,1.2.4.2.6,"TEMPLADORES EN VM (.25X.50) DE 5/8""",1.0,0.5,1.5,2023-05-26 08:00:00,nan,mason,
56,1.2.4.2.7,"COLGANTES PARA TEMPLADORES EN VM (.25X.50) DE 1/2""",1.0,0.25,1.5,2023-06-02 08:00:00,nan,mason,
57,1.2.4.2.8,"ARRIOSTRES DE D=3/8""",2.0,0.25,3.5,2023-06-12 08:00:00,nan,"carpenter [1,00 #8]",
59,1.2.4.3.1,MONTAJE DE COLUMNAS  METALICA VM (.30X.30),2.0,0.2,3.0,2023-06-03 08:00:00,nan,"carpenter [1,00 #8]",
61,1.2.4.4.1,MONTAJE DE VIGA METALICA VM (.25X.50),2.0,0.25,3.0,2023-06-05 08:00:00,nan,"mason [2,00 #8]",
62,1.2.4.4.2,MONTAJE DE VIGA COLLARÍN (.15X.30),1.0,0.5,1.5,2023-06-07 08:00:00,nan,painter,
63,1.2.4.4.3,MONTAJE DE CORREA METÁLICA VT-1,5.0,1.0,6.0,2023-06-08 08:00:00,nan,painter,
64,1.2.4.4.4,MONTAJE DE CORREA METÁLICA VT-2,1.0,0.5,1.5,2023-06-12 08:00:00,nan,"team subcontractor[2,00 #8]",
65,1.2.4.4.5,MONTAJE DE TEMPLADORES PARA TECHO METÁLICO,1.0,0.25,1.75,2023-06-15 08:00:00,nan,"team subcontractor[1,00 #8]",
67,1.2.4.5.1,COBERTURA DE CALAMINÓN DE CU-6 DE 1024MM DE ANCHO DE 0.4MM.,7.0,5.0,9.0,2023-06-15 08:00:00,nan,"team subcontractor[1,00 #8]",
69,1.2.4.6.1,"PORTICO METALICO PARA TRIBUNA DE F°G° TUBO CUADRADO 0.15X0.15X1/4""",3.0,1.0,5.0,2023-06-15 08:00:00,nan,"mason [2,00 #8]",
